VCR: Vanguard Consumer Discretionary ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	3210490
Shares Outstanding: 16334000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Consumer Discretionary 25/50 Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VCR


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,24.7123%
Home Depot Inc,HD,7.7655%
Mcdonald's Corp,MCD,4.7931%
Nike Inc,NKE,3.7095%
Starbucks Corp,SBUX,3.1165%
Tesla Inc,TSLA,2.9078%
Lowe's Companies Inc,LOW,2.8752%
Booking Holdings Inc,BKNG,2.4483%
TJX Companies Inc,TJX,2.2172%
Target Corp,TGT,1.7646%
Ross Stores Inc,ROST,1.2857%
General Motors Co,GM,1.2737%
Marriott International Inc,MAR,1.2168%
Dollar General Corp,DG,1.1953%
Ford Motor Co,F,0.9399%
Yum! Brands Inc,YUM,0.9324%
Hilton Worldwide Holdings Inc,HLT,0.9158%
O'Reilly Automotive Inc,ORLY,0.9073%
eBay Inc,EBAY,0.8944%
VF Corp,VFC,0.8357%
Mercadolibre Inc,MELI,0.8283%
Lululemon Athletica Inc,LULU,0.8078%
Autozone Inc,AZO,0.7758%
Las Vegas Sands Corp,LVS,0.6947%
Chipotle Mexican Grill Inc,CMG,0.6859%
Aptiv PLC,APTV,0.672%
D.R. Horton Inc,DHI,0.6436%
Best Buy Co Inc,BBY,0.6287%
Dollar Tree Inc,DLTR,0.6189%
Royal Caribbean Cruises Ltd,RCL,0.5902%
Lennar Corp,LEN,0.5897%
Carnival Corp,CCL,0.5325%
Ulta Beauty Inc,ULTA,0.4939%
Carmax Inc,KMX,0.4802%
MGM Resorts International,MGM,0.4799%
Expedia Group Inc,EXPE,0.4615%
Burlington Stores Inc,BURL,0.4584%
Darden Restaurants Inc,DRI,0.4446%
Tiffany & Co,TIF,0.4421%
Genuine Parts Co,GPC,0.4173%
NVR Inc,NVR,0.399%
Garmin Ltd,GRMN,0.3837%
Hasbro Inc,HAS,0.3836%
Wynn Resorts Ltd,WYNN,0.3693%
PulteGroup Inc,PHM,0.3659%
Tractor Supply Co,TSCO,0.3498%
Norwegian Cruise Line Holdings Ltd,NCLH,0.3418%
Domino's Pizza Inc,DPZ,0.3252%
LKQ Corp,LKQ,0.3116%
Aramark,ARMK,0.302%
Bright Horizons Family Solutions Inc,BFAM,0.2936%
Vail Resorts Inc,MTN,0.288%
Advance Auto Parts Inc,AAP,0.2868%
Whirlpool Corp,WHR,0.2854%
Pool Corp,POOL,0.2725%
Service Corporation International,SCI,0.2584%
Tapestry Inc,TPR,0.2453%
Newell Brands Inc,NWL,0.2437%
Mohawk Industries Inc,MHK,0.2352%
Gentex Corp,GNTX,0.229%
Caesars Entertainment Corp,CZR,0.2272%
Lear Corp,LEA,0.218%
Kohls Corp,KSS,0.2157%
Planet Fitness Inc,PLNT,0.2134%
BorgWarner Inc,BWA,0.2104%
Toll Brothers Inc,TOL,0.202%
PVH Corp,PVH,0.197%
Five Below Inc,FIVE,0.1926%
Ralph Lauren Corp,RL,0.1914%
Dunkin' Brands Group Inc,DNKN,0.1889%
Autoliv Inc,ALV,0.1881%
Etsy Inc,ETSY,0.1808%
Leggett & Platt Inc,LEG,0.1799%
Wayfair Inc,W,0.1799%
Wyndham Hotels & Resorts Inc,WH,0.1748%
Deckers Outdoor Corp,DECK,0.1714%
Williams-Sonoma Inc,WSM,0.1706%
Churchill Downs Inc,CHDN,0.1701%
L Brands Inc,LB,0.1689%
Harley-Davidson Inc,HOG,0.1641%
Brunswick Corp,BC,0.1641%
Skechers USA Inc,SKX,0.1616%
Polaris Inc,PII,0.16%
HanesBrands Inc,HBI,0.1561%
Macy's Inc,M,0.1545%
Helen of Troy Ltd,HELE,0.1493%
Mattel Inc,MAT,0.1493%
Carter's Inc,CRI,0.1474%
Servicemaster Global Holdings Inc,SERV,0.1442%
GrubHub Inc,GRUB,0.141%
Capri Holdings Ltd,CPRI,0.1403%
Marriott Vacations Worldwide Corp,VAC,0.1392%
Chegg Inc,CHGG,0.1391%
Thor Industries Inc,THO,0.1389%
H & R Block Inc,HRB,0.1385%
Foot Locker Inc,FL,0.1384%
Wyndham Destinations Inc,WYND,0.1373%
Texas Roadhouse Inc,TXRH,0.1333%
Tempur Sealy International Inc,TPX,0.1289%
Carvana Co,CVNA,0.1284%
Eldorado Resorts Inc,ERI,0.1281%
Nordstrom Inc,JWN,0.1272%
Wendys Co,WEN,0.1246%
Gap Inc,GPS,0.1242%
TopBuild Corp,BLD,0.1227%
Penn National Gaming Inc,PENN,0.1208%
Grand Canyon Education Inc,LOPE,0.1181%
Under Armour Inc,UAA,0.117%
Choice Hotels International Inc,CHH,0.1156%
Aaron's Inc,AAN,0.1152%
Frontdoor Inc,FTDR,0.1103%
RH,RH,0.1099%
Under Armour Inc,UA,0.1075%
Strategic Education Inc,STRA,0.1074%
Floor & Decor Holdings Inc,FND,0.1052%
Taylor Morrison Home Corp,TMHC,0.105%
Hyatt Hotels Corp,H,0.1039%
Qurate Retail Inc,QRTEA,0.1027%
Murphy Usa Inc,MUSA,0.1015%
Cracker Barrel Old Country Store Inc,CBRL,0.0999%
Goodyear Tire & Rubber Co,GT,0.0965%
Steven Madden Ltd,SHOO,0.0946%
KB Home,KBH,0.0931%
Dick's Sporting Goods Inc,DKS,0.0927%
Lithia Motors Inc,LAD,0.0923%
Six Flags Entertainment Corp,SIX,0.0893%
LCI Industries,LCII,0.0878%
Wolverine World Wide Inc,WWW,0.0878%
Hilton Grand Vacations Inc,HGV,0.0876%
Wingstop Inc,WING,0.0867%
Columbia Sportswear Co,COLM,0.0865%
Ollie's Bargain Outlet Holdings Inc,OLLI,0.0864%
Boyd Gaming Corp,BYD,0.0832%
Meritage Homes Corp,MTH,0.0829%
National Vision Holdings Inc,EYE,0.0824%
Fox Factory Holding Corp,FOXF,0.0824%
Graham Holdings Co,GHC,0.0782%
Crocs Inc,CROX,0.0778%
Extended Stay America Inc,STAY,0.076%
Adient PLC,ADNT,0.0756%
TRI Pointe Group Inc,TPH,0.0756%
American Eagle Outfitters Inc,AEO,0.0725%
AutoNation Inc,AN,0.0724%
Dana Inc,DAN,0.0722%
Visteon Corp,VC,0.0719%
MDC Holdings Inc,MDC,0.0691%
Bed Bath & Beyond Inc,BBBY,0.0661%
Cavco Industries Inc,CVCO,0.0652%
Shake Shack Inc,SHAK,0.0647%
Monro Inc,MNRO,0.0638%
Dorman Products Inc,DORM,0.063%
SeaWorld Entertainment Inc,SEAS,0.062%
Jack in the Box Inc,JACK,0.062%
Laureate Education Inc,LAUR,0.0616%
Adtalem Global Education Inc,ATGE,0.0609%
Penske Automotive Group Inc,PAG,0.0604%
Red Rock Resorts Inc,RRR,0.0603%
Callaway Golf Co,ELY,0.0576%
Winnebago Industries Inc,WGO,0.0572%
Asbury Automotive Group Inc,ABG,0.0572%
Kontoor Brands Inc,KTB,0.0568%
Bloomin' Brands Inc,BLMN,0.0567%
LGI Homes Inc,LGIH,0.0559%
Installed Building Products Inc,IBP,0.0555%
Urban Outfitters Inc,URBN,0.0554%
Dave & Buster's Entertainment Inc,PLAY,0.0542%
Group 1 Automotive Inc,GPI,0.0539%
Cheesecake Factory Inc,CAKE,0.0539%
WW International Inc,WW,0.0535%
Sleep Number Corp,SNBR,0.0531%
Gentherm Inc,THRM,0.0523%
Sally Beauty Holdings Inc,SBH,0.0505%
Brinker International Inc,EAT,0.0504%
Veoneer Inc,VNE,0.0496%
iRobot Corp,IRBT,0.049%
Skyline Champion Corp,SKY,0.0486%
Scientific Games Corp,SGMS,0.048%
Dine Brands Global Inc,DIN,0.0474%
La-Z-Boy Inc,LZB,0.0464%
Groupon Inc,GRPN,0.0456%
Cooper Tire & Rubber Co,CTB,0.0455%
Office Depot Inc,ODP,0.0451%
Papa John's International Inc,PZZA,0.0447%
Stamps.Com Inc,STMP,0.0447%
Signet Jewelers Ltd,SIG,0.0441%
Delphi Technologies PLC,DLPH,0.0433%
Rent-A-Center Inc,RCII,0.0413%
Denny's Corp,DENN,0.041%
Perdoceo Education Corp,PRDO,0.0407%
M/I Homes Inc,MHO,0.0391%
G-III Apparel Group Ltd,GIII,0.0384%
Oxford Industries Inc,OXM,0.0383%
Everi Holdings Inc,EVRI,0.0373%
American Axle & Manufacturing Holdings Inc,AXL,0.0371%
Guess? Inc,GES,0.0368%
Abercrombie & Fitch Co,ANF,0.0368%
Big Lots Inc,BIG,0.0365%
Malibu Boats Inc,MBUU,0.0358%
Acushnet Holdings Corp,GOLF,0.0357%
Yeti Holdings Inc,YETI,0.0355%
Core-Mark Holding Company Inc,CORE,0.0351%
Childrens Place Inc,PLCE,0.035%
Stitch Fix Inc,SFIX,0.0343%
Standard Motor Products Inc,SMP,0.0342%
Century Communities Inc,CCS,0.0319%
Designer Brands Inc,DBI,0.0317%
Sturm Ruger & Company Inc,RGR,0.0315%
Quotient Technology Inc,QUOT,0.0305%
Shutterstock Inc,SSTK,0.0305%
BJ's Restaurants Inc,BJRI,0.0298%
Levi Strauss & Co,LEVI,0.028%
Stoneridge Inc,SRI,0.0279%
Buckle Inc,BKE,0.0269%
Sonic Automotive Inc,SAH,0.0257%
Caleres Inc,CAL,0.0253%
Monarch Casino & Resort Inc,MCRI,0.0253%
Dillard's Inc,DDS,0.025%
Genesco Inc,GCO,0.0242%
Twin River Worldwide Holdings Inc,TRWH,0.0242%
Houghton Mifflin Harcourt Co,HMHC,0.024%
America's CAR-MART Inc,CRMT,0.0239%
Zumiez Inc,ZUMZ,0.0234%
Garrett Motion Inc,GTX,0.0227%
Camping World Holdings Inc,CWH,0.0223%
American Outdoor Brands Corp,AOBC,0.0223%
Universal Electronics Inc,UEIC,0.0223%
Petmed Express Inc,PETS,0.0223%
Vista Outdoor Inc,VSTO,0.0222%
Ruth's Hospitality Group Inc,RUTH,0.0217%
OneSpaWorld Holdings Ltd,OSW,0.0213%
Winmark Corp,WINA,0.0208%
K12 Inc,LRN,0.0206%
Johnson Outdoors Inc,JOUT,0.0197%
MarineMax Inc,HZO,0.0189%
Tenneco Inc,TEN,0.0179%
GoPro Inc,GPRO,0.0176%
Chico's FAS Inc,CHS,0.0175%
Red Robin Gourmet Burgers Inc,RRGB,0.0175%
Golden Entertainment Inc,GDEN,0.0171%
Hibbett Sports Inc,HIBB,0.017%
Motorcar Parts of America Inc,MPAA,0.0169%
Shoe Carnival Inc,SCVL,0.0169%
Michaels Companies Inc,MIK,0.0167%
Carriage Services Inc,CSV,0.0165%
Chuy's Holdings Inc,CHUY,0.0162%
Playa Hotels & Resorts NV,PLYA,0.0159%
1-800-Flowers.Com Inc,FLWS,0.0158%
American Public Education Inc,APEI,0.0156%
