VDC: Vanguard Consumer Staples ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	5702359
Shares Outstanding: 34911000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Consumer Staples 25/50 Index
ETFdb.com Category: Consumer Staples Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VDC


Holding,Symbol,Weighting
Procter & Gamble Co,PG,14.6906%
Coca-Cola Co,KO,11.1031%
PepsiCo Inc,PEP,9.3448%
Walmart Inc,WMT,7.6226%
Philip Morris International Inc,PM,4.508%
Costco Wholesale Corp,COST,4.4393%
Mondelez International Inc,MDLZ,4.3182%
Altria Group Inc,MO,3.8235%
Colgate-Palmolive Co,CL,3.0554%
Kimberly-Clark Corp,KMB,2.4896%
Estee Lauder Companies Inc,EL,2.2874%
Walgreens Boots Alliance Inc,WBA,2.2177%
Sysco Corp,SYY,1.9835%
Constellation Brands Inc,STZ,1.6534%
General Mills Inc,GIS,1.515%
Monster Beverage Corp,MNST,1.382%
Archer Daniels Midland Co,ADM,1.3097%
Kroger Co,KR,1.2359%
Tyson Foods Inc,TSN,1.1904%
Hershey Co,HSY,1.1503%
Brown-Forman Corp,BF.B,1.0631%
Clorox Co,CLX,1.0584%
McCormick & Company Inc,MKC,0.9946%
Kraft Heinz Co,KHC,0.9809%
Church & Dwight Co Inc,CHD,0.9741%
Kellogg Co,K,0.8344%
Conagra Brands Inc,CAG,0.8153%
Lamb Weston Holdings Inc,LW,0.717%
Hormel Foods Corp,HRL,0.7081%
J M Smucker Co,SJM,0.6228%
Molson Coors Beverage Co,TAP,0.5632%
US Foods Holding Corp,USFD,0.4633%
Campbell Soup Co,CPB,0.4608%
Bunge Ltd,BG,0.4053%
Freshpet Inc,FRPT,0.4039%
Caseys General Stores Inc,CASY,0.3545%
Post Holdings Inc,POST,0.3498%
Ingredion Inc,INGR,0.3348%
Darling Ingredients Inc,DAR,0.3287%
Performance Food Group Co,PFGC,0.3208%
Herbalife Nutrition Ltd,HLF,0.2802%
Flowers Foods Inc,FLO,0.2425%
Boston Beer Company Inc,SAM,0.2226%
Energizer Holdings Inc,ENR,0.2165%
Coty Inc,COTY,0.2098%
Sanderson Farms Inc,SAFM,0.2068%
WD-40 Co,WDFC,0.1992%
Lancaster Colony Corp,LANC,0.1936%
Spectrum Brands Holdings Inc,SPB,0.1905%
J & J Snack Foods Corp,JJSF,0.1784%
Medifast Inc,MED,0.1749%
Hain Celestial Group Inc,HAIN,0.168%
BJ's Wholesale Club Holdings Inc,BJ,0.1612%
Inter Parfums Inc,IPAR,0.1592%
TreeHouse Foods Inc,THS,0.1552%
Simply Good Foods Co,SMPL,0.1478%
Vector Group Ltd,VGR,0.138%
Pilgrims Pride Corp,PPC,0.1333%
NU Skin Enterprises Inc,NUS,0.132%
Chefs' Warehouse Inc,CHEF,0.1308%
Hostess Brands Inc,TWNK,0.1267%
Sprouts Farmers Market Inc,SFM,0.1265%
Central Garden & Pet Co,CENTA,0.1247%
Coca-Cola Consolidated Inc,COKE,0.1231%
Edgewell Personal Care Co,EPC,0.1172%
PriceSmart Inc,PSMT,0.1139%
Calavo Growers Inc,CVGW,0.1085%
Universal Corp,UVV,0.1014%
USANA Health Sciences Inc,USNA,0.0968%
Fresh Del Monte Produce Inc,FDP,0.0962%
Rite Aid Corp,RAD,0.093%
Cal-Maine Foods Inc,CALM,0.0892%
Tootsie Roll Industries Inc,TR,0.0802%
e.l.f. Beauty Inc,ELF,0.0789%
Ingles Markets Inc,IMKTA,0.0727%
B&G Foods Inc,BGS,0.072%
John B Sanfilippo & Son Inc,JBSS,0.0718%
Weis Markets Inc,WMK,0.0693%
Andersons Inc,ANDE,0.0685%
Central Garden & Pet Co,CENT,0.062%
National Beverage Corp,FIZZ,0.0577%
Landec Corp,LNDC,0.0574%
SpartanNash Co,SPTN,0.0554%
United Natural Foods Inc,UNFI,0.0448%
MGP Ingredients Inc,MGPI,0.0436%
Village Super Market Inc,VLGEA,0.0368%
Farmer Bros Co,FARM,0.0285%
New Age Beverages Corp,NBEV,0.0212%
Grocery Outlet Holding Corp,GO,0.0159%
Beyond Meat Inc,BYND,0.0114%
Primo Water Corp,PRMW,0.0109%
Turning Point Brands Inc,TPB,0.0058%
Cash Component,CASH,0.0035%
