VNQ: Vanguard Real Estate Index Fund
Inception Date: 2004-09-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	38439697
Shares Outstanding: 402384000
Expense Ratio: 0.12%
Tracks This Index: MSCI US REIT Index
ETFdb.com Category: Real Estate
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VNQ


Holding,Symbol,Weighting
American Tower Corp,AMT,8.0772%
Prologis Inc,PLD,5.2449%
Crown Castle International Corp,CCI,4.7818%
Equinix Inc,EQIX,3.9287%
Simon Property Group Inc,SPG,3.3196%
Public Storage,PSA,2.7053%
Welltower Inc,WELL,2.6062%
Equity Residential,EQR,2.3866%
AvalonBay Communities Inc,AVB,2.3405%
SBA Communications Corp,SBAC,2.2372%
Digital Realty Trust Inc,DLR,1.9631%
Realty Income Corp,O,1.9342%
Boston Properties Inc,BXP,1.6857%
Ventas Inc,VTR,1.6787%
Weyerhaeuser Co,WY,1.6271%
Essex Property Trust Inc,ESS,1.5818%
CBRE Group Inc,CBRE,1.5637%
Alexandria Real Estate Equities Inc,ARE,1.4518%
Healthpeak Properties Inc,PEAK,1.3629%
Invitation Homes Inc,INVH,1.2948%
Mid-America Apartment Communities Inc,MAA,1.2308%
Sun Communities Inc,SUI,1.126%
WP Carey Inc,WPC,1.1068%
UDR Inc,UDR,1.0931%
Extra Space Storage Inc,EXR,1.0821%
Duke Realty Corp,DRE,1.0118%
Equity LifeStyle Properties Inc,ELS,0.963%
Host Hotels & Resorts Inc,HST,0.9317%
Medical Properties Trust Inc,MPW,0.9073%
Vornado Realty Trust,VNO,0.8706%
Camden Property Trust,CPT,0.8347%
Regency Centers Corp,REG,0.8085%
VEREIT Inc,VER,0.7905%
Gaming and Leisure Properties Inc,GLPI,0.7422%
VICI Properties Inc,VICI,0.7417%
Federal Realty Investment Trust,FRT,0.7333%
National Retail Properties Inc,NNN,0.7103%
Omega Healthcare Investors Inc,OHI,0.7099%
Iron Mountain Inc,IRM,0.6985%
