VNQI: Vanguard Global ex-U.S. Real Estate Index Fund ETF
Inception Date: 2010-11-01
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	5737185
Shares Outstanding: 98611000
Expense Ratio: 0.12%
Tracks This Index: S&P Global ex-U.S. Property Index
ETFdb.com Category: Global Real Estate
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VNQI


Holding,Symbol,Weighting
Vonovia SE,VNA,2.6741%
Mitsubishi Estate Co Ltd,8802,2.3911%
Mitsui Fudosan Co Ltd,8801,2.3166%
Sun Hung Kai Properties Ltd,16,1.8827%
Link Real Estate Investment Trust,823,1.873%
Daiwa House Industry Co Ltd,1925,1.8598%
Sumitomo Realty & Development Co Ltd,8830,1.5814%
WFD Unibail Rodamco NV,URW,1.5718%
CK Asset Holdings Ltd,1113,1.4736%
Goodman Group,GMG,1.3984%
Deutsche Wohnen SE,DWNI,1.2911%
Scentre Group,SCG,1.1731%
SEGRO PLC,SGRO,1.1042%
China Resources Land Ltd,1109,1.0698%
China Overseas Land & Investment Ltd,688,1.0689%
Sunac China Holdings Ltd,1918,1.0563%
Nippon Building Fund Inc,8951,0.9534%
Gecina SA,GFC,0.8925%
Japan Real Estate Investment Corp,8952,0.8635%
Country Garden Holdings Co Ltd,2007,0.838%
Daito Trust Construction Co Ltd,1878,0.8115%
Dexus,DXS,0.8057%
SM Prime Holdings Inc,SMPH,0.8025%
Swiss Prime Site AG,SPSN,0.8011%
Land Securities Group PLC,LAND,0.7845%
Mirvac Group,MGR,0.7652%
LEG Immobilien AG,LEG,0.7255%
Nomura Real Estate Master Fund Inc,3462,0.7194%
Aroundtown SA,AT1,0.7161%
Stockland Corporation Ltd,SGP,0.6853%
GPT Group,GPT,0.6789%
Henderson Land Development Co Ltd,12,0.6467%
LendLease Group,LLC,0.6135%
Ascendas Real Estate Investment Trust,A17U,0.5953%
China Evergrande Group,3333,0.5945%
British Land Company PLC,BLND,0.5844%
Klepierre SA,LI,0.5781%
Nippon Prologis REIT Inc,3283,0.5758%
Capitaland Ltd,C31,0.5718%
Castellum AB,CAST,0.5525%
Wharf Real Estate Investment Company Ltd,1997,0.5521%
Hongkong Land Holdings Ltd,H78,0.5429%
Longfor Group Holdings Ltd,960,0.538%
PSP Swiss Property AG,PSPN,0.5364%
Hulic Co Ltd,3003,0.5338%
Orix JREIT Inc,8954,0.5273%
Unite Group PLC,UTG,0.5184%
Derwent London PLC,DLN,0.4842%
Japan Retail Fund Investment Corp,8953,0.4827%
United Urban Investment Corp,8960,0.4802%
Vicinity Centres,VCX,0.4624%
Covivio SA,COV,0.4539%
China Vanke Co Ltd,2202,0.4517%
GLP J-REIT,3281,0.4456%
MERLIN Properties SOCIMI SA,MRL,0.4419%
Capitaland Mall Trust,C38U,0.4302%
Ayala Land Inc,ALI,0.4297%
Wheelock and Co Ltd,20,0.4273%
Fibra Uno Administracion SA de CV,FUNO11,0.4253%
City Developments Ltd,C09,0.4232%
Fastighets AB Balder,BALD.B,0.4152%
Fabege AB,FABG,0.4148%
Daiwa House Reit Investment Corp,8984,0.41%
Japan Prime Realty Investment Corp,8955,0.3796%
Tokyu Fudosan Holdings Corp,3289,0.3757%
Advance Residence Investment Corp,3269,0.3737%
CapitaLand Commercial Trust,C61U,0.3607%
Activia Properties Inc,3279,0.3569%
Mapletree Logistics Trust,M44U,0.3524%
Growthpoint Properties Ltd,GRT,0.3508%
Hang Lung Properties Ltd,101,0.3472%
Cofinimmo SA,COFB,0.3417%
Charter Hall Group,CHC,0.3381%
NEPI Rockcastle PLC,NRP,0.3365%
Sino Land Co Ltd,83,0.3344%
TAG Immobilien AG,TEG,0.3342%
China Vanke Co Ltd,000002,0.3306%
Warehouses de Pauw Comm VA,WDP,0.3289%
Emaar Properties PJSC,EMAAR,0.3283%
BR Malls Participacoes SA,BRML3,0.3113%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,0.3088%
Tokyo Tatemono Co Ltd,8804,0.3079%
Mapletree Commercial Trust,N2IU,0.3045%
China Jinmao Holdings Group Ltd,817,0.302%
Sekisui House Reit Inc,3309,0.3018%
Aedifica SA,AED,0.295%
Inmobiliaria Colonial SOCIMI SA,COL,0.2917%
Shimao Property Holdings Ltd,813,0.2903%
Swire Properties Ltd,1972,0.2835%
RioCan Real Estate Investment Trust,REI.UN,0.2761%
Kenedix Office Investment Corp,8972,0.2755%
CA Immobilien Anlagen AG,CAI,0.2752%
UOL Group Ltd,U14,0.2734%
Daiwa Office Investment Corp,8976,0.2721%
Tritax Big Box Reit PLC,BBOX,0.2701%
alstria office REIT AG,AOX,0.2693%
Icade SA,ICAD,0.2679%
Invincible Investment Corp,8963,0.2645%
Great Portland Estates PLC,GPOR,0.264%
Japan Hotel Reit Investment Corp,8985,0.2636%
Mapletree Industrial Trust,ME8U,0.2612%
Wharf Holdings Ltd,4,0.2609%
Allreal Holding AG,ALLN,0.2601%
Suntec Real Estate Investment Trust,T82U,0.2596%
Nomura Real Estate Holdings Inc,3231,0.2581%
Azrieli Group Ltd,AZRG,0.2458%
Industrial & Infrastructure Fund Investment Corp,3249,0.2406%
CIFI Holdings (Group) Co Ltd,884,0.2349%
Wallenstam AB,WALL.B,0.2319%
Central Pattana PCL,CPN-F,0.2281%
Capital & Counties Properties PLC,CAPC,0.2278%
Mori Hills Reit Investment Corp,3234,0.2268%
Japan Logistics Fund Inc,8967,0.2252%
Allied Properties Real Estate Investment Trust,AP.UN,0.2234%
Redefine Properties Ltd,RDF,0.2226%
Grand City Properties SA,GYC,0.2224%
Nippon Accommodations Fund Inc,3226,0.2217%
Wihlborgs Fastigheter AB,WIHL,0.2202%
Entra ASA,ENTRA,0.2185%
Immofinanz AG,IIA,0.2172%
Londonmetric Property PLC,LMP,0.217%
Primary Health Properties PLC,PHP,0.2156%
Shaftesbury PLC,SHB,0.2141%
Assura PLC,AGR,0.2122%
Grainger PLC,GRI,0.2113%
Big Yellow Group PLC,BYG,0.205%
Hysan Development Co Ltd,14,0.2027%
Aldar Properties PJSC,ALDAR,0.2017%
Hufvudstaden AB,HUFV.A,0.1948%
LaSalle Logiport REIT,3466,0.1941%
H&R Real Estate Investment Trust,HR.UN,0.1937%
Hulic Reit Inc,3295,0.1907%
Hammerson PLC,HMSO,0.1906%
Samhallsbyggnadsbolaget I Norden AB,SBB.B,0.1903%
Alony Hetz Properties and Investments Ltd,ALHE,0.1884%
Nexity SA,NXI,0.188%
Agile Group Holdings Ltd,3383,0.1876%
Safestore Holdings PLC,SAFE,0.1854%
Japan Excellent Inc,8987,0.1839%
Aeon Reit Investment Corp,3292,0.1827%
Multiplan Empreendimentos Imobiliarios SA,MULT3,0.1785%
Workspace Group PLC,WKP,0.1756%
Hang Lung Group Ltd,10,0.1753%
Keppel DC REIT,AJBU,0.175%
Mobimo Holding AG,MOBN,0.1748%
Unizo Holdings Co Ltd,3258,0.1744%
Premier Investment Corp,8956,0.1743%
MCUBS MidCity Investment Corp,3227,0.1739%
TLG Immobilien AG,TLG,0.1714%
Guangzhou R&F Properties Co Ltd,2777,0.1707%
Poly Developments and Holdings Group Co Ltd,600048,0.1687%
DLF Ltd,DLFU,0.1681%
Logan Property Holdings Co Ltd,3380,0.1677%
Kungsleden AB,KLED,0.1652%
Comforia Residential Reit Inc,3282,0.1639%
Invesco Office J-Reit Inc,3298,0.1632%
Tokyu REIT Inc,8957,0.163%
Shopping Centres Australasia Property Group Re Ltd,SCP,0.1623%
Mapletree North Asia Commercial Trust,RW0U,0.1589%
Barwa Real Estate Company QPSC,BRES,0.1569%
Mitsui Fudosan Logistics Park Inc,3471,0.1555%
Mori Trust Sogo Reit Inc,8961,0.1551%
Nippon REIT Investment Corp,3296,0.1544%
First Capital Realty Inc,FCR.UN,0.1508%
Keppel REIT,K71U,0.1499%
Aeon Mall Co Ltd,8905,0.1487%
Kerry Properties Ltd,683,0.1476%
SmartCentres Real Estate Investment Trust,SRU.UN,0.1462%
Ichigo Office REIT Investment Corp,8975,0.1462%
Choice Properties Real Estate Investment Trust,CHP.UN,0.1457%
Ascott Residence Trust,HMN,0.1449%
Seazen Group Ltd,1030,0.1439%
Goodman Property Trust,GMT,0.1423%
Aliansce Sonae Shopping Centers SA,ALSO3,0.1416%
Nyfosa AB,NYF,0.141%
China Aoyuan Group Ltd,3883,0.1409%
Frontier Real Estate Investment Corp,8964,0.1407%
KWG Group Holdings Ltd,1813,0.1383%
Fortune Real Estate Investment Trust,778,0.1383%
Parque Arauco SA,PARAUCO,0.1373%
Kiwi Property Group Ltd,KPG,0.1351%
Greentown China Holdings Ltd,3900,0.134%
Japan Rental Housing Investments Inc,8986,0.1336%
Manulife US Real Estate Investment Trust,BTOU,0.1335%
Charter Hall Long WALE REIT,CLW,0.1334%
Kenedix Residential Next Investment Corp,3278,0.1311%
Frasers Centrepoint Trust,J69U,0.1308%
Cromwell Property Group,CMW,0.1307%
China Merchants Shekou Industrial Zone Holdings Co Ltd,001979,0.1292%
Times China Holdings Ltd,1233,0.1272%
Kenedix Retail Reit Corp,3453,0.1272%
Mitsubishi Estate Logistics REIT Investment Corp,3481,0.1271%
Granite Real Estate Investment Trust,GRT.UN,0.1244%
Frasers Logistics & Industrial Trust,BUOU,0.1225%
S Immo AG,SPI,0.1217%
Befimmo SA,BEFB,0.1217%
Melisron Ltd,MLSR,0.1214%
