VRAI: Virtus Real Asset Income ETF
Inception Date: 2019-02-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	258851
Shares Outstanding: 10500000
Expense Ratio: 0.55%
Tracks This Index: Indxx Real Asset Income Index
ETFdb.com Category: Real Estate
Issuer: Virtus
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VRAI


Holding,Symbol,Weighting
Cogent Communications Holdings Inc,CCOI,1.3229%
Norbord Inc,OSB,1.3046%
Global Medical REIT Inc,GMRE,1.2978%
Medical Properties Trust Inc,MPW,1.2806%
Brookfield Renewable Partners LP,BEP.UN,1.2802%
Brookfield Infrastructure Partners LP,BIP,1.2778%
Gaming and Leisure Properties Inc,GLPI,1.2592%
CareTrust REIT Inc,CTRE,1.2579%
Algonquin Power & Utilities Corp,AQN,1.2541%
Realty Income Corp,O,1.2515%
Highwoods Properties Inc,HIW,1.2424%
National Retail Properties Inc,NNN,1.2407%
Grupo Aeroportuario del Pacifico SAB de CV,PAC,1.2318%
Piedmont Office Realty Trust Inc,PDM,1.2309%
MGM Growth Properties LLC,MGP,1.2267%
Telecom Argentina SA,TEO,1.2257%
Newmont Corporation,NEM,1.225%
Enbridge Inc,ENB,1.2183%
Lamar Advertising Co,LAMR,1.2113%
National Health Investors Inc,NHI,1.209%
Public Storage,PSA,1.206%
Avista Corp,AVA,1.2039%
Apartment Investment and Management Co,AIV,1.1994%
SL Green Realty Corp,SLG,1.1835%
TC Energy Corp,TRP,1.1831%
STAG Industrial Inc,STAG,1.1786%
OGE Energy Corp,OGE,1.1781%
Dominion Energy Inc,D,1.1766%
Enel Chile SA,ENIC,1.1754%
Shell Midstream Partners LP,SHLX,1.1708%
Brandywine Realty Trust,BDN,1.158%
EPR Properties,EPR,1.1524%
Tallgrass Energy LP,TGE,1.1484%
Kinder Morgan Inc,KMI,1.1481%
ONEOK Inc,OKE,1.1433%
Omega Healthcare Investors Inc,OHI,1.1395%
CubeSmart,CUBE,1.1386%
Compass Minerals International Inc,CMP,1.1371%
American Campus Communities Inc,ACC,1.1363%
Ryman Hospitality Properties Inc,RHP,1.1345%
Iron Mountain Inc,IRM,1.1337%
CoreSite Realty Corp,COR,1.1329%
Delek Logistics Partners LP,DKL,1.1213%
Telefonica Brasil SA,VIV,1.1208%
Ingredion Inc,INGR,1.1164%
Ternium SA,TX,1.1157%
Phillips 66 Partners LP,PSXP,1.1148%
CNOOC Ltd,CEO,1.1141%
Getty Realty Corp,GTY,1.1124%
Simon Property Group Inc,SPG,1.1098%
Brixmor Property Group Inc,BRX,1.1096%
Telekomunikasi Indonesia (Persero) Tbk PT,TLK,1.0975%
Weingarten Realty Investors,WRI,1.0971%
Westlake Chemical Partners LP,WLKP,1.0954%
Orange SA,ORAN,1.0812%
Summit Hotel Properties Inc,INN,1.0794%
Transportadora de Gas del Sur SA,TGS,1.0716%
BHP Group Ltd,BHP,1.069%
Cheniere Energy Partners LP,CQP,1.0632%
Saul Centers Inc,BFS,1.0619%
Eastman Chemical Co,EMN,1.0511%
Canadian Natural Resources Ltd,CNQ,1.0436%
Rio Tinto PLC,RIO,1.0419%
Southern Copper Corp,SCCO,1.0408%
Sinopec Shanghai Petrochemical Co Ltd,SHI,1.0358%
Enel Americas SA,ENIA,1.0356%
China Petroleum & Chemical Corp,SNP,1.0356%
Suncor Energy Inc,SU,1.0294%
PetroChina Co Ltd,PTR,1.0291%
KT Corp,KT,1.0242%
Israel Chemicals Ltd,ICL,1.0198%
CNX Midstream Partners LP,CNXM,1.0177%
Marathon Petroleum Corp,MPC,1.0117%
Equinor ASA,EQNR,1.008%
Viper Energy Partners LP,VNOM,1.0063%
Valero Energy Corp,VLO,1.0023%
Huntsman Corp,HUN,0.9935%
LyondellBasell Industries NV,LYB,0.9925%
PolyOne Corp,POL,0.9883%
Dorchester Minerals LP,DMLP,0.9882%
Schweitzer-Mauduit International Inc,SWM,0.9521%
Steel Dynamics Inc,STLD,0.9465%
RPC Inc,RES,0.935%
CVR Energy Inc,CVI,0.9327%
Delek US Holdings Inc,DK,0.9315%
Western Midstream Partners LP,WES,0.9241%
Washington Prime Group Inc,WPG,0.9226%
Phillips 66,PSX,0.9088%
EQM Midstream Partners LP,EQM,0.9073%
Black Stone Minerals LP,BSM,0.8838%
Cash Component,CASH,0.0023%
