WOOD: iShares Global Timber & Forestry ETF
Inception Date: 2008-06-24
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	239410
Shares Outstanding: 3780000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Timber & Forestry Index
ETFdb.com Category: Materials
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/WOOD


Holding,Symbol,Weighting
Svenska Cellulosa SCA AB,SCA.B,8.2293%
Weyerhaeuser Co,WY,7.6704%
Rayonier Inc,RYN,7.4527%
PotlatchDeltic Corp,PCH,7.228%
West Fraser Timber Co Ltd,WFT,5.9563%
Klabin SA,KLBN11,4.723%
Smurfit Kappa Group PLC,SK3,4.5436%
Oji Holdings Corp,3861,4.3473%
Westrock Co,WRK,4.284%
Holmen AB,HOLM.B,4.1331%
UPM-Kymmene Oyj,UPM,4.0771%
Suzano SA,SUZB3,4.0759%
Stora Enso Oyj,STERV,4.0213%
International Paper Co,IP,3.9871%
Mondi PLC,MNDI,3.9083%
Sumitomo Forestry Co Ltd,1911,3.5608%
Domtar Corp,UFS,2.9086%
Nippon Paper Industries Co Ltd,3863,2.4427%
Daio Paper Corp,3880,2.2416%
Interfor Corp,IFP,2.0698%
Canfor Corp,CFP,1.6807%
Sappi Ltd,SAP,1.68%
Metsa Board Oyj,METSB,1.6522%
Duratex SA,DTEX3,1.4969%
CatchMark Timber Trust Inc,CTT,1.4153%
Cash Component,CASH,0.2139%
