XAR: SPDR S&P Aerospace & Defense ETF
Inception Date: 2011-09-28
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2314483
Shares Outstanding: 19750000
Expense Ratio: 0.35%
Tracks This Index: S&P Aerospace & Defense Select Industry Index 
ETFdb.com Category: Industrials Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XAR


Holding,Symbol,Weighting
Aerojet Rocketdyne Holdings Inc,AJRD,4.4377%
Textron Inc,TXT,4.3116%
Mercury Systems Inc,MRCY,4.2729%
L3Harris Technologies Inc,LHX,4.2367%
Axon Enterprise Inc,AAXN,4.2221%
Lockheed Martin Corp,LMT,4.1972%
Teledyne Technologies Inc,TDY,4.0788%
TransDigm Group Inc,TDG,4.0718%
Huntington Ingalls Industries Inc,HII,3.9594%
Raytheon Co,RTN,3.9199%
BWX Technologies Inc,BWXT,3.8902%
United Technologies Corp,UTX,3.8863%
Northrop Grumman Corp,NOC,3.8736%
Maxar Technologies Inc,MAXR,3.8653%
General Dynamics Corp,GD,3.8499%
Curtiss-Wright Corp,CW,3.7915%
HEICO Corp,HEI,3.7612%
Arconic Inc,ARNC,3.6517%
Boeing Co,BA,3.6437%
Hexcel Corp,HXL,3.5451%
Kratos Defense and Security Solutions Inc,KTOS,3.4537%
Spirit AeroSystems Holdings Inc,SPR,3.1928%
Cubic Corp,CUB,2.8669%
Moog Inc,MOG.A,1.92%
AeroVironment Inc,AVAV,1.9162%
Parsons Corp,PSN,1.8599%
Triumph Group Inc,TGI,1.4071%
AAR Corp,AIR,1.3088%
Astronics Corp,ATRO,0.9432%
National Presto Industries Inc,NPK,0.6311%
Vectrus Inc,VEC,0.5991%
Ducommun Inc,DCO,0.4541%
Cash Component,CASH,-0.0195%
