XHB: SPDR S&P Homebuilders ETF
Inception Date: 2006-02-06
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	826638
Shares Outstanding: 17250000
Expense Ratio: 0.35%
Tracks This Index: S&P Homebuilders Select Industry Index
ETFdb.com Category: Building & Construction 
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XHB


Holding,Symbol,Weighting
Lennar Corp,LEN,5.1079%
PulteGroup Inc,PHM,4.9274%
Home Depot Inc,HD,4.7835%
D.R. Horton Inc,DHI,4.7804%
Masco Corp,MAS,4.4816%
Lowe's Companies Inc,LOW,4.4261%
NVR Inc,NVR,4.4191%
Whirlpool Corp,WHR,4.3404%
Johnson Controls International PLC,JCI,4.2501%
Owens Corning,OC,4.1152%
Fortune Brands Home & Security Inc,FBHS,4.0807%
Mohawk Industries Inc,MHK,3.9756%
Lennox International Inc,LII,3.9002%
Allegion PLC,ALLE,3.8936%
Williams-Sonoma Inc,WSM,3.805%
Toll Brothers Inc,TOL,3.697%
Tempur Sealy International Inc,TPX,2.9458%
A. O. Smith Corp,AOS,2.8337%
Floor & Decor Holdings Inc,FND,2.7033%
Trex Company Inc,TREX,2.6715%
Taylor Morrison Home Corp,TMHC,2.5609%
Aaron's Inc,AAN,2.4321%
Leggett & Platt Inc,LEG,2.2808%
Armstrong World Industries Inc,AWI,2.0091%
Helen of Troy Ltd,HELE,1.6361%
TRI Pointe Group Inc,TPH,1.5323%
TopBuild Corp,BLD,1.5092%
LGI Homes Inc,LGIH,1.4122%
MDC Holdings Inc,MDC,1.3787%
Installed Building Products Inc,IBP,0.702%
Century Communities Inc,CCS,0.6872%
Cavco Industries Inc,CVCO,0.611%
Skyline Champion Corp,SKY,0.5737%
M/I Homes Inc,MHO,0.4778%
Cash Component,CASH,0.0587%
