XHE: SPDR S&P Health Care Equipment ETF
Inception Date: 2011-01-26
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	572337
Shares Outstanding: 6600000
Expense Ratio: 0.35%
Tracks This Index: S&P Health Care Equipment Select Industry Index
ETFdb.com Category: Health & Biotech Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XHE


Holding,Symbol,Weighting
iRhythm Technologies Inc,IRTC,2.2491%
Merit Medical Systems Inc,MMSI,2.1791%
Nevro Corp,NVRO,2.0911%
Tandem Diabetes Care Inc,TNDM,2.0524%
ICU Medical Inc,ICUI,1.9748%
DexCom Inc,DXCM,1.9695%
Insulet Corp,PODD,1.9024%
Glaukos Corp,GKOS,1.8757%
Cryoport Inc,CYRX,1.8652%
Masimo Corp,MASI,1.8648%
Resmed Inc,RMD,1.8636%
Penumbra Inc,PEN,1.8424%
IDEXX Laboratories Inc,IDXX,1.839%
Cooper Companies Inc,COO,1.827%
Danaher Corp,DHR,1.8214%
Baxter International Inc,BAX,1.8126%
West Pharmaceutical Services Inc,WST,1.8111%
Integer Holdings Corp,ITGR,1.7953%
Quidel Corp,QDEL,1.7897%
Stryker Corp,SYK,1.7611%
Zimmer Biomet Holdings Inc,ZBH,1.7584%
Medtronic PLC,MDT,1.7498%
Teleflex Inc,TFX,1.7396%
Haemonetics Corp,HAE,1.7203%
Abiomed Inc,ABMD,1.7163%
Mesa Laboratories Inc,MLAB,1.6963%
Abbott Laboratories,ABT,1.6961%
Wright Medical Group NV,WMGI,1.6896%
Dentsply Sirona Inc,XRAY,1.688%
Neogen Corp,NEOG,1.68%
Steris plc,STE,1.6759%
Hologic Inc,HOLX,1.669%
NuVasive Inc,NUVA,1.6688%
Edwards Lifesciences Corp,EW,1.6659%
Varian Medical Systems Inc,VAR,1.6624%
Intuitive Surgical Inc,ISRG,1.6559%
Hill-Rom Holdings Inc,HRC,1.6528%
Atrion Corp,ATRI,1.6319%
Align Technology Inc,ALGN,1.6239%
STAAR Surgical Co,STAA,1.5705%
Boston Scientific Corp,BSX,1.5615%
Integra Lifesciences Holdings Corp,IART,1.5527%
Becton Dickinson and Co,BDX,1.5269%
Globus Medical Inc,GMED,1.5244%
Cardiovascular Systems Inc,CSII,1.492%
Avanos Medical Inc,AVNS,1.486%
Tactile Systems Technology Inc,TCMD,1.4607%
AtriCure Inc,ATRC,1.4266%
Cantel Medical Corp,CMD,1.3859%
Heska Corp,HSKA,1.3658%
CryoLife Inc,CRY,1.1443%
Lantheus Holdings Inc,LNTH,1.1097%
Inogen Inc,INGN,1.1031%
Cerus Corp,CERS,0.9927%
Natus Medical Inc,NTUS,0.929%
Orthofix Medical Inc,OFIX,0.901%
Varex Imaging Corp,VREX,0.8059%
AxoGen Inc,AXGN,0.7547%
Cutera Inc,CUTR,0.6714%
OraSure Technologies Inc,OSUR,0.6688%
Surmodics Inc,SRDX,0.6502%
AngioDynamics Inc,ANGO,0.611%
LeMaitre Vascular Inc,LMAT,0.6079%
Antares Pharma Inc,ATRS,0.4882%
Meridian Bioscience Inc,VIVO,0.4235%
Cash Component,CASH,-0.0028%
