XME: SPDR S&P Metals & Mining ETF
Inception Date: 2006-06-19
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	407559
Shares Outstanding: 15650000
Expense Ratio: 0.35%
Tracks This Index: S&P Metals & Mining Select Industry Index
ETFdb.com Category: Materials
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XME


Holding,Symbol,Weighting
Hecla Mining Co,HL,5.6676%
Newmont Corporation,NEM,5.372%
Warrior Met Coal Inc,HCC,5.0194%
Reliance Steel & Aluminum Co,RS,4.8845%
Commercial Metals Co,CMC,4.7878%
Compass Minerals International Inc,CMP,4.6856%
Freeport-McMoRan Inc,FCX,4.6209%
Royal Gold Inc,RGLD,4.601%
Cleveland-Cliffs Inc,CLF,4.4143%
Allegheny Technologies Inc,ATI,4.4089%
AK Steel Holding Corp,AKS,4.3784%
Nucor Corp,NUE,4.2764%
Peabody Energy Corp,BTU,4.2412%
Steel Dynamics Inc,STLD,4.2168%
Coeur Mining Inc,CDE,4.2008%
Arch Coal Inc,ARCH,3.7937%
Alcoa Corp,AA,3.7881%
Carpenter Technology Corp,CRS,3.6312%
Kaiser Aluminum Corp,KALU,3.547%
United States Steel Corp,X,3.3301%
Worthington Industries Inc,WOR,2.3443%
SunCoke Energy Inc,SXC,2.2154%
McEwen Mining Inc,MUX,2.1506%
Materion Corp,MTRN,2.1328%
Schnitzer Steel Industries Inc,SCHN,1.2999%
CONSOL Energy Inc,CEIX,1.2728%
Haynes International Inc,HAYN,0.698%
Cash Component,CASH,0.0204%
