XNTK: NYSE Technology ETF
Inception Date: 2000-09-29
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	375197
Shares Outstanding: 4200000
Expense Ratio: 0.35%
Tracks This Index: NYSE Technology Index
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XNTK


Holding,Symbol,Weighting
Tesla Inc,TSLA,5.2924%
ServiceNow Inc,NOW,3.1612%
Shopify Inc,SHOP,3.1294%
Netflix Inc,NFLX,3.1039%
Advanced Micro Devices Inc,AMD,3.0551%
Workday Inc,WDAY,3.0446%
Microsoft Corp,MSFT,3.0054%
Amazon.com Inc,AMZN,2.9793%
JD.com Inc,JD,2.9742%
Apple Inc,AAPL,2.9376%
Adobe Inc,ADBE,2.9178%
Salesforce.Com Inc,CRM,2.9106%
International Business Machines Corp,IBM,2.8919%
Intel Corp,INTC,2.8882%
Intuit Inc,INTU,2.8636%
NVIDIA Corp,NVDA,2.8389%
Lam Research Corp,LRCX,2.8245%
Micron Technology Inc,MU,2.8092%
Alphabet Inc,GOOGL,2.7816%
Baidu Inc,BIDU,2.7784%
Facebook Inc,FB,2.7667%
NXP Semiconductors NV,NXPI,2.7005%
Cisco Systems Inc,CSCO,2.6763%
Alibaba Group Holding Ltd,BABA,2.6759%
ASML Holding NV,ASML,2.6628%
Activision Blizzard Inc,ATVI,2.6532%
VMware Inc,VMW,2.61%
Applied Materials Inc,AMAT,2.6057%
Texas Instruments Inc,TXN,2.5702%
Oracle Corp,ORCL,2.5384%
Broadcom Inc,AVGO,2.5266%
Qualcomm Inc,QCOM,2.5169%
Booking Holdings Inc,BKNG,2.4796%
Taiwan Semiconductor Manufacturing Co Ltd,TSM,2.4384%
Analog Devices Inc,ADI,2.3879%
Cash Component,CASH,0.0033%
