XPH: SPDR S&P Pharmaceuticals ETF
Inception Date: 2006-06-19
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	246190
Shares Outstanding: 5250000
Expense Ratio: 0.35%
Tracks This Index: S&P Pharmaceuticals Select Industry Index
ETFdb.com Category: Health & Biotech Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XPH


Holding,Symbol,Weighting
Eli Lilly and Co,LLY,4.7856%
Mylan NV,MYL,4.7271%
Elanco Animal Health Inc,ELAN,4.4906%
Zoetis Inc,ZTS,4.4368%
Perrigo Company PLC,PRGO,4.414%
Reata Pharmaceuticals Inc,RETA,4.3116%
Johnson & Johnson,JNJ,4.268%
Nektar Therapeutics,NKTR,4.224%
Horizon Therapeutics PLC,HZNP,4.1736%
Allergan plc,AGN,4.1609%
Bristol-Myers Squibb Co,BMY,4.1256%
Axsome Therapeutics Inc,AXSM,3.9839%
Catalent Inc,CTLT,3.9805%
Pfizer Inc,PFE,3.9449%
Jazz Pharmaceuticals PLC,JAZZ,3.8286%
Merck & Co Inc,MRK,3.7899%
Aerie Pharmaceuticals Inc,AERI,2.6205%
Pacira Biosciences Inc,PCRX,2.2668%
MyoKardia Inc,MYOK,1.9541%
Supernus Pharmaceuticals Inc,SUPN,1.5683%
Prestige Consumer Healthcare Inc,PBH,1.4719%
Cara Therapeutics Inc,CARA,1.35%
Intra-Cellular Therapies Inc,ITCI,1.3496%
ANI Pharmaceuticals Inc,ANIP,1.204%
Zogenix Inc,ZGNX,1.2025%
Corcept Therapeutics Inc,CORT,1.1307%
TherapeuticsMD Inc,TXMD,1.0374%
Revance Therapeutics Inc,RVNC,0.95%
Arvinas Inc,ARVN,0.8839%
Intersect Ent Inc,XENT,0.8075%
Tricida Inc,TCDA,0.7722%
Innoviva Inc,INVA,0.7665%
Theravance Biopharma Inc,TBPH,0.6751%
Omeros Corp,OMER,0.6467%
Collegium Pharmaceutical Inc,COLL,0.6226%
Phibro Animal Health Corp,PAHC,0.5194%
Amphastar Pharmaceuticals Inc,AMPH,0.4552%
BioDelivery Sciences International Inc,BDSI,0.3241%
WAVE Life Sciences Ltd,WVE,0.1067%
Cash Component,CASH,0.0005%
