XRT: SPDR S&P Retail ETF
Inception Date: 2006-06-19
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	250219
Shares Outstanding: 5700000
Expense Ratio: 0.35%
Tracks This Index: S&P Retail Select Industry Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XRT


Holding,Symbol,Weighting
Rite Aid Corp,RAD,2.2258%
L Brands Inc,LB,1.7147%
Signet Jewelers Ltd,SIG,1.6137%
Childrens Place Inc,PLCE,1.5747%
Amazon.com Inc,AMZN,1.5158%
Etsy Inc,ETSY,1.5108%
Ulta Beauty Inc,ULTA,1.4968%
GrubHub Inc,GRUB,1.495%
Wayfair Inc,W,1.4208%
Guess? Inc,GES,1.4121%
Foot Locker Inc,FL,1.4035%
Macy's Inc,M,1.3906%
Costco Wholesale Corp,COST,1.3861%
Caseys General Stores Inc,CASY,1.3791%
Gap Inc,GPS,1.3769%
Petmed Express Inc,PETS,1.375%
National Vision Holdings Inc,EYE,1.3655%
Groupon Inc,GRPN,1.335%
Best Buy Co Inc,BBY,1.3203%
Qurate Retail Inc,QRTEA,1.3187%
eBay Inc,EBAY,1.3129%
Tractor Supply Co,TSCO,1.3109%
Ross Stores Inc,ROST,1.3108%
Big Lots Inc,BIG,1.3099%
Burlington Stores Inc,BURL,1.3089%
TJX Companies Inc,TJX,1.3088%
Dollar General Corp,DG,1.2921%
Tiffany & Co,TIF,1.2893%
Grocery Outlet Holding Corp,GO,1.2893%
Kroger Co,KR,1.2816%
Nordstrom Inc,JWN,1.2783%
Abercrombie & Fitch Co,ANF,1.2759%
Chewy Inc,CHWY,1.2703%
Designer Brands Inc,DBI,1.2696%
American Eagle Outfitters Inc,AEO,1.2686%
Carmax Inc,KMX,1.268%
Rent-A-Center Inc,RCII,1.2615%
Stamps.Com Inc,STMP,1.2594%
Expedia Group Inc,EXPE,1.259%
Urban Outfitters Inc,URBN,1.2476%
Walmart Inc,WMT,1.2468%
Penske Automotive Group Inc,PAG,1.2467%
Carvana Co,CVNA,1.2429%
Booking Holdings Inc,BKNG,1.2181%
Dillard's Inc,DDS,1.2082%
Dollar Tree Inc,DLTR,1.199%
Dick's Sporting Goods Inc,DKS,1.1887%
Five Below Inc,FIVE,1.1843%
Walgreens Boots Alliance Inc,WBA,1.1837%
Murphy Usa Inc,MUSA,1.1703%
Target Corp,TGT,1.1694%
Kohls Corp,KSS,1.1674%
Stitch Fix Inc,SFIX,1.1657%
Zumiez Inc,ZUMZ,1.162%
BJ's Wholesale Club Holdings Inc,BJ,1.154%
Group 1 Automotive Inc,GPI,1.1498%
Office Depot Inc,ODP,1.1497%
O'Reilly Automotive Inc,ORLY,1.1305%
AutoNation Inc,AN,1.1187%
Autozone Inc,AZO,1.1097%
Advance Auto Parts Inc,AAP,1.1023%
Lithia Motors Inc,LAD,1.0944%
Boot Barn Holdings Inc,BOOT,1.0692%
Michaels Companies Inc,MIK,1.0407%
Hibbett Sports Inc,HIBB,1.0399%
Asbury Automotive Group Inc,ABG,1.0328%
Monro Inc,MNRO,0.9992%
Buckle Inc,BKE,0.986%
Sprouts Farmers Market Inc,SFM,0.9795%
Sally Beauty Holdings Inc,SBH,0.9472%
PriceSmart Inc,PSMT,0.9298%
Ollie's Bargain Outlet Holdings Inc,OLLI,0.9226%
GameStop Corp,GME,0.8999%
Sonic Automotive Inc,SAH,0.8733%
Genesco Inc,GCO,0.8509%
Caleres Inc,CAL,0.7943%
Chico's FAS Inc,CHS,0.7742%
Rubicon Project Inc,RUBI,0.7363%
Shutterstock Inc,SSTK,0.7299%
Conn's Inc,CONN,0.7208%
America's CAR-MART Inc,CRMT,0.6957%
1-800-Flowers.Com Inc,FLWS,0.4606%
Quotient Technology Inc,QUOT,0.418%
MarineMax Inc,HZO,0.2739%
Weis Markets Inc,WMK,0.2734%
Ingles Markets Inc,IMKTA,0.2401%
Cato Corp,CATO,0.2178%
Cash Component,CASH,0.0281%
