XSD: SPDR S&P Semiconductor ETF
Inception Date: 2006-02-06
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	502156
Shares Outstanding: 4750000
Expense Ratio: 0.35%
Tracks This Index: S&P Semiconductor Select Industry
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XSD


Holding,Symbol,Weighting
Synaptics Inc,SYNA,3.9436%
SunPower Corp,SPWR,3.7065%
Advanced Micro Devices Inc,AMD,3.609%
Intel Corp,INTC,3.4123%
Ambarella Inc,AMBA,3.3855%
NVIDIA Corp,NVDA,3.3508%
Micron Technology Inc,MU,3.3165%
Inphi Corp,IPHI,3.3075%
Maxim Integrated Products Inc,MXIM,3.1325%
Semtech Corp,SMTC,3.1102%
Microchip Technology Inc,MCHP,3.1064%
Cree Inc,CREE,3.0965%
Monolithic Power Systems Inc,MPWR,3.082%
Skyworks Solutions Inc,SWKS,3.0437%
Cirrus Logic Inc,CRUS,3.0338%
Texas Instruments Inc,TXN,3.0338%
Power Integrations Inc,POWI,3.0278%
Cypress Semiconductor Corp,CY,2.9916%
Broadcom Inc,AVGO,2.9818%
Qualcomm Inc,QCOM,2.9736%
Lattice Semiconductor Corp,LSCC,2.9161%
First Solar Inc,FSLR,2.8484%
Analog Devices Inc,ADI,2.8206%
Marvell Technology Group Ltd,MRVL,2.7883%
Qorvo Inc,QRVO,2.7691%
Universal Display Corp,OLED,2.7287%
Xilinx Inc,XLNX,2.6565%
Silicon Laboratories Inc,SLAB,2.6453%
ON Semiconductor Corp,ON,2.6401%
Diodes Inc,DIOD,2.3629%
MACOM Technology Solutions Holdings Inc,MTSI,1.9388%
Rambus Inc,RMBS,1.6835%
Impinj Inc,PI,1.5611%
MaxLinear Inc,MXL,1.4485%
Smart Global Holdings Inc,SGH,1.0415%
CEVA Inc,CEVA,0.5009%
Cash Component,CASH,0.0045%
