XSW: SPDR S&P Software & Services ETF
Inception Date: 2011-09-28
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	244940
Shares Outstanding: 2260000
Expense Ratio: 0.35%
Tracks This Index: S&P Software & Services Select Industry Index
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XSW


Holding,Symbol,Weighting
Avaya Holdings Corp,AVYA,0.9858%
Agilysys Inc,AGYS,0.8298%
Alteryx Inc,AYX,0.8098%
Zoom Video Communications Inc,ZM,0.7821%
Unisys Corp,UIS,0.777%
Cerence Inc,CRNC,0.7597%
Dynatrace Inc,DT,0.7541%
Zscaler Inc,ZS,0.7208%
Appian Corp,APPN,0.7182%
AppFolio Inc,APPF,0.7169%
Crowdstrike Holdings Inc,CRWD,0.7076%
RingCentral Inc,RNG,0.7055%
Blackline Inc,BL,0.7009%
GreenSky Inc,GSKY,0.6999%
Nuance Communications Inc,NUAN,0.6988%
Avalara Inc,AVLR,0.6935%
ServiceNow Inc,NOW,0.6896%
Glu Mobile Inc,GLUU,0.6855%
Pluralsight Inc,PS,0.6836%
Square Inc,SQ,0.6813%
Leidos Holdings Inc,LDOS,0.678%
Microsoft Corp,MSFT,0.676%
Perficient Inc,PRFT,0.6715%
Workday Inc,WDAY,0.6708%
Paylocity Holding Corp,PCTY,0.67%
Varonis Systems Inc,VRNS,0.6696%
HubSpot Inc,HUBS,0.6598%
Corelogic Inc,CLGX,0.6536%
Fair Isaac Corp,FICO,0.6525%
2U Inc,TWOU,0.6518%
8x8 Inc,EGHT,0.6518%
Pegasystems Inc,PEGA,0.6511%
Intuit Inc,INTU,0.6501%
Envestnet Inc,ENV,0.6497%
Anaplan Inc,PLAN,0.6493%
Salesforce.Com Inc,CRM,0.6486%
International Business Machines Corp,IBM,0.6486%
Workiva Inc,WK,0.6484%
Paycom Software Inc,PAYC,0.6475%
Smartsheet Inc,SMAR,0.6473%
Zendesk Inc,ZEN,0.6473%
Autodesk Inc,ADSK,0.6469%
LivePerson Inc,LPSN,0.6466%
Everbridge Inc,EVBG,0.6464%
Altair Engineering Inc,ALTR,0.6447%
Trade Desk Inc,TTD,0.6426%
Splunk Inc,SPLK,0.6424%
Adobe Inc,ADBE,0.6393%
TTEC Holdings Inc,TTEC,0.6391%
Coupa Software Inc,COUP,0.6384%
Synopsys Inc,SNPS,0.6381%
Jack Henry & Associates Inc,JKHY,0.638%
Upland Software Inc,UPLD,0.6379%
Verra Mobility Corp,VRRM,0.6372%
Tyler Technologies Inc,TYL,0.6364%
DocuSign Inc,DOCU,0.6344%
Virtusa Corp,VRTU,0.6334%
PTC Inc,PTC,0.6333%
Cognizant Technology Solutions Corp,CTSH,0.6332%
Ebix Inc,EBIX,0.6328%
Five9 Inc,FIVN,0.6318%
RealPage Inc,RP,0.6315%
Mastercard Inc,MA,0.6311%
Guidewire Software Inc,GWRE,0.629%
Proofpoint Inc,PFPT,0.6287%
ANSYS Inc,ANSS,0.6283%
Global Payments Inc,GPN,0.6274%
Elastic NV,ESTC,0.6269%
CACI International Inc,CACI,0.625%
Yext Inc,YEXT,0.6247%
Fortinet Inc,FTNT,0.6243%
PayPal Holdings Inc,PYPL,0.6228%
Zuora Inc,ZUO,0.6223%
Verint Systems Inc,VRNT,0.6215%
Epam Systems Inc,EPAM,0.6211%
Zix Corp,ZIXI,0.6203%
Booz Allen Hamilton Holding Corp,BAH,0.6191%
Progress Software Corp,PRGS,0.619%
Q2 Holdings Inc,QTWO,0.6171%
Visa Inc,V,0.6149%
Tenable Holdings Inc,TENB,0.6147%
EVO Payments Inc,EVOP,0.6143%
Science Applications International Corp,SAIC,0.6138%
Black Knight Inc,BKI,0.6126%
Citrix Systems Inc,CTXS,0.612%
Rosetta Stone Inc,RST,0.6106%
Palo Alto Networks Inc,PANW,0.61%
Evertec Inc,EVTC,0.6098%
Commvault Systems Inc,CVLT,0.6097%
Cadence Design Systems Inc,CDNS,0.6084%
SailPoint Technologies Holdings Inc,SAIL,0.6056%
