XT: iShares Exponential Technologies ETF
Inception Date: 2015-03-19
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2783539
Shares Outstanding: 63250000
Expense Ratio: 0.47%
Tracks This Index: Morningstar Exponential Technologies Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XT


Holding,Symbol,Weighting
Cash Component,CASH,4.6635%
Tesla Inc,TSLA,0.9516%
Western Digital Corp,WDC,0.5894%
Xiaomi Corp,1810,0.5806%
ServiceNow Inc,NOW,0.5731%
Advanced Micro Devices Inc,AMD,0.5671%
Albemarle Corp,ALB,0.5656%
Adyen NV,ADYEN,0.5656%
Nokia Oyj,NOKIA,0.5597%
SK Hynix Inc,000660,0.5544%
Chugai Pharmaceutical Co Ltd,4519,0.5491%
Microsoft Corp,MSFT,0.5485%
Arista Networks Inc,ANET,0.5455%
Eli Lilly and Co,LLY,0.5453%
Ucb SA,UCB,0.5433%
Square Inc,SQ,0.5387%
Tencent Holdings Ltd,700,0.5368%
Wuxi Biologics Cayman Inc,2269,0.5356%
Amazon.com Inc,AMZN,0.5351%
Iliad SA,ILD,0.534%
Salesforce.Com Inc,CRM,0.5334%
Apple Inc,AAPL,0.5326%
London Stock Exchange Group PLC,LSE,0.5294%
SoftBank Group Corp,9984,0.5266%
Samsung Electronics Co Ltd,005930,0.5264%
Synopsys Inc,SNPS,0.5257%
General Electric Co,GE,0.5257%
NVIDIA Corp,NVDA,0.5217%
Vodafone Group PLC,VOD,0.5213%
Relx PLC,REL,0.5204%
Biogen Inc,BIIB,0.52%
Intel Corp,INTC,0.5189%
Micron Technology Inc,MU,0.5185%
T-Mobile US Inc,TMUS,0.5163%
International Business Machines Corp,IBM,0.5162%
Cognizant Technology Solutions Corp,CTSH,0.5161%
ASM International NV,ASM,0.5153%
Merck KGaA,MRK,0.5142%
Lam Research Corp,LRCX,0.5139%
H Lundbeck A/S,LUN,0.5136%
XPO Logistics Inc,XPO,0.5131%
Taiyo Yuden Co Ltd,6976,0.5115%
STMicroelectronics NV,STM,0.5101%
Envestnet Inc,ENV,0.5084%
BlackRock Inc,BLK,0.508%
Roche Holding AG,ROG,0.5071%
PayPal Holdings Inc,PYPL,0.5066%
T. Rowe Price Group Inc,TROW,0.5054%
