CIBR: First Trust NASDAQ CEA Cybersecurity ETF
Inception Date: 2015-07-06
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1407067
Shares Outstanding: 43800000
Expense Ratio: 0.6%
Tracks This Index: Nasdaq CTA Cybersecurity Index
ETFdb.com Category: Technology Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CIBR


Holding,Symbol,Weighting
Splunk Inc,SPLK,6.3147%
Palo Alto Networks Inc,PANW,6.2745%
Cisco Systems Inc,CSCO,6.1401%
Okta Inc,OKTA,5.9357%
Broadcom Inc,AVGO,5.7894%
NortonLifeLock Inc,NLOK,3.8827%
Leidos Holdings Inc,LDOS,3.5166%
BAE Systems PLC,BA.,3.3012%
Cyberark Software Ltd,CYBR,3.286%
Zscaler Inc,ZS,3.2821%
Fortinet Inc,FTNT,3.2298%
Akamai Technologies Inc,AKAM,3.2015%
Thales SA,HO,3.1525%
Verisign Inc,VRSN,3.1151%
Proofpoint Inc,PFPT,3.0915%
Booz Allen Hamilton Holding Corp,BAH,3.0851%
VMware Inc,VMW,2.9089%
Check Point Software Technologies Ltd,CHKP,2.8836%
Juniper Networks Inc,JNPR,2.7498%
FireEye Inc,FEYE,2.609%
F5 Networks Inc,FFIV,2.462%
Trend Micro Inc,4704,2.0597%
Rapid7 Inc,RPD,1.9349%
Mimecast Ltd,MIME,1.9207%
SailPoint Technologies Holdings Inc,SAIL,1.9207%
Qualys Inc,QLYS,1.8251%
Avast PLC,AVST,1.5827%
ForeScout Technologies Inc,FSCT,1.5419%
Itron Inc,ITRI,1.4363%
Varonis Systems Inc,VRNS,1.3944%
Tenable Holdings Inc,TENB,1.036%
ManTech International Corp,MANT,0.7872%
Ahnlab Inc,053800,0.4432%
MobileIron Inc,MOBL,0.4134%
Ultra Electronics Holdings PLC,ULE,0.4084%
Zix Corp,ZIXI,0.2825%
Radware Ltd,RDWR,0.2311%
OneSpan Inc,OSPN,0.2132%
A10 Networks Inc,ATEN,0.1579%
FFRI Inc,3692,0.1476%
Ribbon Communications Inc,RBBN,0.1282%
NCC Group PLC,NCC,0.0722%
Cash Component,CASH,-0.1492%
