EMLP: First Trust North American Energy Infrastructure Fund
Inception Date: 2012-06-20
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2849722
Shares Outstanding: 110755000
Expense Ratio: 0.95%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Blend Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EMLP


Holding,Symbol,Weighting
TC Energy Corp,TRP,8.9809%
Enterprise Products Partners LP,EPD,7.3115%
Kinder Morgan Inc,KMI,6.3452%
Nextera Energy Inc,NEE,5.0494%
Nextera Energy Partners LP,NEP,4.9154%
Enbridge Inc,ENB,4.5214%
Public Service Enterprise Group Inc,PEG,4.4537%
TC PipeLines LP,TCP,4.0025%
Plains GP Holdings LP,PAGP,3.6847%
Cash Component,CASH,3.5919%
Magellan Midstream Partners LP,MMP,3.5678%
Williams Companies Inc,WMB,2.6962%
Exelon Corp,EXC,2.5435%
American Electric Power Company Inc,AEP,2.4499%
Energy Transfer LP,ET,2.3988%
PPL Corp,PPL,2.3743%
ONEOK Inc,OKE,2.2143%
Phillips 66 Partners LP,PSXP,2.103%
Fortis Inc,FTS,1.9066%
Eversource Energy,ES,1.894%
CMS Energy Corp,CMS,1.7744%
WEC Energy Group Inc,WEC,1.7601%
Alliant Energy Corp,LNT,1.6958%
Sempra Energy,SRE,1.5533%
Xcel Energy Inc,XEL,1.4955%
Holly Energy Partners LP,HEP,1.4945%
Keyera Corp,KEY,1.3634%
Canadian Utilities Ltd,CU,1.2154%
Duke Energy Corp,DUK,1.1674%
Atco Ltd,ACO.X,1.0832%
Idacorp Inc,IDA,1.0055%
Emera Inc,EMA,0.9508%
New Jersey Resources Corp,NJR,0.9279%
Inter Pipeline Ltd,IPL,0.8615%
Atmos Energy Corp,ATO,0.8135%
Shell Midstream Partners LP,SHLX,0.6734%
Bp Midstream Partners LP,BPMP,0.5188%
Dominion Energy Inc,D,0.4878%
MPLX LP,MPLX,0.4577%
CorEnergy Infrastructure Trust Inc,CORR,0.4135%
Alliance Resource Partners LP,ARLP,0.3906%
Equitrans Midstream Corp,ETRN,0.3563%
American Water Works Company Inc,AWK,0.2508%
Westlake Chemical Partners LP,WLKP,0.1431%
Hydro One Ltd,H,0.0717%
Chesapeake Utilities Corp,CPK,0.0532%
Southern Co,SO,0.0159%
