IGF: iShares Global Infrastructure ETF
Inception Date: 2007-12-10
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	3625460
Shares Outstanding: 74000000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Infrastructure Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IGF


Holding,Symbol,Weighting
Enbridge Inc,ENB,5.4453%
Nextera Energy Inc,NEE,5.3055%
Transurban Group,TCL,4.9534%
Aena SME SA,AENA,4.7397%
Atlantia SpA,ATL,4.0825%
TC Energy Corp,TRP,3.2752%
Southern Co,SO,2.8785%
Duke Energy Corp,DUK,2.8249%
Dominion Energy Inc,D,2.8073%
Enel SpA,ENEL,2.779%
Iberdrola SA,IBE,2.7085%
Getlink SE,GET,2.6323%
Kinder Morgan Inc,KMI,2.6238%
Sydney Airport Holdings Pty Ltd,SYD,2.2137%
Aeroports de Paris SA,ADP,2.1531%
American Electric Power Company Inc,AEP,2.0166%
National Grid PLC,NG.,1.9942%
ONEOK Inc,OKE,1.9869%
Exelon Corp,EXC,1.8844%
Auckland International Airport Ltd,AIA,1.842%
Sempra Energy,SRE,1.7528%
Grupo Aeroportuario del Pacifico SAB de CV,PAC,1.6879%
Williams Companies Inc,WMB,1.6304%
Xcel Energy Inc,XEL,1.4513%
Cash Component,CASH,1.4424%
Grupo Aeroportuario del Sureste SAB de CV,ASR,1.3807%
Qube Holdings Ltd,QUB,1.2847%
Pembina Pipeline Corp,PPL,1.2823%
Atlas Arteria Group,ALX,1.2747%
WEC Energy Group Inc,WEC,1.2678%
Engie SA,ENGI,1.2641%
Consolidated Edison Inc,ED,1.2399%
Macquarie Infrastructure Corp,MIC,1.1955%
Eversource Energy,ES,1.1813%
Public Service Enterprise Group Inc,PEG,1.1758%
Flughafen Zuerich AG,FHZN,1.1485%
FirstEnergy Corp,FE,1.1151%
Edison International,EIX,1.1114%
Signature Aviation PLC,SIG,0.9937%
DTE Energy Co,DTE,0.9847%
American Water Works Company Inc,AWK,0.9793%
Fraport AG Frankfurt Airport Services Worldwide,FRA,0.9778%
Grupo Aeroportuario del Centro Norte SAB de CV,OMAB,0.9216%
Cheniere Energy Inc,LNG,0.8453%
China Merchants Port Holdings Co Ltd,144,0.7363%
Shenzhen International Holdings Ltd,152,0.6837%
Enav SpA,ENAV,0.5819%
Jiangsu Expressway Co Ltd,177,0.567%
Targa Resources Corp,TRGP,0.5534%
Beijing Capital International Airport Co Ltd,694,0.4953%
COSCO SHIPPING Ports Ltd,1199,0.4402%
Zhejiang Expressway Co Ltd,576,0.4382%
Inter Pipeline Ltd,IPL,0.4277%
ASTM SpA,AT,0.3719%
Keyera Corp,KEY,0.3651%
China Gas Holdings Ltd,384,0.3184%
Hutchison Port Holdings Trust,NS8U,0.3036%
Enel Americas SA,ENIA,0.2905%
Ultrapar Participacoes SA,UGP,0.2741%
Guangdong Investment Ltd,270,0.2317%
Koninklijke Vopak NV,VPK,0.2265%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBS,0.1983%
Gibson Energy Inc,GEI,0.1896%
Hamburger Hafen und Logistik AG,HHFA,0.1795%
Westshore Terminals Investment Corp,WTE,0.1789%
China Resources Gas Group Ltd,1193,0.1696%
SIA Engineering Company Ltd,S59,0.1625%
Gaztransport et Technigaz SA,GTT,0.1448%
Companhia Energetica de Minas Gerais CEMIG,CIG,0.1356%
Kunlun Energy Company Ltd,135,0.1302%
Equitrans Midstream Corp,ETRN,0.1231%
Beijing Enterprises Water Group Ltd,371,0.1181%
CGN Power Co Ltd,1816,0.1039%
Centrais Eletricas Brasileiras SA,EBRYY,0.07%
Corporacion America Airports SA,CAAP,0.0543%
