IGM: iShares Expanded Tech Sector ETF
Inception Date: 2001-03-13
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2064315
Shares Outstanding: 7900000
Expense Ratio: 0.46%
Tracks This Index: S&P North American Technology Sector Index
ETFdb.com Category: Technology Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IGM


Holding,Symbol,Weighting
Microsoft Corp,MSFT,9.1655%
Amazon.com Inc,AMZN,9.0218%
Apple Inc,AAPL,9.0044%
Facebook Inc,FB,5.4651%
Alphabet Inc,GOOGL,4.1911%
Alphabet Inc,GOOG,4.1811%
Visa Inc,V,3.712%
Mastercard Inc,MA,3.1049%
Intel Corp,INTC,3.0717%
Cisco Systems Inc,CSCO,2.1766%
Adobe Inc,ADBE,1.8955%
Salesforce.Com Inc,CRM,1.762%
Netflix Inc,NFLX,1.7191%
NVIDIA Corp,NVDA,1.6468%
PayPal Holdings Inc,PYPL,1.493%
International Business Machines Corp,IBM,1.4532%
Accenture PLC,ACN,1.4372%
Broadcom Inc,AVGO,1.3374%
Texas Instruments Inc,TXN,1.2867%
Oracle Corp,ORCL,1.268%
Qualcomm Inc,QCOM,1.0677%
Fidelity National Information Services Inc,FIS,0.9628%
Booking Holdings Inc,BKNG,0.8553%
Automatic Data Processing Inc,ADP,0.8289%
Intuit Inc,INTU,0.8205%
Fiserv Inc,FISV,0.7444%
ServiceNow Inc,NOW,0.6886%
Micron Technology Inc,MU,0.6735%
Global Payments Inc,GPN,0.6455%
Applied Materials Inc,AMAT,0.6097%
Advanced Micro Devices Inc,AMD,0.5923%
Shopify Inc,SHOP,0.5309%
Activision Blizzard Inc,ATVI,0.5056%
Lam Research Corp,LRCX,0.4894%
Autodesk Inc,ADSK,0.4872%
Analog Devices Inc,ADI,0.4423%
Cognizant Technology Solutions Corp,CTSH,0.4076%
HP Inc,HPQ,0.3444%
Electronic Arts Inc,EA,0.3407%
Workday Inc,WDAY,0.3369%
TE Connectivity Ltd,TEL,0.3335%
Motorola Solutions Inc,MSI,0.3289%
Amphenol Corp,APH,0.3278%
Twitter Inc,TWTR,0.3072%
Paychex Inc,PAYX,0.2998%
eBay Inc,EBAY,0.2961%
Square Inc,SQ,0.289%
Fleetcor Technologies Inc,FLT,0.2847%
KLA Corp,KLAC,0.2787%
Microchip Technology Inc,MCHP,0.2712%
Splunk Inc,SPLK,0.2683%
ANSYS Inc,ANSS,0.2607%
Palo Alto Networks Inc,PANW,0.2576%
Cash Component,CASH,0.2564%
Synopsys Inc,SNPS,0.2481%
Xilinx Inc,XLNX,0.2303%
Corning Inc,GLW,0.2277%
Verisign Inc,VRSN,0.2266%
Cadence Design Systems Inc,CDNS,0.2207%
Western Digital Corp,WDC,0.2136%
Skyworks Solutions Inc,SWKS,0.2076%
Hewlett Packard Enterprise Co,HPE,0.204%
CDW Corp,CDW,0.2039%
CGI Inc,GIB,0.1979%
Keysight Technologies Inc,KEYS,0.1896%
IAC/InterActiveCorp,IAC,0.1872%
Maxim Integrated Products Inc,MXIM,0.181%
Fortinet Inc,FTNT,0.1778%
Marvell Technology Group Ltd,MRVL,0.1709%
RingCentral Inc,RNG,0.1664%
Akamai Technologies Inc,AKAM,0.1661%
Expedia Group Inc,EXPE,0.1645%
Twilio Inc,TWLO,0.1629%
Okta Inc,OKTA,0.1597%
Citrix Systems Inc,CTXS,0.1585%
Leidos Holdings Inc,LDOS,0.1567%
Paycom Software Inc,PAYC,0.154%
SS&C Technologies Holdings Inc,SSNC,0.1469%
Gartner Inc,IT,0.146%
Broadridge Financial Solutions Inc,BR,0.145%
Snap Inc,SNAP,0.1439%
Zebra Technologies Corp,ZBRA,0.1426%
NetApp Inc,NTAP,0.14%
Epam Systems Inc,EPAM,0.1376%
Tyler Technologies Inc,TYL,0.1369%
Take-Two Interactive Software Inc,TTWO,0.1363%
Jack Henry & Associates Inc,JKHY,0.1356%
Arista Networks Inc,ANET,0.1345%
Open Text Corp,OTEX,0.1341%
Seagate Technology PLC,STX,0.1338%
VMware Inc,VMW,0.1323%
GoDaddy Inc,GDDY,0.1308%
Qorvo Inc,QRVO,0.1306%
Fair Isaac Corp,FICO,0.1291%
Teradyne Inc,TER,0.1245%
Trade Desk Inc,TTD,0.1242%
Western Union Co,WU,0.124%
NortonLifeLock Inc,NLOK,0.1208%
Booz Allen Hamilton Holding Corp,BAH,0.1161%
Trimble Inc,TRMB,0.1156%
DocuSign Inc,DOCU,0.1112%
Black Knight Inc,BKI,0.1097%
Coupa Software Inc,COUP,0.1061%
Guidewire Software Inc,GWRE,0.1039%
Zendesk Inc,ZEN,0.1039%
WEX Inc,WEX,0.0981%
Cognex Corp,CGNX,0.0964%
Aspen Technology Inc,AZPN,0.0942%
PTC Inc,PTC,0.0938%
Cypress Semiconductor Corp,CY,0.0922%
Euronet Worldwide Inc,EEFT,0.0917%
ON Semiconductor Corp,ON,0.0898%
DXC Technology Co,DXC,0.0895%
Dell Technologies Inc,DELL,0.0861%
Juniper Networks Inc,JNPR,0.0851%
Universal Display Corp,OLED,0.0806%
Entegris Inc,ENTG,0.08%
F5 Networks Inc,FFIV,0.08%
Monolithic Power Systems Inc,MPWR,0.078%
HubSpot Inc,HUBS,0.0772%
Proofpoint Inc,PFPT,0.0765%
FLIR Systems Inc,FLIR,0.0761%
Xerox Holdings Corp,XRX,0.0739%
CACI International Inc,CACI,0.0729%
Lumentum Holdings Inc,LITE,0.0723%
Alteryx Inc,AYX,0.0717%
Ceridian HCM Holding Inc,CDAY,0.0713%
Ciena Corp,CIEN,0.0702%
Genpact Ltd,G,0.0698%
CDK Global Inc,CDK,0.0694%
Wayfair Inc,W,0.0693%
Zillow Group Inc,Z,0.0674%
Zynga Inc,ZNGA,0.0674%
Arrow Electronics Inc,ARW,0.0673%
Nuance Communications Inc,NUAN,0.0661%
MKS Instruments Inc,MKSI,0.0647%
Avalara Inc,AVLR,0.0635%
Sabre Corp,SABR,0.0634%
Etsy Inc,ETSY,0.0629%
MongoDB Inc,MDB,0.0615%
SYNNEX Corp,SNX,0.061%
Jabil Inc,JBL,0.0581%
National Instruments Corp,NATI,0.0566%
Anaplan Inc,PLAN,0.0549%
Tech Data Corp,TECD,0.0546%
Cree Inc,CREE,0.0542%
Nutanix Inc,NTNX,0.054%
Paylocity Holding Corp,PCTY,0.0537%
Manhattan Associates Inc,MANH,0.0521%
Solaredge Technologies Inc,SEDG,0.0519%
RealPage Inc,RP,0.0516%
Maximus Inc,MMS,0.0513%
IPG Photonics Corp,IPGP,0.0512%
Cabot Microelectronics Corp,CCMP,0.0496%
GrubHub Inc,GRUB,0.0491%
Science Applications International Corp,SAIC,0.049%
Dolby Laboratories Inc,DLB,0.0489%
