IHI: iShares U.S. Medical Devices ETF
Inception Date: 2006-05-05
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	4983370
Shares Outstanding: 18500000
Expense Ratio: 0.43%
Tracks This Index: Dow Jones U.S. Select Medical Equipment Index
ETFdb.com Category: Health & Biotech Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IHI


Holding,Symbol,Weighting
Medtronic PLC,MDT,13.289%
Abbott Laboratories,ABT,12.9443%
Thermo Fisher Scientific Inc,TMO,10.9027%
Danaher Corp,DHR,8.0259%
Stryker Corp,SYK,4.6694%
Baxter International Inc,BAX,4.6048%
Edwards Lifesciences Corp,EW,4.3426%
Intuitive Surgical Inc,ISRG,4.3383%
Boston Scientific Corp,BSX,4.1435%
Becton Dickinson and Co,BDX,4.0703%
Zimmer Biomet Holdings Inc,ZBH,3.1794%
Resmed Inc,RMD,2.4367%
IDEXX Laboratories Inc,IDXX,2.3605%
DexCom Inc,DXCM,2.1651%
Teleflex Inc,TFX,1.7163%
Hologic Inc,HOLX,1.4092%
Waters Corp,WAT,1.3843%
Steris plc,STE,1.281%
Varian Medical Systems Inc,VAR,1.2651%
Insulet Corp,PODD,1.2216%
Masimo Corp,MASI,0.8503%
Abiomed Inc,ABMD,0.8342%
Bio Rad Laboratories Inc,BIO,0.7908%
Hill-Rom Holdings Inc,HRC,0.7141%
Penumbra Inc,PEN,0.5599%
Bruker Corp,BRKR,0.4999%
Nevro Corp,NVRO,0.4209%
Tandem Diabetes Care Inc,TNDM,0.4148%
Globus Medical Inc,GMED,0.4058%
Integra Lifesciences Holdings Corp,IART,0.4046%
NuVasive Inc,NUVA,0.3909%
Wright Medical Group NV,WMGI,0.3785%
LivaNova PLC,LIVN,0.3503%
Integer Holdings Corp,ITGR,0.2738%
Cash Component,CASH,0.2636%
Glaukos Corp,GKOS,0.2449%
Cantel Medical Corp,CMD,0.2282%
iRhythm Technologies Inc,IRTC,0.2259%
BioTelemetry Inc,BEAT,0.1724%
AtriCure Inc,ATRC,0.1587%
Cardiovascular Systems Inc,CSII,0.1421%
CryoLife Inc,CRY,0.1115%
Tactile Systems Technology Inc,TCMD,0.1111%
Mesa Laboratories Inc,MLAB,0.1065%
Varex Imaging Corp,VREX,0.1034%
Natus Medical Inc,NTUS,0.1033%
STAAR Surgical Co,STAA,0.1009%
NanoString Technologies Inc,NSTG,0.0988%
Inogen Inc,INGN,0.0845%
Orthofix Medical Inc,OFIX,0.0819%
Heska Corp,HSKA,0.0686%
Cryoport Inc,CYRX,0.0648%
Surmodics Inc,SRDX,0.0546%
AngioDynamics Inc,ANGO,0.049%
AxoGen Inc,AXGN,0.0479%
LeMaitre Vascular Inc,LMAT,0.0475%
