ITB: iShares U.S. Home Construction ETF
Inception Date: 2006-05-01
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1383919
Shares Outstanding: 28300000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Home Construction Index
ETFdb.com Category: Building & Construction 
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ITB


Holding,Symbol,Weighting
D.R. Horton Inc,DHI,13.5986%
Lennar Corp,LEN,12.9004%
NVR Inc,NVR,9.0994%
PulteGroup Inc,PHM,7.8457%
Home Depot Inc,HD,4.6936%
Lowe's Companies Inc,LOW,4.3301%
Sherwin-Williams Co,SHW,4.172%
Toll Brothers Inc,TOL,4.1394%
Masco Corp,MAS,2.9765%
TopBuild Corp,BLD,2.6283%
Taylor Morrison Home Corp,TMHC,2.3212%
KB Home,KBH,2.181%
Fortune Brands Home & Security Inc,FBHS,2.1127%
Lennox International Inc,LII,1.7709%
Meritage Homes Corp,MTH,1.7486%
Mohawk Industries Inc,MHK,1.6198%
TRI Pointe Group Inc,TPH,1.5698%
MDC Holdings Inc,MDC,1.4951%
Owens Corning,OC,1.437%
Cavco Industries Inc,CVCO,1.311%
Leggett & Platt Inc,LEG,1.2736%
Trex Company Inc,TREX,1.2558%
Watsco Inc,WSO,1.2093%
LGI Homes Inc,LGIH,1.1812%
Installed Building Products Inc,IBP,1.0785%
Skyline Champion Corp,SKY,0.9827%
M/I Homes Inc,MHO,0.8028%
Louisiana-Pacific Corp,LPX,0.8023%
Eagle Materials Inc,EXP,0.7705%
Simpson Manufacturing Co Inc,SSD,0.7494%
Floor & Decor Holdings Inc,FND,0.7435%
Universal Forest Products Inc,UFPI,0.6481%
Century Communities Inc,CCS,0.6416%
Builders FirstSource Inc,BLDR,0.6093%
Lennar Corp,LEN.B,0.5638%
Beacon Roofing Supply Inc,BECN,0.4983%
Masonite International Corp,DOOR,0.4177%
Cash Component,CASH,0.3821%
American Woodmark Corp,AMWD,0.3785%
JELD-WEN Holding Inc,JELD,0.3479%
Beazer Homes USA Inc,BZH,0.2592%
PGT Innovations Inc,PGTI,0.2015%
Quanex Building Products Corp,NX,0.13%
Ethan Allen Interiors Inc,ETH,0.0764%
Lumber Liquidators Holdings Inc,LL,0.0448%
