IYG: iShares U.S. Financial Services ETF
Inception Date: 2000-06-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1406069
Shares Outstanding: 9150000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Financial Services Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYG


Holding,Symbol,Weighting
JPMorgan Chase & Co,JPM,12.6115%
Visa Inc,V,10.1734%
Mastercard Inc,MA,8.5093%
Bank of America Corp,BAC,8.2144%
Wells Fargo & Co,WFC,5.398%
Citigroup Inc,C,5.0359%
American Express Co,AXP,2.5927%
U.S. Bancorp,USB,2.2756%
CME Group Inc,CME,2.2396%
Goldman Sachs Group Inc,GS,2.2233%
Truist Financial Corp,TFC,2.1334%
S&P Global Inc,SPGI,2.1169%
Morgan Stanley,MS,1.9843%
PNC Financial Services Group Inc,PNC,1.9699%
BlackRock Inc,BLK,1.9214%
Charles Schwab Corp,SCHW,1.5855%
Intercontinental Exchange Inc,ICE,1.512%
Capital One Financial Corp,COF,1.3898%
Moody's Corp,MCO,1.2732%
Blackstone Group Inc,BX,1.213%
Bank of New York Mellon Corp,BK,1.1623%
T. Rowe Price Group Inc,TROW,0.9469%
State Street Corp,STT,0.8436%
MSCI Inc,MSCI,0.7395%
Discover Financial Services,DFS,0.6918%
M&T Bank Corp,MTB,0.6574%
Ameriprise Financial Inc,AMP,0.6511%
Northern Trust Corp,NTRS,0.6289%
Fifth Third Bancorp,FITB,0.6135%
Synchrony Financial,SYF,0.5784%
First Republic Bank,FRC,0.5681%
KeyCorp,KEY,0.5659%
Citizens Financial Group Inc,CFG,0.4896%
Regions Financial Corp,RF,0.4615%
Huntington Bancshares Inc,HBAN,0.4226%
Cboe Global Markets Inc,CBOE,0.3982%
SVB Financial Group,SIVB,0.3887%
Nasdaq Inc,NDAQ,0.3845%
TD Ameritrade Holding Corp,AMTD,0.3829%
Marketaxess Holdings Inc,MKTX,0.3827%
Fidelity National Financial Inc,FNF,0.3708%
Ally Financial Inc,ALLY,0.3629%
Raymond James Financial Inc,RJF,0.3404%
Equitable Holdings Inc,EQH,0.3314%
Cash Component,CASH,0.3216%
Factset Research Systems Inc,FDS,0.3186%
E*TRADE Financial Corp,ETFC,0.2888%
Comerica Inc,CMA,0.2622%
SEI Investments Co,SEIC,0.2519%
Zions Bancorporation NA,ZION,0.231%
Signature Bank,SBNY,0.2261%
LPL Financial Holdings Inc,LPLA,0.2239%
Commerce Bancshares Inc,CBSH,0.2118%
Franklin Resources Inc,BEN,0.2093%
People's United Financial Inc,PBCT,0.2075%
East West Bancorp Inc,EWBC,0.2035%
Prosperity Bancshares Inc,PB,0.2004%
Invesco Ltd,IVZ,0.1988%
TCF Financial Corp,TCF,0.1932%
Credit Acceptance Corp,CACC,0.1822%
Eaton Vance Corp,EV,0.1617%
Popular Inc,BPOP,0.1591%
Western Alliance Bancorp,WAL,0.1567%
Synovus Financial Corp,SNV,0.1562%
Cullen/Frost Bankers Inc,CFR,0.1532%
New York Community Bancorp Inc,NYCB,0.1525%
First Horizon National Corp,FHN,0.1501%
Essent Group Ltd,ESNT,0.1497%
MGIC Investment Corp,MTG,0.1457%
Radian Group Inc,RDN,0.1449%
Lazard Ltd,LAZ,0.1439%
SLM Corp,SLM,0.1397%
First Financial Bankshares Inc,FFIN,0.1371%
Stifel Financial Corp,SF,0.1354%
First Citizens BancShares Inc (Delaware),FCNCA,0.134%
CIT Group Inc,CIT,0.1307%
Pinnacle Financial Partners Inc,PNFP,0.1273%
Webster Financial Corp,WBS,0.1268%
Valley National Bancorp,VLY,0.1258%
PacWest Bancorp,PACW,0.1248%
Sterling Bancorp,STL,0.1206%
Janus Henderson Group PLC,JHG,0.1193%
Affiliated Managers Group Inc,AMG,0.1177%
Interactive Brokers Group Inc,IBKR,0.1164%
IBERIABANK Corp,IBKC,0.1146%
First Hawaiian Inc,FHB,0.114%
Umpqua Holdings Corp,UMPQ,0.1131%
F.N.B. Corp,FNB,0.113%
Glacier Bancorp Inc,GBCI,0.1094%
Wintrust Financial Corp,WTFC,0.1074%
FirstCash Inc,FCFS,0.1063%
Bank of Hawaii Corp,BOH,0.1062%
Hancock Whitney Corp,HWC,0.1036%
Federated Investors Inc,FHI,0.1022%
United Bankshares Inc,UBSI,0.1019%
Bank Ozk,OZK,0.0987%
OneMain Holdings Inc,OMF,0.0977%
Legg Mason Inc,LM,0.0949%
Morningstar Inc,MORN,0.0948%
Associated Banc-Corp,ASB,0.0947%
BankUnited Inc,BKU,0.0922%
Evercore Inc,EVR,0.092%
Home BancShares Inc,HOMB,0.0886%
UMB Financial Corp,UMBF,0.0861%
Tradeweb Markets Inc,TW,0.084%
Texas Capital Bancshares Inc,TCBI,0.0833%
Cathay General Bancorp,CATY,0.0817%
BancorpSouth Bank,BXS,0.0811%
Fulton Financial Corp,FULT,0.0807%
Navient Corp,NAVI,0.0799%
Washington Federal Inc,WAFD,0.0791%
Santander Consumer USA Holdings Inc,SC,0.0789%
Investors Bancorp Inc,ISBC,0.0787%
BOK Financial Corp,BOKF,0.0744%
LendingTree Inc,TREE,0.0706%
International Bancshares Corp,IBOC,0.0681%
Trustmark Corp,TRMK,0.0598%
Capitol Federal Financial Inc,CFFN,0.0545%
Green Dot Corp,GDOT,0.048%
Virtu Financial Inc,VIRT,0.0366%
TFS Financial Corp,TFSL,0.0322%
