KBE: SPDR S&P Bank ETF
Inception Date: 2005-11-15
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1691521
Shares Outstanding: 37152000
Expense Ratio: 0.35%
Tracks This Index: S&P Banks Select Industry Index
ETFdb.com Category: Financials Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/KBE


Holding,Symbol,Weighting
Voya Financial Inc,VOYA,1.9635%
Signature Bank,SBNY,1.9334%
Equitable Holdings Inc,EQH,1.9012%
SVB Financial Group,SIVB,1.8864%
Citigroup Inc,C,1.8804%
CIT Group Inc,CIT,1.8758%
Bank of America Corp,BAC,1.835%
First Horizon National Corp,FHN,1.8347%
JPMorgan Chase & Co,JPM,1.8318%
First Republic Bank,FRC,1.8289%
East West Bancorp Inc,EWBC,1.8218%
M&T Bank Corp,MTB,1.8216%
MGIC Investment Corp,MTG,1.8115%
Western Alliance Bancorp,WAL,1.7908%
KeyCorp,KEY,1.7839%
LendingTree Inc,TREE,1.7803%
Truist Financial Corp,TFC,1.7689%
PNC Financial Services Group Inc,PNC,1.7649%
Citizens Financial Group Inc,CFG,1.7484%
People's United Financial Inc,PBCT,1.7477%
Fifth Third Bancorp,FITB,1.7385%
Regions Financial Corp,RF,1.7349%
Prosperity Bancshares Inc,PB,1.7335%
Bank of New York Mellon Corp,BK,1.7165%
Northern Trust Corp,NTRS,1.7125%
Synovus Financial Corp,SNV,1.7111%
New York Community Bancorp Inc,NYCB,1.7043%
Huntington Bancshares Inc,HBAN,1.66%
U.S. Bancorp,USB,1.6531%
Zions Bancorporation NA,ZION,1.649%
Wells Fargo & Co,WFC,1.6245%
Cullen/Frost Bankers Inc,CFR,1.593%
Comerica Inc,CMA,1.5757%
TCF Financial Corp,TCF,1.5667%
Popular Inc,BPOP,1.4172%
Cadence Bancorp,CADE,1.3972%
Commerce Bancshares Inc,CBSH,1.3496%
Texas Capital Bancshares Inc,TCBI,1.2572%
IBERIABANK Corp,IBKC,1.1862%
Sterling Bancorp,STL,1.1704%
Essent Group Ltd,ESNT,1.1534%
PacWest Bancorp,PACW,1.1178%
Webster Financial Corp,WBS,1.1146%
Wintrust Financial Corp,WTFC,1.1053%
Radian Group Inc,RDN,1.1052%
Bank Ozk,OZK,1.0998%
Pinnacle Financial Partners Inc,PNFP,1.0206%
Investors Bancorp Inc,ISBC,0.9194%
Associated Banc-Corp,ASB,0.8931%
Umpqua Holdings Corp,UMPQ,0.8735%
F.N.B. Corp,FNB,0.8591%
Valley National Bancorp,VLY,0.8522%
First Citizens BancShares Inc (Delaware),FCNCA,0.8087%
BankUnited Inc,BKU,0.8075%
Hancock Whitney Corp,HWC,0.7954%
First Hawaiian Inc,FHB,0.7945%
Old National Bancorp,ONB,0.7535%
Community Bank System Inc,CBU,0.6927%
CenterState Bank Corp,CSFL,0.664%
Bank of Hawaii Corp,BOH,0.6521%
Fulton Financial Corp,FULT,0.6435%
Ameris Bancorp,ABCB,0.6412%
United Bankshares Inc,UBSI,0.6162%
First Financial Bankshares Inc,FFIN,0.5991%
Glacier Bancorp Inc,GBCI,0.5978%
CVB Financial Corp,CVBF,0.5746%
NMI Holdings Inc,NMIH,0.5508%
UMB Financial Corp,UMBF,0.5344%
Simmons First National Corp,SFNC,0.5233%
Washington Federal Inc,WAFD,0.5175%
Independent Bank Group Inc,IBTX,0.5168%
BancorpSouth Bank,BXS,0.4866%
South State Corp,SSB,0.4856%
BOK Financial Corp,BOKF,0.4757%
Columbia Banking System Inc,COLB,0.4706%
Home BancShares Inc,HOMB,0.4695%
First Bancorp,FBP,0.4665%
United Community Banks Inc,UCBI,0.4496%
Atlantic Union Bankshares Corp,AUB,0.4488%
First Midwest Bancorp Inc,FMBI,0.4477%
Banner Corp,BANR,0.4292%
First Financial Bancorp,FFBC,0.3985%
Cathay General Bancorp,CATY,0.398%
Independent Bank Corp (Massachusetts),INDB,0.3795%
WSFS Financial Corp,WSFS,0.377%
Great Western Bancorp Inc,GWB,0.3502%
Hope Bancorp Inc,HOPE,0.3501%
Axos Financial Inc,AX,0.3372%
Trustmark Corp,TRMK,0.304%
First Merchants Corp,FRME,0.2879%
Cash Component,CASH,0.028%
