KRE: SPDR S&P Regional Banking ETF
Inception Date: 2006-06-19
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2012753
Shares Outstanding: 36102000
Expense Ratio: 0.35%
Tracks This Index: S&P Regional Banks Select Industry Index
ETFdb.com Category: Financials Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/KRE


Holding,Symbol,Weighting
SVB Financial Group,SIVB,3.0904%
First Republic Bank,FRC,2.9954%
M&T Bank Corp,MTB,2.9874%
KeyCorp,KEY,2.9236%
Truist Financial Corp,TFC,2.8989%
PNC Financial Services Group Inc,PNC,2.8937%
Citizens Financial Group Inc,CFG,2.8654%
Fifth Third Bancorp,FITB,2.849%
Regions Financial Corp,RF,2.8442%
Huntington Bancshares Inc,HBAN,2.7213%
Zions Bancorporation NA,ZION,2.7049%
People's United Financial Inc,PBCT,2.595%
Comerica Inc,CMA,2.5825%
First Horizon National Corp,FHN,2.5021%
Signature Bank,SBNY,2.2812%
Synovus Financial Corp,SNV,2.158%
East West Bancorp Inc,EWBC,2.0641%
CIT Group Inc,CIT,1.922%
Western Alliance Bancorp,WAL,1.8017%
Prosperity Bancshares Inc,PB,1.743%
Cullen/Frost Bankers Inc,CFR,1.604%
TCF Financial Corp,TCF,1.577%
Popular Inc,BPOP,1.4251%
Cadence Bancorp,CADE,1.4057%
Commerce Bancshares Inc,CBSH,1.3571%
Texas Capital Bancshares Inc,TCBI,1.2657%
IBERIABANK Corp,IBKC,1.1941%
Sterling Bancorp,STL,1.178%
PacWest Bancorp,PACW,1.1248%
Webster Financial Corp,WBS,1.121%
Wintrust Financial Corp,WTFC,1.1122%
Bank Ozk,OZK,1.107%
Pinnacle Financial Partners Inc,PNFP,1.0262%
Investors Bancorp Inc,ISBC,0.9253%
Associated Banc-Corp,ASB,0.8995%
Umpqua Holdings Corp,UMPQ,0.8793%
F.N.B. Corp,FNB,0.865%
Valley National Bancorp,VLY,0.8575%
BankUnited Inc,BKU,0.8127%
First Citizens BancShares Inc (Delaware),FCNCA,0.8114%
Hancock Whitney Corp,HWC,0.8007%
First Hawaiian Inc,FHB,0.8002%
Old National Bancorp,ONB,0.7587%
Community Bank System Inc,CBU,0.6949%
CenterState Bank Corp,CSFL,0.6681%
Bank of Hawaii Corp,BOH,0.6552%
Fulton Financial Corp,FULT,0.6477%
Ameris Bancorp,ABCB,0.6446%
United Bankshares Inc,UBSI,0.6202%
Glacier Bancorp Inc,GBCI,0.6025%
First Financial Bankshares Inc,FFIN,0.6017%
CVB Financial Corp,CVBF,0.5783%
UMB Financial Corp,UMBF,0.5364%
Simmons First National Corp,SFNC,0.5271%
Independent Bank Group Inc,IBTX,0.5207%
BancorpSouth Bank,BXS,0.4895%
South State Corp,SSB,0.4894%
BOK Financial Corp,BOKF,0.477%
Columbia Banking System Inc,COLB,0.4744%
Home BancShares Inc,HOMB,0.4722%
First Bancorp,FBP,0.4695%
Hilltop Holdings Inc,HTH,0.4638%
United Community Banks Inc,UCBI,0.4525%
Atlantic Union Bankshares Corp,AUB,0.4516%
Pacific Premier Bancorp Inc,PPBI,0.4502%
First Midwest Bancorp Inc,FMBI,0.4501%
Banner Corp,BANR,0.4327%
Veritex Holdings Inc,VBTX,0.4282%
Eagle Bancorp Inc,EGBN,0.4268%
First Financial Bancorp,FFBC,0.4008%
Cathay General Bancorp,CATY,0.4003%
Independent Bank Corp (Massachusetts),INDB,0.3821%
First Interstate BancSystem Inc,FIBK,0.3558%
Great Western Bancorp Inc,GWB,0.3529%
Hope Bancorp Inc,HOPE,0.3521%
International Bancshares Corp,IBOC,0.3486%
Renasant Corp,RNST,0.3315%
Trustmark Corp,TRMK,0.3049%
First Merchants Corp,FRME,0.2902%
Allegiance Bancshares Inc,ABTX,0.2896%
OFG Bancorp,OFG,0.268%
Westamerica Bancorp,WABC,0.2601%
Berkshire Hills Bancorp Inc,BHLB,0.255%
Boston Private Financial Holdings Inc,BPFH,0.2547%
Seacoast Banking Corporation of Florida,SBCF,0.2314%
Sandy Spring Bancorp Inc,SASR,0.2207%
First Commonwealth Financial Corp,FCF,0.2168%
Heartland Financial USA Inc,HTLF,0.2159%
Banc of California Inc,BANC,0.2128%
City Holding Co,CHCO,0.2108%
Opus Bank,OPB,0.1959%
National Bank Holdings Corp,NBHC,0.1931%
Enterprise Financial Services Corp,EFSC,0.1917%
ServisFirst Bancshares Inc,SFBS,0.1909%
Triumph Bancorp Inc,TBK,0.1906%
Heritage Financial Corp,HFWA,0.187%
Brookline Bancorp Inc,BRKL,0.1566%
Central Pacific Financial Corp,CPF,0.1548%
Preferred Bank,PFBC,0.1495%
Southside Bancshares Inc,SBSI,0.1378%
Customers Bancorp Inc,CUBI,0.1342%
Hanmi Financial Corp,HAFC,0.1302%
Dime Community Bancshares Inc,DCOM,0.1227%
First Bancorp,FBNC,0.1194%
Live Oak Bancshares Inc,LOB,0.1169%
Franklin Financial Network Inc,FSB,0.1077%
Heritage Commerce Corp,HTBK,0.102%
ConnectOne Bancorp Inc,CNOB,0.1013%
Carolina Financial Corp,CARO,0.0993%
TriState Capital Holdings Inc,TSC,0.0966%
Peapack-Gladstone Financial Corp,PGC,0.0887%
Bancorp Inc,TBBK,0.0843%
Lakeland Bancorp Inc,LBAI,0.0833%
Independent Bank Corp (Michigan),IBCP,0.081%
First Foundation Inc,FFWM,0.0799%
QCR Holdings Inc,QCRH,0.0795%
Univest Financial Corp,UVSP,0.079%
Midland States Bancorp Inc,MSBI,0.0788%
FB Financial Corp,FBK,0.077%
Atlantic Capital Bancshares Inc,ACBI,0.0715%
Equity Bancshares Inc,EQBK,0.0471%
CBTX Inc,CBTX,0.0449%
Cash Component,CASH,0.0151%
