PHO: Invesco Water Resources ETF
Inception Date: 2005-12-06
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1181211
Shares Outstanding: 29500000
Expense Ratio: 0.6%
Tracks This Index: NASDAQ OMX US Water Index
ETFdb.com Category: Water Equities 
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PHO


Holding,Symbol,Weighting
American Water Works Company Inc,AWK,8.3408%
Danaher Corp,DHR,8.3339%
Ecolab Inc,ECL,8.2685%
Roper Technologies Inc,ROP,8.0282%
Waters Corp,WAT,7.3501%
Aqua America Inc,WTRG,4.5137%
Xylem Inc,XYL,4.0795%
IDEX Corp,IEX,3.9541%
HD Supply Holdings Inc,HDS,3.9134%
Rexnord Corp,RXN,3.8076%
Pentair PLC,PNR,3.6947%
Toro Co,TTC,3.4033%
A. O. Smith Corp,AOS,3.2572%
American States Water Co,AWR,3.0754%
Tetra Tech Inc,TTEK,3.0185%
Itron Inc,ITRI,2.6368%
Advanced Drainage Systems Inc,WMS,2.5468%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBS,2.2351%
Valmont Industries Inc,VMI,2.0239%
Watts Water Technologies Inc,WTS,1.8974%
California Water Service Group,CWT,1.6921%
Badger Meter Inc,BMI,1.6151%
Evoqua Water Technologies Corp,AQUA,1.4475%
Lindsay Corp,LNN,1.1052%
Mueller Water Products Inc,MWA,1.0948%
SJW Group,SJW,1.0862%
Mueller Industries Inc,MLI,0.7882%
Franklin Electric Co Inc,FELE,0.78%
Middlesex Water Co,MSEX,0.5787%
AquaVenture Holdings Ltd,WAAS,0.4206%
Energy Recovery Inc,ERII,0.3055%
Aegion Corp,AEGN,0.2912%
Gorman-Rupp Co,GRC,0.2119%
Consolidated Water Co Ltd,CWCO,0.1521%
Artesian Resources Corp,ARTNA,0.0559%
Cash Component,CASH,-0.0038%
