PPA: Invesco Aerospace & Defense ETF
Inception Date: 2005-10-26
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1219654
Shares Outstanding: 16700000
Expense Ratio: 0.59%
Tracks This Index: SPADE Defense Index
ETFdb.com Category: Industrials Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PPA


Holding,Symbol,Weighting
Lockheed Martin Corp,LMT,7.6489%
United Technologies Corp,UTX,7.125%
Boeing Co,BA,6.8703%
Honeywell International Inc,HON,6.7584%
Raytheon Co,RTN,5.791%
Northrop Grumman Corp,NOC,5.4931%
General Dynamics Corp,GD,4.8019%
Ball Corp,BLL,4.4614%
L3Harris Technologies Inc,LHX,4.3244%
TransDigm Group Inc,TDG,4.0488%
HEICO Corp,HEI,3.3873%
Leidos Holdings Inc,LDOS,3.148%
Teledyne Technologies Inc,TDY,2.7148%
Jacobs Engineering Group Inc,J,2.4918%
Textron Inc,TXT,2.3418%
Huntington Ingalls Industries Inc,HII,2.2111%
Booz Allen Hamilton Holding Corp,BAH,2.1225%
CAE Inc,CAE,1.6211%
Woodward Inc,WWD,1.4417%
FLIR Systems Inc,FLIR,1.4077%
CACI International Inc,CACI,1.3259%
Elbit Systems Ltd,ESLT,1.2921%
Curtiss-Wright Corp,CW,1.2345%
Hexcel Corp,HXL,1.232%
BWX Technologies Inc,BWXT,1.2251%
Oshkosh Corp,OSK,1.1609%
Science Applications International Corp,SAIC,1.0898%
Axon Enterprise Inc,AAXN,0.9552%
Mercury Systems Inc,MRCY,0.8711%
KBR Inc,KBR,0.8055%
Parsons Corp,PSN,0.8055%
Aerojet Rocketdyne Holdings Inc,AJRD,0.804%
ViaSat Inc,VSAT,0.7773%
Perspecta Inc,PRSP,0.7539%
Moog Inc,MOG.A,0.6346%
ManTech International Corp,MANT,0.6345%
Iridium Communications Inc,IRDM,0.6174%
FireEye Inc,FEYE,0.5897%
Cubic Corp,CUB,0.3961%
Kratos Defense and Security Solutions Inc,KTOS,0.3938%
Kaman Corp,KAMN,0.3483%
OSI Systems Inc,OSIS,0.3221%
AeroVironment Inc,AVAV,0.3175%
AAR Corp,AIR,0.3026%
Triumph Group Inc,TGI,0.2251%
Maxar Technologies Inc,MAXR,0.2029%
Comtech Telecommunications Corp,CMTL,0.1407%
Vectrus Inc,VEC,0.1252%
Intelsat SA,I,0.1014%
Ducommun Inc,DCO,0.0916%
Cash Component,CASH,0.0127%
