REET: iShares Global REIT ETF
Inception Date: 2014-07-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2147652
Shares Outstanding: 76550000
Expense Ratio: 0.14%
Tracks This Index: FTSE EPRA/NAREIT Global REIT Index 
ETFdb.com Category: Global Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/REET


Holding,Symbol,Weighting
Prologis Inc,PLD,4.617%
Cash Component,CASH,4.6098%
Simon Property Group Inc,SPG,2.9348%
Welltower Inc,WELL,2.3076%
Public Storage,PSA,2.2572%
Equity Residential,EQR,2.0845%
AvalonBay Communities Inc,AVB,2.0647%
Realty Income Corp,O,1.7542%
Digital Realty Trust Inc,DLR,1.7334%
Boston Properties Inc,BXP,1.493%
Ventas Inc,VTR,1.4856%
Link Real Estate Investment Trust,823,1.4829%
Essex Property Trust Inc,ESS,1.3934%
Alexandria Real Estate Equities Inc,ARE,1.2892%
WFD Unibail Rodamco NV,URW,1.2148%
Healthpeak Properties Inc,PEAK,1.2085%
Invitation Homes Inc,INVH,1.1387%
Mid-America Apartment Communities Inc,MAA,1.0841%
Sun Communities Inc,SUI,0.9944%
WP Carey Inc,WPC,0.9808%
UDR Inc,UDR,0.9579%
Extra Space Storage Inc,EXR,0.9359%
Scentre Group,SCG,0.9142%
Duke Realty Corp,DRE,0.9102%
SEGRO PLC,SGRO,0.865%
Equity LifeStyle Properties Inc,ELS,0.854%
Medical Properties Trust Inc,MPW,0.8087%
Host Hotels & Resorts Inc,HST,0.8027%
Vornado Realty Trust,VNO,0.7749%
Camden Property Trust,CPT,0.712%
Regency Centers Corp,REG,0.7095%
VEREIT Inc,VER,0.7078%
Nippon Building Fund Inc,8951,0.6788%
Gecina SA,GFC,0.6648%
VICI Properties Inc,VICI,0.657%
National Retail Properties Inc,NNN,0.6568%
Gaming and Leisure Properties Inc,GLPI,0.6512%
Federal Realty Investment Trust,FRT,0.6466%
Dexus,DXS,0.6426%
Japan Real Estate Investment Corp,8952,0.6308%
Omega Healthcare Investors Inc,OHI,0.6258%
Kilroy Realty Corp,KRC,0.5985%
Mirvac Group,MGR,0.5973%
Land Securities Group PLC,LAND,0.5857%
STORE Capital Corp,STOR,0.5767%
GPT Group,GPT,0.5405%
Kimco Realty Corp,KIM,0.5352%
Nomura Real Estate Master Fund Inc,3462,0.533%
Apartment Investment and Management Co,AIV,0.5326%
Stockland Corporation Ltd,SGP,0.5319%
SL Green Realty Corp,SLG,0.5075%
American Homes 4 Rent,AMH,0.4857%
Douglas Emmett Inc,DEI,0.481%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,0.4722%
CyrusOne Inc,CONE,0.4675%
Ascendas Real Estate Investment Trust,A17U,0.459%
Americold Realty Trust,COLD,0.4541%
British Land Company PLC,BLND,0.4523%
Healthcare Trust Of America Inc,HTA,0.4449%
RioCan Real Estate Investment Trust,REI.UN,0.4436%
American Campus Communities Inc,ACC,0.426%
Brixmor Property Group Inc,BRX,0.4188%
Klepierre SA,LI,0.4141%
CubeSmart,CUBE,0.4115%
Cousins Properties Inc,CUZ,0.4045%
Orix JREIT Inc,8954,0.3896%
Nippon Prologis REIT Inc,3283,0.3845%
Japan Retail Fund Investment Corp,8953,0.3829%
Hudson Pacific Properties Inc,HPP,0.3813%
Park Hotels & Resorts Inc,PK,0.3761%
EPR Properties,EPR,0.3734%
Covivio SA,COV,0.3703%
First Industrial Realty Trust Inc,FR,0.3698%
Rexford Industrial Realty Inc,REXR,0.3697%
Spirit Realty Capital Inc,SRC,0.3625%
Derwent London PLC,DLN,0.3622%
Vicinity Centres,VCX,0.3587%
Life Storage Inc,LSI,0.3578%
Highwoods Properties Inc,HIW,0.3573%
Eastgroup Properties Inc,EGP,0.3521%
United Urban Investment Corp,8960,0.3497%
Fibra Uno Administracion SA de CV,FUNO11,0.3399%
JBG SMITH Properties,JBGS,0.3394%
Allied Properties Real Estate Investment Trust,AP.UN,0.3387%
GLP J-REIT,3281,0.3347%
Daiwa House Reit Investment Corp,8984,0.334%
Healthcare Realty Trust Inc,HR,0.3237%
Unite Group PLC,UTG,0.3226%
MERLIN Properties SOCIMI SA,MRL,0.3166%
H&R Real Estate Investment Trust,HR.UN,0.3148%
Inmobiliaria Colonial SOCIMI SA,COL,0.3065%
STAG Industrial Inc,STAG,0.2926%
Capitaland Mall Trust,C38U,0.2859%
Cofinimmo SA,COFB,0.2827%
Sabra Health Care REIT Inc,SBRA,0.2793%
Growthpoint Properties Ltd,GRT,0.2743%
Advance Residence Investment Corp,3269,0.2712%
Ryman Hospitality Properties Inc,RHP,0.2681%
Equity Commonwealth,EQC,0.2673%
Terreno Realty Corp,TRNO,0.261%
Japan Prime Realty Investment Corp,8955,0.2545%
Warehouses de Pauw Comm VA,WDP,0.252%
Physicians Realty Trust,DOC,0.2514%
CapitaLand Commercial Trust,C61U,0.2498%
National Health Investors Inc,NHI,0.2481%
Service Properties Trust,SVC,0.2461%
Weingarten Realty Investors,WRI,0.2457%
Activia Properties Inc,3279,0.2441%
