RYT: Invesco S&P 500® Equal Weight Technology ETF
Inception Date: 2006-11-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1846098
Shares Outstanding: 9000000
Expense Ratio: 0.4%
Tracks This Index: S&P Equal Weight Index Information Technology
ETFdb.com Category: Technology Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RYT


Holding,Symbol,Weighting
ServiceNow Inc,NOW,1.6825%
Western Digital Corp,WDC,1.6612%
Advanced Micro Devices Inc,AMD,1.6261%
Arista Networks Inc,ANET,1.6156%
Leidos Holdings Inc,LDOS,1.6135%
Microsoft Corp,MSFT,1.601%
Apple Inc,AAPL,1.5663%
Autodesk Inc,ADSK,1.552%
Salesforce.Com Inc,CRM,1.5517%
Adobe Inc,ADBE,1.549%
International Business Machines Corp,IBM,1.5375%
Intel Corp,INTC,1.537%
Intuit Inc,INTU,1.5285%
Akamai Technologies Inc,AKAM,1.5275%
Jack Henry & Associates Inc,JKHY,1.5244%
Synopsys Inc,SNPS,1.5192%
Cognizant Technology Solutions Corp,CTSH,1.5191%
NVIDIA Corp,NVDA,1.5109%
Global Payments Inc,GPN,1.5093%
ANSYS Inc,ANSS,1.5078%
Motorola Solutions Inc,MSI,1.5047%
Lam Research Corp,LRCX,1.5036%
Micron Technology Inc,MU,1.4945%
Fortinet Inc,FTNT,1.4911%
PayPal Holdings Inc,PYPL,1.4858%
Mastercard Inc,MA,1.4856%
Citrix Systems Inc,CTXS,1.4767%
Visa Inc,V,1.4725%
Cadence Design Systems Inc,CDNS,1.4571%
Verisign Inc,VRSN,1.4415%
HP Inc,HPQ,1.4368%
Automatic Data Processing Inc,ADP,1.4318%
Fidelity National Information Services Inc,FIS,1.4265%
Cisco Systems Inc,CSCO,1.425%
Maxim Integrated Products Inc,MXIM,1.4119%
Fiserv Inc,FISV,1.4043%
Microchip Technology Inc,MCHP,1.4%
Paychex Inc,PAYX,1.3913%
Applied Materials Inc,AMAT,1.3868%
Accenture PLC,ACN,1.3779%
Skyworks Solutions Inc,SWKS,1.3708%
Texas Instruments Inc,TXN,1.3677%
Western Union Co,WU,1.3662%
Xerox Holdings Corp,XRX,1.3575%
Fleetcor Technologies Inc,FLT,1.3548%
Oracle Corp,ORCL,1.3508%
Paycom Software Inc,PAYC,1.3507%
Broadcom Inc,AVGO,1.3461%
FLIR Systems Inc,FLIR,1.3426%
Qualcomm Inc,QCOM,1.3389%
TE Connectivity Ltd,TEL,1.3342%
Juniper Networks Inc,JNPR,1.3248%
Broadridge Financial Solutions Inc,BR,1.3247%
Gartner Inc,IT,1.3016%
Amphenol Corp,APH,1.2979%
KLA Corp,KLAC,1.2973%
CDW Corp,CDW,1.2959%
Corning Inc,GLW,1.2959%
Alliance Data Systems Corp,ADS,1.2949%
Zebra Technologies Corp,ZBRA,1.2897%
Analog Devices Inc,ADI,1.2719%
Qorvo Inc,QRVO,1.2476%
IPG Photonics Corp,IPGP,1.2421%
Seagate Technology PLC,STX,1.2389%
Hewlett Packard Enterprise Co,HPE,1.2372%
NetApp Inc,NTAP,1.2198%
Xilinx Inc,XLNX,1.197%
F5 Networks Inc,FFIV,1.194%
Keysight Technologies Inc,KEYS,1.1793%
DXC Technology Co,DXC,1.1726%
NortonLifeLock Inc,NLOK,1.021%
Cash Component,CASH,0.0305%
