SKYY: First Trust ISE Cloud Computing Index Fund
Inception Date: 2011-07-05
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2525390
Shares Outstanding: 38100000
Expense Ratio: 0.6%
Tracks This Index: ISE Cloud Computing Index
ETFdb.com Category: Technology Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SKYY


Holding,Symbol,Weighting
Microsoft Corp,MSFT,4.7828%
Amazon.com Inc,AMZN,4.5172%
Alphabet Inc,GOOGL,4.4629%
VMware Inc,VMW,3.956%
Oracle Corp,ORCL,3.8387%
MongoDB Inc,MDB,3.6197%
Alibaba Group Holding Ltd,BABA,3.5542%
Centurylink Inc,CTL,3.2907%
Akamai Technologies Inc,AKAM,2.8973%
Citrix Systems Inc,CTXS,2.8167%
Shopify Inc,SHOP,2.802%
Cisco Systems Inc,CSCO,2.779%
ServiceNow Inc,NOW,2.3772%
HubSpot Inc,HUBS,2.3393%
Adobe Inc,ADBE,2.3307%
Twilio Inc,TWLO,2.3305%
Pure Storage Inc,PSTG,2.2534%
Salesforce.Com Inc,CRM,2.2471%
International Business Machines Corp,IBM,2.245%
Splunk Inc,SPLK,2.1433%
Five9 Inc,FIVN,2.1345%
MicroStrategy Inc,MSTR,1.9991%
NetApp Inc,NTAP,1.8633%
Nutanix Inc,NTNX,1.8455%
Hewlett Packard Enterprise Co,HPE,1.8333%
Appian Corp,APPN,1.62%
Arista Networks Inc,ANET,1.5595%
Cloudera Inc,CLDR,1.4149%
SAP SE,SAP,1.3041%
Tabula Rasa HealthCare Inc,TRHC,0.9128%
AppFolio Inc,APPF,0.7969%
Mimecast Ltd,MIME,0.7824%
Zoom Video Communications Inc,ZM,0.781%
DocuSign Inc,DOCU,0.7653%
Avalara Inc,AVLR,0.7562%
Blackline Inc,BL,0.7558%
Intuit Inc,INTU,0.747%
Zscaler Inc,ZS,0.742%
Anaplan Inc,PLAN,0.728%
Zendesk Inc,ZEN,0.7215%
LogMeIn Inc,LOGM,0.7204%
Workiva Inc,WK,0.7124%
SVMK Inc,SVMK,0.7123%
Workday Inc,WDAY,0.7013%
Open Text Corp,OTEX,0.7001%
Paycom Software Inc,PAYC,0.6997%
Everbridge Inc,EVBG,0.6897%
Coupa Software Inc,COUP,0.6764%
Q2 Holdings Inc,QTWO,0.6701%
Smartsheet Inc,SMAR,0.6681%
Veeva Systems Inc,VEEV,0.668%
Eventbrite Inc,EB,0.6537%
Zuora Inc,ZUO,0.647%
Dropbox Inc,DBX,0.6423%
Cornerstone OnDemand Inc,CSOD,0.6215%
Blackbaud Inc,BLKB,0.6187%
Cloudflare Inc,NET,0.6124%
New Relic Inc,NEWR,0.5992%
Teradata Corp,TDC,0.5785%
Elastic NV,ESTC,0.5754%
Box Inc,BOX,0.5561%
Benefitfocus Inc,BNFT,0.4978%
Cash Component,CASH,0.1322%
