SOXX: iShares PHLX Semiconductor ETF
Inception Date: 2001-07-10
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2506109
Shares Outstanding: 9900000
Expense Ratio: 0.46%
Tracks This Index: PHLX Semiconductor Sector Index
ETFdb.com Category: Technology Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SOXX


Holding,Symbol,Weighting
NVIDIA Corp,NVDA,8.5355%
Intel Corp,INTC,8.3589%
Texas Instruments Inc,TXN,7.8569%
Qualcomm Inc,QCOM,7.6822%
Broadcom Inc,AVGO,7.3193%
Advanced Micro Devices Inc,AMD,4.6739%
Micron Technology Inc,MU,4.3894%
Lam Research Corp,LRCX,4.3414%
NXP Semiconductors NV,NXPI,4.1987%
Applied Materials Inc,AMAT,3.9188%
Taiwan Semiconductor Manufacturing Co Ltd,TSM,3.8951%
Analog Devices Inc,ADI,3.6429%
KLA Corp,KLAC,3.5989%
Microchip Technology Inc,MCHP,3.5058%
ASML Holding NV,ASML,3.1187%
Xilinx Inc,XLNX,2.9676%
Skyworks Solutions Inc,SWKS,2.682%
Maxim Integrated Products Inc,MXIM,2.3375%
Marvell Technology Group Ltd,MRVL,2.2127%
Qorvo Inc,QRVO,1.6879%
Teradyne Inc,TER,1.6081%
ON Semiconductor Corp,ON,1.1601%
Monolithic Power Systems Inc,MPWR,1.0812%
Entegris Inc,ENTG,1.0348%
MKS Instruments Inc,MKSI,0.8312%
Cree Inc,CREE,0.7001%
Cabot Microelectronics Corp,CCMP,0.646%
Cirrus Logic Inc,CRUS,0.624%
Silicon Laboratories Inc,SLAB,0.5996%
Semtech Corp,SMTC,0.4592%
Cash Component,CASH,0.3313%
