TECL: Direxion Daily Technology Bull 3X Shares
Inception Date: 2008-12-17
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1436937
Shares Outstanding: 4700000
Expense Ratio: 1.08%
Tracks This Index: Technology Select Sector Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TECL


Holding,Symbol,Weighting
Microsoft Corp,MSFT,21.178%
Apple Inc,AAPL,20.1775%
Visa Inc,V,5.2387%
Mastercard Inc,MA,4.3831%
Intel Corp,INTC,4.3352%
Cisco Systems Inc,CSCO,3.0721%
Adobe Inc,ADBE,2.675%
Salesforce.Com Inc,CRM,2.4869%
NVIDIA Corp,NVDA,2.3239%
PayPal Holdings Inc,PYPL,2.1075%
International Business Machines Corp,IBM,2.0513%
Accenture PLC,ACN,2.0291%
Broadcom Inc,AVGO,1.8869%
Texas Instruments Inc,TXN,1.816%
Oracle Corp,ORCL,1.7898%
Qualcomm Inc,QCOM,1.5069%
Fidelity National Information Services Inc,FIS,1.3586%
Automatic Data Processing Inc,ADP,1.1704%
Intuit Inc,INTU,1.1587%
Fiserv Inc,FISV,1.0507%
ServiceNow Inc,NOW,0.9705%
Micron Technology Inc,MU,0.9507%
Global Payments Inc,GPN,0.9116%
Applied Materials Inc,AMAT,0.8607%
Advanced Micro Devices Inc,AMD,0.8361%
Lam Research Corp,LRCX,0.6912%
Autodesk Inc,ADSK,0.6879%
Analog Devices Inc,ADI,0.6243%
Cognizant Technology Solutions Corp,CTSH,0.5754%
HP Inc,HPQ,0.4862%
TE Connectivity Ltd,TEL,0.4708%
Motorola Solutions Inc,MSI,0.4637%
Amphenol Corp,APH,0.4625%
Paychex Inc,PAYX,0.423%
Fleetcor Technologies Inc,FLT,0.4013%
KLA Corp,KLAC,0.3931%
Microchip Technology Inc,MCHP,0.3828%
ANSYS Inc,ANSS,0.3671%
Synopsys Inc,SNPS,0.3502%
Xilinx Inc,XLNX,0.3249%
Corning Inc,GLW,0.3214%
Verisign Inc,VRSN,0.3193%
Cadence Design Systems Inc,CDNS,0.3118%
Western Digital Corp,WDC,0.3008%
Skyworks Solutions Inc,SWKS,0.2929%
CDW Corp,CDW,0.2881%
Hewlett Packard Enterprise Co,HPE,0.2879%
Keysight Technologies Inc,KEYS,0.2677%
Maxim Integrated Products Inc,MXIM,0.2552%
Fortinet Inc,FTNT,0.2513%
Akamai Technologies Inc,AKAM,0.2345%
Citrix Systems Inc,CTXS,0.2234%
Leidos Holdings Inc,LDOS,0.2211%
Paycom Software Inc,PAYC,0.217%
Gartner Inc,IT,0.2056%
Broadridge Financial Solutions Inc,BR,0.2043%
Zebra Technologies Corp,ZBRA,0.2006%
NetApp Inc,NTAP,0.1977%
Jack Henry & Associates Inc,JKHY,0.1925%
Arista Networks Inc,ANET,0.1895%
Seagate Technology PLC,STX,0.189%
Qorvo Inc,QRVO,0.1843%
Western Union Co,WU,0.1751%
NortonLifeLock Inc,NLOK,0.1708%
DXC Technology Co,DXC,0.1264%
Juniper Networks Inc,JNPR,0.12%
F5 Networks Inc,FFIV,0.1132%
FLIR Systems Inc,FLIR,0.1076%
Xerox Holdings Corp,XRX,0.1043%
IPG Photonics Corp,IPGP,0.0716%
Alliance Data Systems Corp,ADS,0.0658%
Cash Component,CASH,-1.841%
