VDE: Vanguard Energy ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	3026951
Shares Outstanding: 41814000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Energy 25/50 Index
ETFdb.com Category: Energy Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VDE


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,21.6788%
Chevron Corp,CVX,17.8408%
ConocoPhillips,COP,4.8958%
Schlumberger NV,SLB,4.1078%
EOG Resources Inc,EOG,3.7177%
Kinder Morgan Inc,KMI,3.7085%
Phillips 66,PSX,3.5236%
Occidental Petroleum Corp,OXY,3.282%
Marathon Petroleum Corp,MPC,3.1426%
Valero Energy Corp,VLO,3.0414%
ONEOK Inc,OKE,2.6856%
Williams Companies Inc,WMB,2.2015%
Pioneer Natural Resources Co,PXD,2.0179%
Halliburton Co,HAL,1.6514%
Concho Resources Inc,CXO,1.3765%
Hess Corp,HES,1.3113%
Baker Hughes Co,BKR,1.2292%
Cheniere Energy Inc,LNG,1.139%
Diamondback Energy Inc,FANG,1.005%
Apache Corp,APA,0.9257%
Marathon Oil Corp,MRO,0.8583%
Devon Energy Corp,DVN,0.8541%
Noble Energy Inc,NBL,0.8342%
National Oilwell Varco Inc,NOV,0.815%
Targa Resources Corp,TRGP,0.7559%
TechnipFMC PLC,FTI,0.6332%
HollyFrontier Corp,HFC,0.6276%
Cabot Oil & Gas Corp,COG,0.5557%
Parsley Energy Inc,PE,0.4627%
WPX Energy Inc,WPX,0.4499%
Texas Pacific Land Trust,TPL,0.4432%
Helmerich and Payne Inc,HP,0.4124%
Cimarex Energy Co,XEC,0.3854%
Tallgrass Energy LP,TGE,0.3227%
Murphy Oil Corp,MUR,0.3226%
PBF Energy Inc,PBF,0.2789%
Plains GP Holdings LP,PAGP,0.2547%
World Fuel Services Corp,INT,0.237%
Continental Resources Inc,CLR,0.2271%
Transocean Ltd,RIG,0.2241%
PDC Energy Inc,PDCE,0.2156%
Delek US Holdings Inc,DK,0.1953%
Apergy Corp,APY,0.1868%
Equitrans Midstream Corp,ETRN,0.1848%
Core Laboratories NV,CLB,0.1417%
Patterson-UTI Energy Inc,PTEN,0.1407%
Dril-Quip Inc,DRQ,0.1401%
Matador Resources Co,MTDR,0.1396%
Kosmos Energy Ltd,KOS,0.137%
CNX Resources Corp,CNX,0.1351%
Cactus Inc,WHD,0.1273%
EQT Corp,EQT,0.1206%
EnLink Midstream LLC,ENLC,0.1203%
Oceaneering International Inc,OII,0.1198%
Callon Petroleum Co,CPE,0.1158%
Helix Energy Solutions Group Inc,HLX,0.1132%
Renewable Energy Group Inc,REGI,0.1113%
Magnolia Oil & Gas Corp,MGY,0.1054%
Antero Midstream Corp,AM,0.1032%
Valaris PLC,VAL,0.1023%
Archrock Inc,AROC,0.1011%
SM Energy Co,SM,0.0957%
CVR Energy Inc,CVI,0.0956%
Nextier Oilfield Solutions Inc,NEX,0.0907%
Arch Coal Inc,ARCH,0.0892%
Southwestern Energy Co,SWN,0.0866%
ProPetro Holding Corp,PUMP,0.0787%
Nabors Industries Ltd,NBR,0.0761%
Range Resources Corp,RRC,0.0688%
Tellurian Inc,TELL,0.0687%
SEACOR Holdings Inc,CKH,0.0681%
QEP Resources Inc,QEP,0.067%
Oasis Petroleum Inc,OAS,0.0669%
Par Pacific Holdings Inc,PARR,0.0628%
Oil States International Inc,OIS,0.0612%
DMC Global Inc,BOOM,0.0595%
Peabody Energy Corp,BTU,0.0592%
Green Plains Inc,GPRE,0.059%
Tidewater Inc,TDW,0.0583%
Chesapeake Energy Corp,CHK,0.0575%
Centennial Resource Development Inc,CDEV,0.0545%
Berry Petroleum Corp,BRY,0.0498%
Denbury Resources Inc,DNR,0.0487%
International Seaways Inc,INSW,0.0486%
REX American Resources Corp,REX,0.0454%
Select Energy Services Inc,WTTR,0.0452%
Antero Resources Corp,AR,0.0445%
Talos Energy Inc,TALO,0.0443%
W&T Offshore Inc,WTI,0.0437%
Liberty Oilfield Services Inc,LBRT,0.0437%
Newpark Resources Inc,NR,0.0413%
Clean Energy Fuels Corp,CLNE,0.0411%
U.S. Silica Holdings Inc,SLCA,0.0408%
Northern Oil and Gas Inc,NOG,0.0399%
Whiting Petroleum Corp,WLL,0.0369%
Franks International NV,FI,0.0366%
Matrix Service Co,MTRX,0.0361%
Gran Tierra Energy Inc,GTE,0.0358%
California Resources Corp,CRC,0.0352%
Diamond Offshore Drilling Inc,DO,0.034%
Bonanza Creek Energy Inc,BCEI,0.0337%
Laredo Petroleum Inc,LPI,0.0286%
RPC Inc,RES,0.0283%
CONSOL Energy Inc,CEIX,0.0275%
Noble Corporation PLC,NE,0.0251%
Penn Virginia Corp,PVAC,0.0251%
Tetra Technologies Inc,TTI,0.0244%
Falcon Minerals Corp,FLMN,0.0235%
Ring Energy Inc,REI,0.0231%
Gulfport Energy Corp,GPOR,0.0222%
SEACOR Marine Holdings Inc,SMHI,0.021%
HighPoint Resources Corp,HPR,0.0199%
Cash Component,CASH,0.0189%
Exterran Corp,EXTN,0.0186%
Montage Resources Corp,MR,0.0174%
Covia Holdings Corp,CVIA,0.0171%
Altus Midstream Co,ALTM,0.0162%
Extraction Oil & Gas Inc,XOG,0.0151%
Forum Energy Technologies Inc,FET,0.014%
Nine Energy Service Inc,NINE,0.013%
SandRidge Energy Inc,SD,0.013%
Contura Energy Inc,CTRA,0.0127%
KLX Energy Services Holdings Inc,KLXE,0.0098%
Brigham Minerals Inc,MNRL,0.0038%
FTS International Inc,FTSI,0.0036%
New Fortress Energy LLC,NFE,0.0027%
Solaris Oilfield Infrastructure Inc,SOI,0.0026%
Rattler Midstream LP,RTLR,0.0025%
Unit Corp,UNT,0.0025%
Viper Energy Partners LP,VNOM,0.0024%
Diamond S Shipping Inc,DSSI,0.0023%
