VFH: Vanguard Financials ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	8092662
Shares Outstanding: 105346000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Financials 25/50 Index
ETFdb.com Category: Financials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VFH


Holding,Symbol,Weighting
JPMorgan Chase & Co,JPM,10.2066%
Bank of America Corp,BAC,7.1203%
Berkshire Hathaway Inc,BRK.B,6.9618%
Wells Fargo & Co,WFC,4.6607%
Citigroup Inc,C,4.1343%
American Express Co,AXP,2.1621%
U.S. Bancorp,USB,1.9027%
Goldman Sachs Group Inc,GS,1.7969%
CME Group Inc,CME,1.7762%
Chubb Ltd,CB,1.7286%
Truist Financial Corp,TFC,1.6927%
S&P Global Inc,SPGI,1.6924%
PNC Financial Services Group Inc,PNC,1.589%
Morgan Stanley,MS,1.5874%
BlackRock Inc,BLK,1.5048%
Marsh & McLennan Companies Inc,MMC,1.3731%
Charles Schwab Corp,SCHW,1.2958%
Aon PLC,AON,1.2582%
Intercontinental Exchange Inc,ICE,1.2106%
Progressive Corp,PGR,1.1315%
Capital One Financial Corp,COF,1.1132%
American International Group Inc,AIG,1.0828%
Moody's Corp,MCO,1.0586%
Blackstone Group Inc,BX,0.9673%
MetLife Inc,MET,0.9561%
Allstate Corp,ALL,0.9524%
Bank of New York Mellon Corp,BK,0.9325%
Aflac Inc,AFL,0.9123%
Prudential Financial Inc,PRU,0.8873%
Travelers Companies Inc,TRV,0.8215%
T. Rowe Price Group Inc,TROW,0.7558%
State Street Corp,STT,0.6882%
Willis Towers Watson PLC,WLTW,0.635%
MSCI Inc,MSCI,0.5893%
Discover Financial Services,DFS,0.5567%
Ameriprise Financial Inc,AMP,0.5386%
Hartford Financial Services Group Inc,HIG,0.5045%
M&T Bank Corp,MTB,0.5044%
Fifth Third Bancorp,FITB,0.4991%
Northern Trust Corp,NTRS,0.4798%
Synchrony Financial,SYF,0.4614%
KeyCorp,KEY,0.4572%
Arthur J Gallagher & Co,AJG,0.4535%
First Republic Bank,FRC,0.4491%
Arch Capital Group Ltd,ACGL,0.435%
Markel Corp,MKL,0.4073%
Cincinnati Financial Corp,CINF,0.4054%
Citizens Financial Group Inc,CFG,0.4001%
KKR & Co Inc,KKR,0.3817%
Regions Financial Corp,RF,0.379%
Principal Financial Group Inc,PFG,0.3618%
Annaly Capital Management Inc,NLY,0.3383%
Loews Corp,L,0.3383%
Huntington Bancshares Inc,HBAN,0.3373%
Cboe Global Markets Inc,CBOE,0.319%
TD Ameritrade Holding Corp,AMTD,0.3158%
Nasdaq Inc,NDAQ,0.3096%
SVB Financial Group,SIVB,0.308%
Marketaxess Holdings Inc,MKTX,0.3048%
Ally Financial Inc,ALLY,0.2968%
Fidelity National Financial Inc,FNF,0.2945%
Lincoln National Corp,LNC,0.2756%
Raymond James Financial Inc,RJF,0.2742%
W. R. Berkley Corp,WRB,0.2674%
Everest Re Group Ltd,RE,0.2649%
Brown & Brown Inc,BRO,0.2605%
Globe Life Inc,GL,0.2601%
Alleghany Corp,Y,0.2561%
Factset Research Systems Inc,FDS,0.2535%
Equitable Holdings Inc,EQH,0.2513%
AGNC Investment Corp,AGNC,0.2448%
E*TRADE Financial Corp,ETFC,0.243%
Reinsurance Group of America Inc,RGA,0.2239%
Comerica Inc,CMA,0.2165%
Renaissancere Holdings Ltd,RNR,0.2059%
Voya Financial Inc,VOYA,0.2045%
SEI Investments Co,SEIC,0.2021%
American Financial Group Inc,AFG,0.2005%
Assurant Inc,AIZ,0.1917%
Zions Bancorporation NA,ZION,0.1902%
Signature Bank,SBNY,0.186%
Apollo Global Management Inc,APO,0.185%
LPL Financial Holdings Inc,LPLA,0.182%
Franklin Resources Inc,BEN,0.18%
Starwood Property Trust Inc,STWD,0.1706%
Invesco Ltd,IVZ,0.1698%
New Residential Investment Corp,NRZ,0.167%
Commerce Bancshares Inc,CBSH,0.1669%
People's United Financial Inc,PBCT,0.1643%
Athene Holding Ltd,ATH,0.1634%
East West Bancorp Inc,EWBC,0.1613%
First American Financial Corp,FAF,0.1586%
Prosperity Bancshares Inc,PB,0.1584%
Old Republic International Corp,ORI,0.1548%
TCF Financial Corp,TCF,0.1544%
Unum Group,UNM,0.1427%
Jefferies Financial Group Inc,JEF,0.1369%
Synovus Financial Corp,SNV,0.1307%
Hanover Insurance Group Inc,THG,0.1299%
Western Alliance Bancorp,WAL,0.1297%
Eaton Vance Corp,EV,0.1295%
Cullen/Frost Bankers Inc,CFR,0.1291%
AXIS Capital Holdings Ltd,AXS,0.1282%
Popular Inc,BPOP,0.1256%
Primerica Inc,PRI,0.122%
New York Community Bancorp Inc,NYCB,0.1211%
First Horizon National Corp,FHN,0.1199%
MGIC Investment Corp,MTG,0.1172%
Radian Group Inc,RDN,0.1164%
Credit Acceptance Corp,CACC,0.1163%
Blackstone Mortgage Trust Inc,BXMT,0.1155%
Essent Group Ltd,ESNT,0.1135%
SLM Corp,SLM,0.1123%
Brighthouse Financial Inc,BHF,0.1099%
Stifel Financial Corp,SF,0.1091%
Assured Guaranty Ltd,AGO,0.1074%
Kemper Corp,KMPR,0.1041%
Pinnacle Financial Partners Inc,PNFP,0.1037%
CIT Group Inc,CIT,0.103%
Webster Financial Corp,WBS,0.1003%
First Financial Bankshares Inc,FFIN,0.0986%
PacWest Bancorp,PACW,0.0982%
Valley National Bancorp,VLY,0.0982%
Sterling Bancorp,STL,0.0976%
Affiliated Managers Group Inc,AMG,0.0976%
Two Harbors Investment Corp,TWO,0.0969%
Janus Henderson Group PLC,0RPW,0.0964%
Selective Insurance Group Inc,SIGI,0.0961%
Erie Indemnity Co,ERIE,0.0936%
IBERIABANK Corp,IBKC,0.0935%
Chimera Investment Corp,CIM,0.0933%
First Hawaiian Inc,FHB,0.0928%
F.N.B. Corp,FNB,0.0895%
Umpqua Holdings Corp,UMPQ,0.0894%
Interactive Brokers Group Inc,IBKR,0.0889%
Glacier Bancorp Inc,GBCI,0.0886%
Hancock Whitney Corp,HWC,0.0865%
Rli Corp,RLI,0.0853%
OneMain Holdings Inc,OMF,0.0843%
Bank of Hawaii Corp,BOH,0.0843%
FirstCash Inc,FCFS,0.084%
Wintrust Financial Corp,WTFC,0.0836%
Bank Ozk,OZK,0.0827%
United Bankshares Inc,UBSI,0.0822%
First Citizens BancShares Inc (Delaware),FCNCA,0.0822%
MFA Financial Inc,MFA,0.0817%
Community Bank System Inc,CBU,0.0814%
Federated Investors Inc,FHI,0.0812%
Legg Mason Inc,LM,0.0806%
Associated Banc-Corp,ASB,0.076%
Evercore Inc,EVR,0.0753%
UMB Financial Corp,UMBF,0.0743%
Morningstar Inc,MORN,0.0738%
BankUnited Inc,BKU,0.0724%
Ares Management Corp,ARES,0.0721%
Home BancShares Inc,HOMB,0.072%
CNO Financial Group Inc,CNO,0.0684%
Navient Corp,NAVI,0.0678%
Invesco Mortgage Capital Inc,IVR,0.0677%
BancorpSouth Bank,BXS,0.0676%
Columbia Banking System Inc,COLB,0.0674%
Investors Bancorp Inc,ISBC,0.066%
Tradeweb Markets Inc,TW,0.0656%
Old National Bancorp,ONB,0.0653%
Cathay General Bancorp,CATY,0.0652%
CenterState Bank Corp,CSFL,0.0651%
Texas Capital Bancshares Inc,TCBI,0.0647%
