VHT: Vanguard Healthcare ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	10256431
Shares Outstanding: 52821000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Health Care 25/50 Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VHT


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,8.8914%
UnitedHealth Group Inc,UNH,6.0807%
Merck & Co Inc,MRK,4.8314%
Pfizer Inc,PFE,4.6681%
Medtronic PLC,MDT,3.5404%
Bristol-Myers Squibb Co,BMY,3.4453%
Abbott Laboratories,ABT,3.4449%
Amgen Inc,AMGN,3.0489%
Abbvie Inc,ABBV,3.0266%
Thermo Fisher Scientific Inc,TMO,2.898%
Eli Lilly and Co,LLY,2.8217%
Danaher Corp,DHR,2.2471%
CVS Health Corp,CVS,2.0635%
Gilead Sciences Inc,GILD,1.9349%
Cigna Corp,CI,1.7484%
Stryker Corp,SYK,1.6028%
Anthem Inc,ANTM,1.5672%
Becton Dickinson and Co,BDX,1.481%
Intuitive Surgical Inc,ISRG,1.481%
Zoetis Inc,ZTS,1.4716%
Allergan plc,AGN,1.4338%
Biogen Inc,BIIB,1.3823%
Vertex Pharmaceuticals Inc,VRTX,1.3706%
Boston Scientific Corp,BSX,1.3036%
Edwards Lifesciences Corp,EW,1.0731%
Humana Inc,HUM,1.0558%
Baxter International Inc,BAX,0.9818%
Illumina Inc,ILMN,0.9585%
HCA Healthcare Inc,HCA,0.8843%
Centene Corp,CNC,0.8176%
Zimmer Biomet Holdings Inc,ZBH,0.7124%
Regeneron Pharmaceuticals Inc,REGN,0.6848%
McKesson Corp,MCK,0.6412%
IQVIA Holdings Inc,IQV,0.5825%
Agilent Technologies Inc,A,0.5709%
Cerner Corp,CERN,0.558%
Resmed Inc,RMD,0.5478%
IDEXX Laboratories Inc,IDXX,0.5337%
Alexion Pharmaceuticals Inc,ALXN,0.4995%
DexCom Inc,DXCM,0.4852%
Veeva Systems Inc,VEEV,0.4376%
Align Technology Inc,ALGN,0.4372%
Mettler-Toledo International Inc,MTD,0.4218%
Laboratory Corporation of America Holdings,LH,0.3946%
Teleflex Inc,TFX,0.3866%
Cardinal Health Inc,CAH,0.3853%
Cooper Companies Inc,COO,0.3804%
Biomarin Pharmaceutical Inc,BMRN,0.3444%
Quest Diagnostics Inc,DGX,0.3331%
Waters Corp,WAT,0.3226%
AmerisourceBergen Corp,ABC,0.3184%
Hologic Inc,HOLX,0.3156%
Alnylam Pharmaceuticals Inc,ALNY,0.3104%
Exact Sciences Corp,EXAS,0.3083%
Seattle Genetics Inc,SGEN,0.3073%
Incyte Corp,INCY,0.3011%
Steris plc,STE,0.2867%
Varian Medical Systems Inc,VAR,0.2844%
Dentsply Sirona Inc,XRAY,0.2836%
Elanco Animal Health Inc,ELAN,0.2756%
Insulet Corp,PODD,0.268%
Mylan NV,MYL,0.2605%
West Pharmaceutical Services Inc,WST,0.2591%
Universal Health Services Inc,UHS,0.2477%
Henry Schein Inc,HSIC,0.2308%
PerkinElmer Inc,PKI,0.2302%
Neurocrine Biosciences Inc,NBIX,0.2015%
Masimo Corp,MASI,0.1988%
Sarepta Therapeutics Inc,SRPT,0.1953%
Abiomed Inc,ABMD,0.1888%
DaVita Inc,DVA,0.1878%
Catalent Inc,CTLT,0.1873%
Bio Rad Laboratories Inc,BIO,0.1832%
Ionis Pharmaceuticals Inc,IONS,0.1795%
Jazz Pharmaceuticals PLC,JAZZ,0.1792%
Encompass Health Corp,EHC,0.1739%
Perrigo Company PLC,PRGO,0.1716%
Charles River Laboratories International Inc,CRL,0.1704%
Bio-Techne Corp,TECH,0.1699%
Chemed Corp,CHE,0.1699%
Molina Healthcare Inc,MOH,0.1689%
Teladoc Health Inc,TDOC,0.1614%
Hill-Rom Holdings Inc,HRC,0.1606%
Novocure Ltd,NVCR,0.1503%
PRA Health Sciences Inc,PRAH,0.1471%
Horizon Therapeutics PLC,HZNP,0.1464%
Amedisys Inc,AMED,0.1362%
Haemonetics Corp,HAE,0.136%
Exelixis Inc,EXEL,0.1278%
Penumbra Inc,PEN,0.1236%
Bruker Corp,BRKR,0.12%
HealthEquity Inc,HQY,0.1118%
bluebird bio Inc,BLUE,0.1078%
Repligen Corp,RGEN,0.1044%
LHC Group Inc,LHCG,0.1022%
ACADIA Pharmaceuticals Inc,ACAD,0.1005%
United Therapeutics Corp,UTHR,0.0974%
Reata Pharmaceuticals Inc,RETA,0.0971%
Global Blood Therapeutics Inc,GBT,0.0945%
Acceleron Pharma Inc,XLRN,0.0934%
Nevro Corp,NVRO,0.0934%
Integra Lifesciences Holdings Corp,IART,0.0923%
ICU Medical Inc,ICUI,0.0912%
Globus Medical Inc,GMED,0.0902%
Avantor Inc,AVTR,0.0885%
Nektar Therapeutics,NKTR,0.0881%
Tandem Diabetes Care Inc,TNDM,0.0878%
NuVasive Inc,NUVA,0.0877%
Syneos Health Inc,SYNH,0.0849%
Wright Medical Group NV,WMGI,0.0809%
Momenta Pharmaceuticals Inc,MNTA,0.0801%
Omnicell Inc,OMCL,0.0795%
Neogen Corp,NEOG,0.0794%
SAGE Therapeutics Inc,SAGE,0.0781%
Envista Holdings Corp,NVST,0.0769%
Arrowhead Pharmaceuticals Inc,ARWR,0.0767%
FibroGen Inc,FGEN,0.0749%
Ultragenyx Pharmaceutical Inc,RARE,0.073%
AMN Healthcare Services Inc,AMN,0.0719%
MyoKardia Inc,MYOK,0.0682%
