VIS: Vanguard Industrial ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	3634516
Shares Outstanding: 23088000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Industrials 25/50 Index
ETFdb.com Category: Industrials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VIS


Holding,Symbol,Weighting
Boeing Co,BA,5.5961%
Union Pacific Corp,UNP,4.0265%
United Technologies Corp,UTX,3.993%
Honeywell International Inc,HON,3.9194%
General Electric Co,GE,3.4791%
Lockheed Martin Corp,LMT,3.4705%
3M Co,MMM,2.8595%
Caterpillar Inc,CAT,2.3316%
United Parcel Service Inc,UPS,2.2377%
Raytheon Co,RTN,1.9982%
Illinois Tool Works Inc,ITW,1.8468%
CSX Corp,CSX,1.8342%
Northrop Grumman Corp,NOC,1.8092%
Norfolk Southern Corp,NSC,1.7197%
Waste Management Inc,WM,1.6341%
L3Harris Technologies Inc,LHX,1.5945%
Deere & Co,DE,1.5573%
General Dynamics Corp,GD,1.4235%
Emerson Electric Co,EMR,1.4096%
Eaton Corporation PLC,ETN,1.3317%
Roper Technologies Inc,ROP,1.2438%
FedEx Corp,FDX,1.1984%
Ingersoll-Rand PLC,IR,1.063%
Delta Air Lines Inc,DAL,1.0538%
Johnson Controls International PLC,JCI,0.9842%
IHS Markit Ltd,INFO,0.9522%
TransDigm Group Inc,TDG,0.9513%
Southwest Airlines Co,LUV,0.8613%
Parker-Hannifin Corp,PH,0.8291%
Verisk Analytics Inc,VRSK,0.8165%
Waste Connections Inc,WCN,0.8152%
Paccar Inc,PCAR,0.8124%
Cintas Corp,CTAS,0.7928%
Stanley Black & Decker Inc,SWK,0.7706%
CoStar Group Inc,CSGP,0.7621%
Cummins Inc,CMI,0.7477%
Fortive Corp,FTV,0.7409%
Rockwell Automation Inc,ROK,0.7366%
Ametek Inc,AME,0.6969%
Republic Services Inc,RSG,0.6788%
Fastenal Co,FAST,0.6653%
Copart Inc,CPRT,0.6568%
Equifax Inc,EFX,0.5852%
United Airlines Holdings Inc,UAL,0.5715%
TransUnion,TRU,0.5548%
Kansas City Southern,KSU,0.5328%
Dover Corp,DOV,0.5306%
Xylem Inc,XYL,0.4707%
Masco Corp,MAS,0.439%
Westinghouse Air Brake Technologies Corp,WAB,0.4387%
Old Dominion Freight Line Inc,ODFL,0.4372%
W W Grainger Inc,GWW,0.4341%
Teledyne Technologies Inc,TDY,0.4296%
IDEX Corp,IEX,0.4049%
Jacobs Engineering Group Inc,J,0.404%
Expeditors International of Washington Inc,EXPD,0.3895%
Allegion PLC,ALLE,0.3883%
Arconic Inc,ARNC,0.3849%
Textron Inc,TXT,0.3624%
United Rentals Inc,URI,0.3577%
American Airlines Group Inc,AAL,0.3534%
Huntington Ingalls Industries Inc,HII,0.3488%
C.H. Robinson Worldwide Inc,CHRW,0.3137%
Fortune Brands Home & Security Inc,FBHS,0.3074%
J B Hunt Transport Services Inc,JBHT,0.2973%
Carlisle Companies Inc,CSL,0.2853%
