VPU: Vanguard Utilities ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	4762735
Shares Outstanding: 31514000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Utilities 25/50 Index
ETFdb.com Category: Utilities Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VPU


Holding,Symbol,Weighting
Nextera Energy Inc,NEE,11.9566%
Southern Co,SO,6.6204%
Duke Energy Corp,DUK,6.4974%
Dominion Energy Inc,D,6.458%
American Electric Power Company Inc,AEP,4.6348%
Exelon Corp,EXC,4.3366%
Sempra Energy,SRE,4.0337%
Xcel Energy Inc,XEL,3.2771%
WEC Energy Group Inc,WEC,2.9147%
Consolidated Edison Inc,ED,2.8534%
Eversource Energy,ES,2.7163%
Public Service Enterprise Group Inc,PEG,2.7031%
FirstEnergy Corp,FE,2.5627%
Edison International,EIX,2.5536%
Entergy Corp,ETR,2.4305%
PPL Corp,PPL,2.4101%
DTE Energy Co,DTE,2.2668%
American Water Works Company Inc,AWK,2.249%
Ameren Corp,AEE,1.9029%
CMS Energy Corp,CMS,1.7646%
Evergy Inc,EVRG,1.5456%
Atmos Energy Corp,ATO,1.2885%
Alliant Energy Corp,LNT,1.2829%
AES Corp,AES,1.2604%
CenterPoint Energy Inc,CNP,1.2433%
Aqua America Inc,WTRG,1.0635%
NiSource Inc,NI,1.0309%
Pinnacle West Capital Corp,PNW,1.02%
NRG Energy Inc,NRG,0.8873%
OGE Energy Corp,OGE,0.8525%
UGI Corp,UGI,0.8186%
Vistra Energy Corp,VST,0.762%
MDU Resources Group Inc,MDU,0.5717%
Idacorp Inc,IDA,0.5106%
Portland General Electric Co,POR,0.5024%
Hawaiian Electric Industries Inc,HE,0.4854%
Black Hills Corp,BKH,0.4753%
ONE Gas Inc,OGS,0.4627%
Spire Inc,SR,0.4059%
PNM Resources Inc,PNM,0.4024%
ALLETE Inc,ALE,0.393%
Southwest Gas Holdings Inc,SWX,0.3882%
NorthWestern Corp,NWE,0.3598%
New Jersey Resources Corp,NJR,0.3542%
Avista Corp,AVA,0.3129%
American States Water Co,AWR,0.3082%
National Fuel Gas Co,NFG,0.307%
Avangrid Inc,AGR,0.3009%
Ormat Technologies Inc,ORA,0.2998%
Nextera Energy Partners LP,NEP,0.2989%
South Jersey Industries Inc,SJI,0.27%
El Paso Electric Co,EE,0.2582%
MGE Energy Inc,MGEE,0.2574%
California Water Service Group,CWT,0.2414%
Pattern Energy Group Inc,PEGI,0.2194%
Northwest Natural Holding Co,NWN,0.2087%
Otter Tail Corp,OTTR,0.1785%
SJW Group,SJW,0.1631%
Chesapeake Utilities Corp,CPK,0.1476%
Clearway Energy Inc,CWEN,0.1467%
TerraForm Power Inc,TERP,0.1128%
Middlesex Water Co,MSEX,0.1046%
Unitil Corp,UTL,0.0863%
Clearway Energy Inc,CWEN.A,0.0668%
York Water Co,YORW,0.0575%
AquaVenture Holdings Ltd,WAAS,0.0479%
Cash Component,CASH,0.0463%
Star Group LP,SGU,0.0396%
Spark Energy Inc,SPKE,0.0104%
