XLB: Materials Select Sector SPDR ETF
Inception Date: 1998-12-16
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	4384405
Shares Outstanding: 72973000
Expense Ratio: 0.13%
Tracks This Index: Materials Select Sector Index
ETFdb.com Category: Materials
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLB


Holding,Symbol,Weighting
Linde PLC,LIN,16.5676%
Air Products and Chemicals Inc,APD,7.9366%
Ecolab Inc,ECL,7.4272%
Sherwin-Williams Co,SHW,6.7659%
Dupont De Nemours Inc,DD,5.6064%
Dow Inc,DOW,5.129%
Newmont Corporation,NEM,4.8019%
PPG Industries Inc,PPG,4.2079%
Ball Corp,BLL,3.6538%
Corteva Inc,CTVA,3.3725%
LyondellBasell Industries NV,LYB,3.0609%
Vulcan Materials Co,VMC,2.8373%
Amcor PLC,AMCR,2.5446%
Martin Marietta Materials Inc,MLM,2.4909%
Freeport-McMoRan Inc,FCX,2.4852%
International Paper Co,IP,2.4795%
International Flavors & Fragrances Inc,IFF,2.1717%
Nucor Corp,NUE,2.1088%
FMC Corp,FMC,1.9774%
Celanese Corp,CE,1.905%
Avery Dennison Corp,AVY,1.6508%
Westrock Co,WRK,1.5436%
Eastman Chemical Co,EMN,1.4288%
Packaging Corp of America,PKG,1.3938%
CF Industries Holdings Inc,CF,1.3308%
Albemarle Corp,ALB,1.2694%
Mosaic Co,MOS,1.028%
Sealed Air Corp,SEE,0.8286%
Cash Component,CASH,-0.0039%
