XLV: Health Care Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	20675487
Shares Outstanding: 200665000
Expense Ratio: 0.13%
Tracks This Index: Health Care Select Sector Index
ETFdb.com Category: Health & Biotech Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLV


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,10.4371%
UnitedHealth Group Inc,UNH,7.1523%
Merck & Co Inc,MRK,5.6563%
Pfizer Inc,PFE,5.498%
Medtronic PLC,MDT,4.163%
Bristol-Myers Squibb Co,BMY,4.0547%
Abbott Laboratories,ABT,4.0543%
Abbvie Inc,ABBV,3.5632%
Amgen Inc,AMGN,3.5568%
Thermo Fisher Scientific Inc,TMO,3.413%
Eli Lilly and Co,LLY,3.2313%
Danaher Corp,DHR,2.7042%
CVS Health Corp,CVS,2.4308%
Gilead Sciences Inc,GILD,2.2753%
Cigna Corp,CI,2.0358%
Anthem Inc,ANTM,1.8301%
Stryker Corp,SYK,1.8055%
Becton Dickinson and Co,BDX,1.7446%
Intuitive Surgical Inc,ISRG,1.7433%
Zoetis Inc,ZTS,1.7283%
Allergan plc,AGN,1.6906%
Vertex Pharmaceuticals Inc,VRTX,1.6123%
Biogen Inc,BIIB,1.5976%
Boston Scientific Corp,BSX,1.5355%
Edwards Lifesciences Corp,EW,1.2677%
Humana Inc,HUM,1.2206%
Baxter International Inc,BAX,1.2168%
Illumina Inc,ILMN,1.1311%
HCA Healthcare Inc,HCA,1.0084%
Centene Corp,CNC,0.9624%
Zimmer Biomet Holdings Inc,ZBH,0.8409%
Regeneron Pharmaceuticals Inc,REGN,0.7931%
IQVIA Holdings Inc,IQV,0.7405%
McKesson Corp,MCK,0.7343%
Agilent Technologies Inc,A,0.6716%
Cerner Corp,CERN,0.6465%
Resmed Inc,RMD,0.6423%
IDEXX Laboratories Inc,IDXX,0.6215%
Alexion Pharmaceuticals Inc,ALXN,0.5817%
Mettler-Toledo International Inc,MTD,0.5042%
Align Technology Inc,ALGN,0.482%
Laboratory Corporation of America Holdings,LH,0.4636%
Cooper Companies Inc,COO,0.4528%
Teleflex Inc,TFX,0.4514%
Cardinal Health Inc,CAH,0.4443%
Quest Diagnostics Inc,DGX,0.3916%
Hologic Inc,HOLX,0.3726%
Waters Corp,WAT,0.3671%
AmerisourceBergen Corp,ABC,0.3605%
Incyte Corp,INCY,0.3454%
Steris plc,STE,0.3383%
Varian Medical Systems Inc,VAR,0.3335%
Dentsply Sirona Inc,XRAY,0.3314%
Mylan NV,MYL,0.3067%
Universal Health Services Inc,UHS,0.2896%
PerkinElmer Inc,PKI,0.2692%
Henry Schein Inc,HSIC,0.2676%
Abiomed Inc,ABMD,0.2213%
Perrigo Company PLC,PRGO,0.2128%
DaVita Inc,DVA,0.191%
Cash Component,CASH,0.01%
