XOP: SPDR S&P Oil & Gas Exploration & Production ETF
Inception Date: 2006-06-19
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2574540
Shares Outstanding: 134100000
Expense Ratio: 0.35%
Tracks This Index: S&P Oil & Gas Exploration & Production Select Industry Index
ETFdb.com Category: Energy Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XOP


Holding,Symbol,Weighting
Apache Corp,APA,3.678%
Occidental Petroleum Corp,OXY,3.1027%
WPX Energy Inc,WPX,3.0945%
Concho Resources Inc,CXO,2.8095%
Parsley Energy Inc,PE,2.7748%
Pioneer Natural Resources Co,PXD,2.7566%
EOG Resources Inc,EOG,2.7496%
Devon Energy Corp,DVN,2.7327%
Marathon Petroleum Corp,MPC,2.6094%
ConocoPhillips,COP,2.5856%
Chevron Corp,CVX,2.5762%
Marathon Oil Corp,MRO,2.5661%
PBF Energy Inc,PBF,2.5529%
Cabot Oil & Gas Corp,COG,2.5408%
Noble Energy Inc,NBL,2.5043%
Valero Energy Corp,VLO,2.5039%
Cimarex Energy Co,XEC,2.503%
Hess Corp,HES,2.4839%
Exxon Mobil Corp,XOM,2.4782%
Murphy Oil Corp,MUR,2.449%
Diamondback Energy Inc,FANG,2.4362%
HollyFrontier Corp,HFC,2.421%
Continental Resources Inc,CLR,2.2497%
Phillips 66,PSX,2.2302%
PDC Energy Inc,PDCE,2.0763%
Range Resources Corp,RRC,2.0758%
Delek US Holdings Inc,DK,2.0622%
Southwestern Energy Co,SWN,2.0385%
Callon Petroleum Co,CPE,1.9792%
SM Energy Co,SM,1.9404%
Whiting Petroleum Corp,WLL,1.9387%
Matador Resources Co,MTDR,1.9011%
Oasis Petroleum Inc,OAS,1.824%
Chesapeake Energy Corp,CHK,1.8133%
Kosmos Energy Ltd,KOS,1.7629%
CNX Resources Corp,CNX,1.6712%
EQT Corp,EQT,1.5923%
Antero Resources Corp,AR,1.1906%
California Resources Corp,CRC,1.077%
QEP Resources Inc,QEP,1.0559%
Centennial Resource Development Inc,CDEV,1.0176%
CVR Energy Inc,CVI,1.0103%
Renewable Energy Group Inc,REGI,0.8223%
World Fuel Services Corp,INT,0.7871%
Magnolia Oil & Gas Corp,MGY,0.5953%
Northern Oil and Gas Inc,NOG,0.5561%
Denbury Resources Inc,DNR,0.5474%
W&T Offshore Inc,WTI,0.5401%
Laredo Petroleum Inc,LPI,0.4346%
Tellurian Inc,TELL,0.4273%
Gulfport Energy Corp,GPOR,0.39%
Green Plains Inc,GPRE,0.3633%
Par Pacific Holdings Inc,PARR,0.3207%
Bonanza Creek Energy Inc,BCEI,0.2203%
Penn Virginia Corp,PVAC,0.202%
Talos Energy Inc,TALO,0.2019%
REX American Resources Corp,REX,0.1479%
Cash Component,CASH,0.0276%
