FTEC: Fidelity MSCI Information Technology Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	2623571
Shares Outstanding: 45200000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Information Technology Index
ETFdb.com Category: Technology Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FTEC


Holding,Symbol,Weighting
Apple Inc,AAPL,19.0742%
Microsoft Corp,MSFT,18.1458%
Visa Inc,V,4.5735%
Mastercard Inc,MA,3.5761%
Intel Corp,INTC,3.5054%
Cisco Systems Inc,CSCO,2.806%
Adobe Inc,ADBE,2.606%
NVIDIA Corp,NVDA,2.1716%
Salesforce.Com Inc,CRM,2.037%
PayPal Holdings Inc,PYPL,1.8332%
Oracle Corp,ORCL,1.8166%
Accenture PLC,ACN,1.7636%
Texas Instruments Inc,TXN,1.6655%
International Business Machines Corp,IBM,1.5589%
Broadcom Inc,AVGO,1.3531%
Qualcomm Inc,QCOM,1.301%
Fidelity National Information Services Inc,FIS,1.1346%
Intuit Inc,INTU,0.9817%
ServiceNow Inc,NOW,0.9183%
Automatic Data Processing Inc,ADP,0.8895%
Fiserv Inc,FISV,0.8554%
Advanced Micro Devices Inc,AMD,0.7394%
Micron Technology Inc,MU,0.7038%
Global Payments Inc,GPN,0.6879%
Applied Materials Inc,AMAT,0.6507%
Analog Devices Inc,ADI,0.5818%
Autodesk Inc,ADSK,0.5706%
Cash Component,CASH,0.5706%
Lam Research Corp,LRCX,0.4904%
Motorola Solutions Inc,MSI,0.4487%
Cognizant Technology Solutions Corp,CTSH,0.4452%
HP Inc,HPQ,0.374%
Workday Inc,WDAY,0.3624%
Amphenol Corp,APH,0.3577%
KLA Corp,KLAC,0.351%
Xilinx Inc,XLNX,0.3301%
Paychex Inc,PAYX,0.3259%
ANSYS Inc,ANSS,0.3199%
TE Connectivity Ltd,TEL,0.3198%
Synopsys Inc,SNPS,0.301%
Verisign Inc,VRSN,0.3005%
Fleetcor Technologies Inc,FLT,0.293%
Splunk Inc,SPLK,0.2889%
Corning Inc,GLW,0.2865%
Citrix Systems Inc,CTXS,0.2849%
Keysight Technologies Inc,KEYS,0.2814%
Cadence Design Systems Inc,CDNS,0.2726%
Microchip Technology Inc,MCHP,0.2524%
Akamai Technologies Inc,AKAM,0.251%
Square Inc,SQ,0.2425%
RingCentral Inc,RNG,0.2412%
Palo Alto Networks Inc,PANW,0.2348%
Skyworks Solutions Inc,SWKS,0.229%
CDW Corp,CDW,0.222%
Fortinet Inc,FTNT,0.2196%
Maxim Integrated Products Inc,MXIM,0.216%
Okta Inc,OKTA,0.212%
Marvell Technology Group Ltd,MRVL,0.209%
Hewlett Packard Enterprise Co,HPE,0.2074%
Jack Henry & Associates Inc,JKHY,0.1996%
Broadridge Financial Solutions Inc,BR,0.1867%
NortonLifeLock Inc,NLOK,0.1837%
Leidos Holdings Inc,LDOS,0.1778%
Seagate Technology PLC,STX,0.1764%
Tyler Technologies Inc,TYL,0.1729%
Zebra Technologies Corp,ZBRA,0.1721%
Twilio Inc,TWLO,0.1705%
Paycom Software Inc,PAYC,0.1701%
Arista Networks Inc,ANET,0.1655%
Western Digital Corp,WDC,0.163%
Epam Systems Inc,EPAM,0.1594%
Coupa Software Inc,COUP,0.157%
Booz Allen Hamilton Holding Corp,BAH,0.1569%
NetApp Inc,NTAP,0.1541%
SS&C Technologies Holdings Inc,SSNC,0.1507%
Qorvo Inc,QRVO,0.1501%
Black Knight Inc,BKI,0.1483%
Western Union Co,WU,0.148%
Gartner Inc,IT,0.1441%
Cypress Semiconductor Corp,CY,0.1425%
GoDaddy Inc,GDDY,0.1419%
VMware Inc,VMW,0.1415%
DocuSign Inc,DOCU,0.1385%
Teradyne Inc,TER,0.1376%
Cognex Corp,CGNX,0.1319%
Guidewire Software Inc,GWRE,0.1229%
Zendesk Inc,ZEN,0.1221%
Fair Isaac Corp,FICO,0.1181%
Trimble Inc,TRMB,0.1108%
Trade Desk Inc,TTD,0.1096%
Monolithic Power Systems Inc,MPWR,0.1088%
Juniper Networks Inc,JNPR,0.1064%
F5 Networks Inc,FFIV,0.1016%
MongoDB Inc,MDB,0.101%
Ciena Corp,CIEN,0.1008%
Aspen Technology Inc,AZPN,0.1005%
PTC Inc,PTC,0.0955%
Proofpoint Inc,PFPT,0.0954%
Entegris Inc,ENTG,0.0954%
Dell Technologies Inc,DELL,0.0903%
Mellanox Technologies Ltd,MLNX,0.0893%
Lumentum Holdings Inc,LITE,0.0881%
Alteryx Inc,AYX,0.088%
Universal Display Corp,OLED,0.0866%
Ceridian HCM Holding Inc,CDAY,0.0806%
HubSpot Inc,HUBS,0.0806%
Nuance Communications Inc,NUAN,0.0782%
WEX Inc,WEX,0.0761%
ON Semiconductor Corp,ON,0.0757%
Dropbox Inc,DBX,0.0749%
CACI International Inc,CACI,0.0748%
FLIR Systems Inc,FLIR,0.0736%
Euronet Worldwide Inc,EEFT,0.0721%
Cree Inc,CREE,0.0716%
