IBB: iShares Nasdaq Biotechnology ETF
Inception Date: 2001-02-05
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	6419303
Shares Outstanding: 63500000
Expense Ratio: 0.47%
Tracks This Index: NASDAQ Biotechnology Index
ETFdb.com Category: Health & Biotech Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBB


Holding,Symbol,Weighting
Gilead Sciences Inc,GILD,11.1378%
Amgen Inc,AMGN,8.0734%
Vertex Pharmaceuticals Inc,VRTX,7.9492%
Biogen Inc,BIIB,7.4485%
Regeneron Pharmaceuticals Inc,REGN,6.328%
Illumina Inc,ILMN,4.7361%
Alexion Pharmaceuticals Inc,ALXN,2.683%
Seattle Genetics Inc,SGEN,2.4888%
Incyte Corp,INCY,2.0802%
Biomarin Pharmaceutical Inc,BMRN,1.9374%
Alnylam Pharmaceuticals Inc,ALNY,1.7155%
Moderna Inc,MRNA,1.368%
Sanofi SA,SNY,1.2312%
Mylan NV,MYL,1.1144%
Neurocrine Biosciences Inc,NBIX,1.0564%
Sarepta Therapeutics Inc,SRPT,0.9441%
Ionis Pharmaceuticals Inc,IONS,0.941%
Guardant Health Inc,GH,0.94%
Bio-Techne Corp,TECH,0.921%
Novocure Ltd,NVCR,0.918%
Beigene Ltd,BGNE,0.8716%
Jazz Pharmaceuticals PLC,JAZZ,0.8605%
ACADIA Pharmaceuticals Inc,ACAD,0.7774%
Horizon Therapeutics PLC,HZNP,0.7147%
Ascendis Pharma A/S,ASND,0.6725%
Exelixis Inc,EXEL,0.6693%
Forty Seven Inc,FTSV,0.6255%
PRA Health Sciences Inc,PRAH,0.6149%
China Biologic Products Holdings Inc,CBPO,0.6036%
Amarin Corporation PLC,AMRN,0.5933%
Acceleron Pharma Inc,XLRN,0.5751%
Syneos Health Inc,SYNH,0.5572%
Reata Pharmaceuticals Inc,RETA,0.557%
United Therapeutics Corp,UTHR,0.5328%
Iovance Biotherapeutics Inc,IOVA,0.4579%
Nektar Therapeutics,NKTR,0.4396%
Allakos Inc,ALLK,0.4191%
Blueprint Medicines Corp,BPMC,0.4168%
Mirati Therapeutics Inc,MRTX,0.4141%
Adaptive Biotechnologies Corp,ADPT,0.4071%
Global Blood Therapeutics Inc,GBT,0.4002%
Momenta Pharmaceuticals Inc,MNTA,0.3864%
argenx SE,ARGX,0.379%
bluebird bio Inc,BLUE,0.373%
BridgeBio Pharma Inc,BBIO,0.3678%
Arrowhead Pharmaceuticals Inc,ARWR,0.3613%
Allogene Therapeutics Inc,ALLO,0.3591%
PTC Therapeutics Inc,PTCT,0.352%
CRISPR Therapeutics AG,CRSP,0.3415%
Medpace Holdings Inc,MEDP,0.3397%
GW Pharmaceuticals PLC,GWPH,0.3382%
FibroGen Inc,FGEN,0.3321%
Alkermes Plc,ALKS,0.3262%
Agios Pharmaceuticals Inc,AGIO,0.3251%
Grifols SA,GRFS,0.322%
Ultragenyx Pharmaceutical Inc,RARE,0.3208%
Alector Inc,ALEC,0.3201%
Halozyme Therapeutics Inc,HALO,0.317%
MyoKardia Inc,MYOK,0.3151%
Amicus Therapeutics Inc,FOLD,0.3127%
Ra Pharmaceuticals Inc,RARX,0.3097%
ChemoCentryx Inc,CCXI,0.2961%
Immunomedics Inc,IMMU,0.2892%
Deciphera Pharmaceuticals Inc,DCPH,0.2849%
Arena Pharmaceuticals Inc,ARNA,0.2816%
Uniqure NV,QURE,0.2775%
Kodiak Sciences Inc,KOD,0.2763%
Intercept Pharmaceuticals Inc,ICPT,0.2716%
Fate Therapeutics Inc,FATE,0.2686%
Zai Lab Ltd,ZLAB,0.268%
Cash Component,CASH,0.2524%
Apellis Pharmaceuticals Inc,APLS,0.2488%
Denali Therapeutics Inc,DNLI,0.2485%
Karuna Therapeutics Inc,KRTX,0.244%
Eidos Therapeutics Inc,EIDX,0.2388%
Arvinas Inc,ARVN,0.233%
Axsome Therapeutics Inc,AXSM,0.2328%
Xencor Inc,XNCR,0.2307%
Epizyme Inc,EPZM,0.2274%
Principia Biopharma Inc,PRNB,0.2194%
Ironwood Pharmaceuticals Inc,IRWD,0.2145%
SAGE Therapeutics Inc,SAGE,0.2122%
Ligand Pharmaceuticals Inc,LGND,0.2069%
Pacira Biosciences Inc,PCRX,0.1972%
Insmed Inc,INSM,0.1959%
Turning Point Therapeutics Inc,TPTX,0.1853%
Aurinia Pharmaceuticals Inc,AUPH,0.1791%
Theravance Biopharma Inc,TBPH,0.1752%
Akcea Therapeutics Inc,AKCA,0.1741%
Karyopharm Therapeutics Inc,KPTI,0.1739%
Luminex Corp,LMNX,0.1729%
Galapagos NV,GLPG,0.1688%
Dicerna Pharmaceuticals Inc,DRNA,0.1575%
Tricida Inc,TCDA,0.1517%
Editas Medicine Inc,EDIT,0.1491%
Esperion Therapeutics Inc,ESPR,0.1468%
OPKO Health Inc,OPK,0.1418%
Regenxbio Inc,RGNX,0.1372%
Veracyte Inc,VCYT,0.1352%
Enanta Pharmaceuticals Inc,ENTA,0.1338%
Coherus BioSciences Inc,CHRS,0.1313%
Myriad Genetics Inc,MYGN,0.1312%
Innoviva Inc,INVA,0.1286%
Supernus Pharmaceuticals Inc,SUPN,0.1272%
Intra-Cellular Therapies Inc,ITCI,0.1223%
Zogenix Inc,ZGNX,0.1191%
Aimmune Therapeutics Inc,AIMT,0.112%
NGM Biopharmaceuticals Inc,NGM,0.1096%
Twist Bioscience Corp,TWST,0.1078%
Stoke Therapeutics Inc,STOK,0.107%
Sangamo Therapeutics Inc,SGMO,0.103%
Adverum Biotechnologies Inc,ADVM,0.1007%
NanoString Technologies Inc,NSTG,0.0988%
Hutchison China MediTech Ltd,HCM,0.0967%
Akebia Therapeutics Inc,AKBA,0.0956%
Rocket Pharmaceuticals Inc,RCKT,0.0941%
Revance Therapeutics Inc,RVNC,0.0935%
Rhythm Pharmaceuticals Inc,RYTM,0.0933%
Inovio Pharmaceuticals Inc,INO,0.0933%
Endo International PLC,ENDP,0.0924%
"Y-mAbs Therapeutics, Inc",YMAB,0.0917%
Amphastar Pharmaceuticals Inc,AMPH,0.0909%
Radius Health Inc,RDUS,0.0899%
Homology Medicines Inc,FIXX,0.0891%
Intellia Therapeutics Inc,NTLA,0.0887%
Aerie Pharmaceuticals Inc,AERI,0.0886%
Omeros Corp,OMER,0.0883%
Axonics Modulation Technologies Inc,AXNX,0.0877%
Gossamer Bio Inc,GOSS,0.0871%
Portola Pharmaceuticals Inc,PTLA,0.0817%
Genmab A/S,GMAB,0.081%
Translate Bio Inc,TBIO,0.0789%
Athenex Inc,ATNX,0.0784%
Eagle Pharmaceuticals Inc,EGRX,0.0782%
Cytokinetics Inc,CYTK,0.0773%
ANI Pharmaceuticals Inc,ANIP,0.0737%
PetIQ Inc,PETQ,0.0724%
Cerus Corp,CERS,0.0722%
SIGA Technologies Inc,SIGA,0.072%
AVROBIO Inc,AVRO,0.0719%
Collegium Pharmaceutical Inc,COLL,0.0716%
Cara Therapeutics Inc,CARA,0.0711%
WAVE Life Sciences Ltd,WVE,0.0701%
Retrophin Inc,RTRX,0.0695%
Scholar Rock Holding Corp,SRRK,0.0657%
Akero Therapeutics Inc,AKRO,0.0648%
Ardelyx Inc,ARDX,0.0644%
Quanterix Corp,QTRX,0.0639%
Assembly Biosciences Inc,ASMB,0.0639%
Vanda Pharmaceuticals Inc,VNDA,0.0636%
Atara Biotherapeutics Inc,ATRA,0.0627%
Compugen Ltd,CGEN,0.0621%
XBiotech Inc,XBIT,0.0615%
Prevail Therapeutics Inc,PRVL,0.061%
Castle Biosciences Inc,CSTL,0.0606%
Pacific Biosciences of California Inc,PACB,0.0602%
Precigen Inc,PGEN,0.0599%
ImmunoGen Inc,IMGN,0.0584%
G1 Therapeutics Inc,GTHX,0.0583%
MeiraGTx Holdings PLC,MGTX,0.0554%
AnaptysBio Inc,ANAB,0.0534%
Prothena Corporation PLC,PRTA,0.0501%
Kura Oncology Inc,KURA,0.0501%
Rubius Therapeutics Inc,RUBY,0.0487%
AC Immune SA,ACIU,0.046%
PDL BioPharma Inc,PDLI,0.0458%
