ITA: iShares U.S. Aerospace & Defense ETF
Inception Date: 2006-05-05
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	2625236
Shares Outstanding: 20900000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Aerospace & Defense Index
ETFdb.com Category: Industrials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ITA


Holding,Symbol,Weighting
United Technologies Corp,UTX,17.0797%
Boeing Co,BA,11.3957%
Lockheed Martin Corp,LMT,8.7771%
Northrop Grumman Corp,NOC,6.9511%
L3Harris Technologies Inc,LHX,6.587%
General Dynamics Corp,GD,5.3751%
Raytheon Co,RTN,4.5478%
TransDigm Group Inc,TDG,4.3789%
Teledyne Technologies Inc,TDY,4.2501%
Huntington Ingalls Industries Inc,HII,3.5701%
Arconic Inc,ARNC,3.1625%
Textron Inc,TXT,2.9923%
HEICO Corp,HEI.A,2.292%
BWX Technologies Inc,BWXT,2.0744%
Mercury Systems Inc,MRCY,1.9896%
Axon Enterprise Inc,AAXN,1.8954%
Curtiss-Wright Corp,CW,1.8157%
Aerojet Rocketdyne Holdings Inc,AJRD,1.5203%
Hexcel Corp,HXL,1.4147%
HEICO Corp,HEI,1.38%
RBC Bearings Inc,ROLL,1.2463%
Spirit AeroSystems Holdings Inc,SPR,1.019%
Moog Inc,MOG.A,0.6858%
AeroVironment Inc,AVAV,0.6372%
Cubic Corp,CUB,0.6202%
Kratos Defense and Security Solutions Inc,KTOS,0.5095%
Sturm Ruger & Company Inc,RGR,0.4025%
Parsons Corp,PSN,0.265%
Cash Component,CASH,0.2563%
American Outdoor Brands Corp,AOBC,0.2365%
AAR Corp,AIR,0.2177%
National Presto Industries Inc,NPK,0.2036%
Triumph Group Inc,TGI,0.13%
Astronics Corp,ATRO,0.1209%
