IXN: iShares Global Tech ETF
Inception Date: 2001-11-12
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	2525941
Shares Outstanding: 15150000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Information Technology Sector Index
ETFdb.com Category: Technology Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IXN


Holding,Symbol,Weighting
Microsoft Corp,MSFT,17.4855%
Apple Inc,AAPL,16.42%
Visa Inc,V,4.1859%
Mastercard Inc,MA,3.2386%
Intel Corp,INTC,3.2096%
Samsung Electronics Co Ltd,005930,2.8155%
Cisco Systems Inc,CSCO,2.5693%
Taiwan Semiconductor Manufacturing Co Ltd,2330,2.475%
Adobe Inc,ADBE,2.3928%
NVIDIA Corp,NVDA,2.0933%
Salesforce.Com Inc,CRM,1.9867%
PayPal Holdings Inc,PYPL,1.7668%
SAP SE,SAP,1.6427%
Accenture PLC,ACN,1.6166%
Oracle Corp,ORCL,1.5682%
Texas Instruments Inc,TXN,1.5249%
ASML Holding NV,ASML,1.4693%
International Business Machines Corp,IBM,1.4272%
Broadcom Inc,AVGO,1.2388%
Qualcomm Inc,QCOM,1.192%
Fidelity National Information Services Inc,FIS,1.0381%
Intuit Inc,INTU,0.9038%
Keyence Corp,6861,0.8574%
ServiceNow Inc,NOW,0.8411%
Automatic Data Processing Inc,ADP,0.8164%
Fiserv Inc,FISV,0.7757%
Advanced Micro Devices Inc,AMD,0.7475%
Micron Technology Inc,MU,0.6449%
Global Payments Inc,GPN,0.6285%
Applied Materials Inc,AMAT,0.597%
Shopify Inc,SHOP,0.5533%
Analog Devices Inc,ADI,0.5343%
Autodesk Inc,ADSK,0.5277%
SK Hynix Inc,000660,0.4745%
Lam Research Corp,LRCX,0.4539%
Murata Manufacturing Co Ltd,6981,0.4516%
Hon Hai Precision Industry Co Ltd,2317,0.4371%
Motorola Solutions Inc,MSI,0.4123%
Cognizant Technology Solutions Corp,CTSH,0.4088%
Tokyo Electron Ltd,8035,0.3956%
Samsung Electronics Co Ltd,005935,0.3729%
Hitachi Ltd,6501,0.3602%
Canon Inc,7751,0.3602%
HP Inc,HPQ,0.3413%
Amphenol Corp,APH,0.3289%
Cash Component,CASH,0.3229%
KLA Corp,KLAC,0.322%
Amadeus IT Group SA,AMS,0.3186%
Xilinx Inc,XLNX,0.3045%
Telefonaktiebolaget LM Ericsson,ERIC.B,0.3041%
ANSYS Inc,ANSS,0.3029%
Paychex Inc,PAYX,0.2985%
Adyen NV,ADYEN,0.2948%
TE Connectivity Ltd,TEL,0.2923%
Fujifilm Holdings Corp,4901,0.2874%
Kyocera Corp,6971,0.2773%
Synopsys Inc,SNPS,0.2768%
Verisign Inc,VRSN,0.272%
Constellation Software Inc,CSU,0.2718%
Fleetcor Technologies Inc,FLT,0.2691%
Dassault Systemes SE,DSY,0.2644%
Corning Inc,GLW,0.2623%
Xiaomi Corp,1810,0.2603%
Keysight Technologies Inc,KEYS,0.2593%
Cadence Design Systems Inc,CDNS,0.2501%
Fujitsu Ltd,6702,0.2469%
Citrix Systems Inc,CTXS,0.2449%
Infineon Technologies AG,IFX,0.2377%
Microchip Technology Inc,MCHP,0.2318%
Nokia Oyj,NOKIA,0.2314%
Akamai Technologies Inc,AKAM,0.2306%
Skyworks Solutions Inc,SWKS,0.2134%
MediaTek Inc,2454,0.2111%
CDW Corp,CDW,0.2054%
Maxim Integrated Products Inc,MXIM,0.1996%
Fortinet Inc,FTNT,0.1966%
CGI Inc,GIB.A,0.1961%
Hewlett Packard Enterprise Co,HPE,0.1868%
Jack Henry & Associates Inc,JKHY,0.1825%
LARGAN Precision Co Ltd,3008,0.1816%
Broadridge Financial Solutions Inc,BR,0.1717%
Hexagon AB,HEXA.B,0.1706%
STMicroelectronics NV,STM,0.17%
Wirecard AG,WDI,0.1645%
Leidos Holdings Inc,LDOS,0.1622%
Capgemini SE,CAP,0.16%
Zebra Technologies Corp,ZBRA,0.1587%
Paycom Software Inc,PAYC,0.1558%
Arista Networks Inc,ANET,0.1555%
Seagate Technology PLC,STX,0.1555%
NortonLifeLock Inc,NLOK,0.1548%
Western Digital Corp,WDC,0.1492%
Omron Corp,6645,0.148%
Edenred SA,EDEN,0.1435%
Open Text Corp,OTEX,0.1397%
NetApp Inc,NTAP,0.1393%
Qorvo Inc,QRVO,0.1378%
Western Union Co,WU,0.1368%
Gartner Inc,IT,0.1348%
NEC Corp,6701,0.1329%
TDK Corp,6762,0.1311%
Halma PLC,HLMA,0.1303%
Sage Group PLC,SGE,0.12%
Logitech International SA,LOGN,0.1102%
Temenos AG,TEMN,0.1092%
Juniper Networks Inc,JNPR,0.0977%
F5 Networks Inc,FFIV,0.0955%
NTT Data Corp,9613,0.0824%
Ricoh Co Ltd,7752,0.078%
Atos SE,ATO,0.0745%
Rohm Co Ltd,6963,0.0729%
FLIR Systems Inc,FLIR,0.0684%
IPG Photonics Corp,IPGP,0.0634%
Xerox Holdings Corp,XRX,0.0537%
DXC Technology Co,DXC,0.0513%
PagSeguro Digital Ltd,PAGS,0.0484%
Computershare Ltd,CPU,0.0406%
Micro Focus International PLC,MCRO,0.0245%
Alliance Data Systems Corp,ADS,0.0168%
