XLK: Technology Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	21792360
Shares Outstanding: 291306000
Expense Ratio: 0.13%
Tracks This Index: Technology Select Sector Index
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLK


Holding,Symbol,Weighting
Microsoft Corp,MSFT,21.545%
Apple Inc,AAPL,20.2279%
Visa Inc,V,5.1571%
Mastercard Inc,MA,3.9898%
Intel Corp,INTC,3.9548%
Cisco Systems Inc,CSCO,3.1656%
Adobe Inc,ADBE,2.9432%
NVIDIA Corp,NVDA,2.5792%
Salesforce.Com Inc,CRM,2.4496%
PayPal Holdings Inc,PYPL,2.1766%
Accenture PLC,ACN,1.9916%
Oracle Corp,ORCL,1.9327%
Texas Instruments Inc,TXN,1.8791%
International Business Machines Corp,IBM,1.7598%
Broadcom Inc,AVGO,1.5284%
Qualcomm Inc,QCOM,1.4684%
Fidelity National Information Services Inc,FIS,1.28%
Intuit Inc,INTU,1.1139%
ServiceNow Inc,NOW,1.0392%
Automatic Data Processing Inc,ADP,1.0041%
Fiserv Inc,FISV,0.9551%
Advanced Micro Devices Inc,AMD,0.9219%
Micron Technology Inc,MU,0.7946%
Global Payments Inc,GPN,0.7746%
Applied Materials Inc,AMAT,0.7349%
Analog Devices Inc,ADI,0.6592%
Autodesk Inc,ADSK,0.6503%
Lam Research Corp,LRCX,0.5578%
Motorola Solutions Inc,MSI,0.5083%
Cognizant Technology Solutions Corp,CTSH,0.5034%
HP Inc,HPQ,0.4223%
Amphenol Corp,APH,0.4026%
KLA Corp,KLAC,0.3984%
Xilinx Inc,XLNX,0.3752%
ANSYS Inc,ANSS,0.3724%
Paychex Inc,PAYX,0.3661%
TE Connectivity Ltd,TEL,0.362%
Synopsys Inc,SNPS,0.3411%
Verisign Inc,VRSN,0.3344%
Fleetcor Technologies Inc,FLT,0.3307%
Corning Inc,GLW,0.3236%
Keysight Technologies Inc,KEYS,0.3195%
Cadence Design Systems Inc,CDNS,0.3098%
Microchip Technology Inc,MCHP,0.2866%
Akamai Technologies Inc,AKAM,0.285%
Citrix Systems Inc,CTXS,0.2848%
Skyworks Solutions Inc,SWKS,0.2603%
CDW Corp,CDW,0.2501%
Maxim Integrated Products Inc,MXIM,0.2447%
Fortinet Inc,FTNT,0.2419%
Hewlett Packard Enterprise Co,HPE,0.2333%
Jack Henry & Associates Inc,JKHY,0.2264%
Broadridge Financial Solutions Inc,BR,0.2123%
Leidos Holdings Inc,LDOS,0.1989%
Zebra Technologies Corp,ZBRA,0.1979%
Seagate Technology PLC,STX,0.195%
NortonLifeLock Inc,NLOK,0.1907%
Arista Networks Inc,ANET,0.1902%
Paycom Software Inc,PAYC,0.1901%
Western Digital Corp,WDC,0.1843%
NetApp Inc,NTAP,0.1742%
Qorvo Inc,QRVO,0.1698%
Western Union Co,WU,0.1663%
Gartner Inc,IT,0.164%
Juniper Networks Inc,JNPR,0.1205%
F5 Networks Inc,FFIV,0.1183%
FLIR Systems Inc,FLIR,0.0831%
IPG Photonics Corp,IPGP,0.0764%
Xerox Holdings Corp,XRX,0.0644%
DXC Technology Co,DXC,0.063%
Alliance Data Systems Corp,ADS,0.0204%
Cash Component,CASH,0.0022%
