XLP: Consumer Staples Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	13456136
Shares Outstanding: 249872000
Expense Ratio: 0.13%
Tracks This Index: Consumer Staples Select Sector Index
ETFdb.com Category: Consumer Staples Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLP


Holding,Symbol,Weighting
Procter & Gamble Co,PG,16.8348%
Walmart Inc,WMT,10.3231%
PepsiCo Inc,PEP,9.9664%
Coca-Cola Co,KO,9.8244%
Costco Wholesale Corp,COST,5.475%
Mondelez International Inc,MDLZ,4.5629%
Philip Morris International Inc,PM,4.1078%
Colgate-Palmolive Co,CL,3.9803%
Altria Group Inc,MO,3.8731%
Kimberly-Clark Corp,KMB,3.0187%
Walgreens Boots Alliance Inc,WBA,2.5369%
Estee Lauder Companies Inc,EL,2.4297%
General Mills Inc,GIS,2.2607%
Kroger Co,KR,1.9104%
Clorox Co,CLX,1.6738%
Monster Beverage Corp,MNST,1.4444%
Constellation Brands Inc,STZ,1.4351%
Sysco Corp,SYY,1.319%
Archer Daniels Midland Co,ADM,1.2986%
Hershey Co,HSY,1.2574%
Church & Dwight Co Inc,CHD,1.1395%
Tyson Foods Inc,TSN,1.1154%
McCormick & Company Inc,MKC,1.0825%
Kellogg Co,K,1.0654%
Kraft Heinz Co,KHC,0.9673%
Hormel Foods Corp,HRL,0.9154%
Conagra Brands Inc,CAG,0.8921%
J M Smucker Co,SJM,0.8665%
Brown-Forman Corp,BF.B,0.7178%
Campbell Soup Co,CPB,0.5592%
Molson Coors Beverage Co,TAP,0.5034%
Lamb Weston Holdings Inc,LW,0.4967%
Coty Inc,COTY,0.0829%
Cash Component,CASH,0.0635%
