XLRE: Real Estate Select Sector SPDR Fund
Inception Date: 2015-10-07
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	2750738
Shares Outstanding: 95550000
Expense Ratio: 0.13%
Tracks This Index: Real Estate Select Sector Index
ETFdb.com Category: Real Estate
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLRE


Holding,Symbol,Weighting
American Tower Corp,AMT,15.6087%
Crown Castle International Corp,CCI,9.1652%
Prologis Inc,PLD,7.9564%
Equinix Inc,EQIX,7.9094%
Digital Realty Trust Inc,DLR,5.5524%
Public Storage,PSA,4.757%
SBA Communications Corp,SBAC,4.6493%
Equity Residential,EQR,3.5665%
AvalonBay Communities Inc,AVB,3.4519%
Simon Property Group Inc,SPG,2.8849%
Welltower Inc,WELL,2.8002%
Alexandria Real Estate Equities Inc,ARE,2.7328%
Realty Income Corp,O,2.6421%
Essex Property Trust Inc,ESS,2.3239%
CBRE Group Inc,CBRE,2.2276%
Boston Properties Inc,BXP,2.0747%
Weyerhaeuser Co,WY,2.0284%
Mid-America Apartment Communities Inc,MAA,1.9142%
Extra Space Storage Inc,EXR,1.8913%
Duke Realty Corp,DRE,1.7494%
Healthpeak Properties Inc,PEAK,1.6754%
UDR Inc,UDR,1.6676%
Ventas Inc,VTR,1.2562%
Host Hotels & Resorts Inc,HST,1.2518%
Iron Mountain Inc,IRM,1.2173%
Regency Centers Corp,REG,1.0612%
Federal Realty Investment Trust,FRT,0.892%
Vornado Realty Trust,VNO,0.8777%
Apartment Investment and Management Co,AIV,0.7822%
Kimco Realty Corp,KIM,0.7299%
SL Green Realty Corp,SLG,0.6875%
Cash Component,CASH,0.0148%
