XLU: Utilities Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	10071623
Shares Outstanding: 193374000
Expense Ratio: 0.13%
Tracks This Index: Utilities Select Sector Index
ETFdb.com Category: Utilities Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLU


Holding,Symbol,Weighting
Nextera Energy Inc,NEE,14.2272%
Dominion Energy Inc,D,8.3129%
Duke Energy Corp,DUK,7.6918%
Southern Co,SO,7.5035%
American Electric Power Company Inc,AEP,5.6104%
Exelon Corp,EXC,4.4293%
Xcel Energy Inc,XEL,4.3044%
WEC Energy Group Inc,WEC,4.0376%
Consolidated Edison Inc,ED,3.7705%
Sempra Energy,SRE,3.6787%
Eversource Energy,ES,3.5327%
American Water Works Company Inc,AWK,2.9441%
Public Service Enterprise Group Inc,PEG,2.8015%
FirstEnergy Corp,FE,2.753%
Ameren Corp,AEE,2.5035%
Edison International,EIX,2.4753%
Entergy Corp,ETR,2.369%
PPL Corp,PPL,2.347%
DTE Energy Co,DTE,2.322%
CMS Energy Corp,CMS,2.269%
Evergy Inc,EVRG,1.7773%
Atmos Energy Corp,ATO,1.6644%
Alliant Energy Corp,LNT,1.532%
NiSource Inc,NI,1.2352%
Pinnacle West Capital Corp,PNW,1.0868%
AES Corp,AES,1.0331%
CenterPoint Energy Inc,CNP,0.8698%
NRG Energy Inc,NRG,0.8535%
Cash Component,CASH,0.0645%
