XLY: Consumer Discretionary Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-03-19
Total Assets Under Management (in thousands):	9483357
Shares Outstanding: 104753000
Expense Ratio: 0.13%
Tracks This Index: Consumer Discretionary Select Sector Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLY


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,33.4922%
Home Depot Inc,HD,10.1522%
Mcdonald's Corp,MCD,6.5031%
Nike Inc,NKE,5.0628%
Starbucks Corp,SBUX,4.1894%
Lowe's Companies Inc,LOW,3.0933%
Target Corp,TGT,2.9418%
TJX Companies Inc,TJX,2.9177%
Booking Holdings Inc,BKNG,2.8691%
Dollar General Corp,DG,2.104%
Ross Stores Inc,ROST,1.3584%
eBay Inc,EBAY,1.3078%
General Motors Co,GM,1.2864%
O'Reilly Automotive Inc,ORLY,1.2708%
Autozone Inc,AZO,1.1331%
Yum! Brands Inc,YUM,1.0939%
VF Corp,VFC,1.0794%
Marriott International Inc,MAR,1.0478%
Ford Motor Co,F,1.0055%
Dollar Tree Inc,DLTR,0.9691%
Hilton Worldwide Holdings Inc,HLT,0.9461%
Chipotle Mexican Grill Inc,CMG,0.7936%
Las Vegas Sands Corp,LVS,0.7882%
Tiffany & Co,TIF,0.785%
Best Buy Co Inc,BBY,0.7197%
Aptiv PLC,APTV,0.5989%
Garmin Ltd,GRMN,0.5855%
D.R. Horton Inc,DHI,0.5814%
Genuine Parts Co,GPC,0.5399%
NVR Inc,NVR,0.5387%
Tractor Supply Co,TSCO,0.5232%
Lennar Corp,LEN,0.5112%
Ulta Beauty Inc,ULTA,0.4838%
Carmax Inc,KMX,0.4572%
Expedia Group Inc,EXPE,0.3905%
Hasbro Inc,HAS,0.3479%
Advance Auto Parts Inc,AAP,0.3438%
LKQ Corp,LKQ,0.3076%
Whirlpool Corp,WHR,0.301%
Darden Restaurants Inc,DRI,0.3008%
PulteGroup Inc,PHM,0.2874%
Newell Brands Inc,NWL,0.2735%
Wynn Resorts Ltd,WYNN,0.2603%
BorgWarner Inc,BWA,0.2506%
Carnival Corp,CCL,0.2313%
MGM Resorts International,MGM,0.2291%
Mohawk Industries Inc,MHK,0.2273%
Royal Caribbean Cruises Ltd,RCL,0.2223%
Tapestry Inc,TPR,0.2027%
Ralph Lauren Corp,RL,0.2025%
Leggett & Platt Inc,LEG,0.1987%
HanesBrands Inc,HBI,0.1921%
H & R Block Inc,HRB,0.1665%
Harley-Davidson Inc,HOG,0.1664%
Kohls Corp,KSS,0.1552%
PVH Corp,PVH,0.1453%
L Brands Inc,LB,0.144%
Nordstrom Inc,JWN,0.1314%
Macy's Inc,M,0.1194%
Norwegian Cruise Line Holdings Ltd,NCLH,0.1011%
Gap Inc,GPS,0.0991%
Under Armour Inc,UAA,0.0985%
Under Armour Inc,UA,0.0901%
Capri Holdings Ltd,CPRI,0.0877%
Cash Component,CASH,-0.0047%
