AMLP: Alerian MLP ETF
Inception Date: 2010-08-24
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	2822694
Shares Outstanding: 909262000
Expense Ratio: 0.85%
Tracks This Index: Alerian MLP Infrastructure Index
ETFdb.com Category: MLPs
Issuer: ALPS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/AMLP


Holding,Symbol,Weighting
Enterprise Products Partners LP,EPD,12.3979%
MPLX LP,MPLX,12.0105%
Magellan Midstream Partners LP,MMP,11.0963%
Phillips 66 Partners LP,PSXP,9.7167%
Energy Transfer LP,ET,9.4122%
Plains All American Pipeline LP,PAA,7.3737%
TC PipeLines LP,TCP,5.7073%
Shell Midstream Partners LP,SHLX,4.9551%
EQM Midstream Partners LP,EQM,4.1502%
Cheniere Energy Partners LP,CQP,4.0711%
Western Midstream Partners LP,WES,3.7641%
NuStar Energy LP,NS,3.7152%
Holly Energy Partners LP,HEP,2.3995%
DCP Midstream LP,DCP,1.7399%
Genesis Energy LP,GEL,1.6198%
NGL Energy Partners LP,NGL,1.3539%
CNX Midstream Partners LP,CNXM,1.3451%
EnLink Midstream LLC,ENLC,1.2641%
Crestwood Equity Partners LP,CEQP,0.9752%
Enable Midstream Partners LP,ENBL,0.737%
Noble Midstream Partners LP,NBLX,0.4511%
Cash Component,CASH,-0.2559%
