FDN: First Trust Dow Jones Internet Index
Inception Date: 2006-06-23
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	6044611
Shares Outstanding: 54000000
Expense Ratio: 0.52%
Tracks This Index: Dow Jones Internet Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FDN


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,11.3892%
Netflix Inc,NFLX,6.7588%
Facebook Inc,FB,6.5385%
Salesforce.Com Inc,CRM,5.1669%
Cisco Systems Inc,CSCO,5.0816%
PayPal Holdings Inc,PYPL,4.4238%
Alphabet Inc,GOOGL,4.2942%
Alphabet Inc,GOOG,4.2854%
Veeva Systems Inc,VEEV,2.8513%
Citrix Systems Inc,CTXS,2.7853%
Okta Inc,OKTA,2.7501%
Twitter Inc,TWTR,2.7456%
Akamai Technologies Inc,AKAM,2.7342%
eBay Inc,EBAY,2.6961%
DocuSign Inc,DOCU,2.5944%
Verisign Inc,VRSN,2.4984%
Arista Networks Inc,ANET,2.0217%
GoDaddy Inc,GDDY,1.8543%
Snap Inc,SNAP,1.845%
Ciena Corp,CIEN,1.7796%
Smartsheet Inc,SMAR,1.5632%
LogMeIn Inc,LOGM,1.5578%
Juniper Networks Inc,JNPR,1.5397%
Dropbox Inc,DBX,1.5352%
TD Ameritrade Holding Corp,AMTD,1.5135%
E*TRADE Financial Corp,ETFC,1.4349%
Etsy Inc,ETSY,1.3969%
HubSpot Inc,HUBS,1.3761%
Expedia Group Inc,EXPE,1.2947%
GrubHub Inc,GRUB,1.1531%
j2 Global Inc,JCOM,1.1059%
Box Inc,BOX,0.9294%
New Relic Inc,NEWR,0.9033%
8x8 Inc,EGHT,0.8997%
Pinterest Inc,PINS,0.8816%
Vonage Holdings Corp,VG,0.8628%
2U Inc,TWOU,0.7774%
CommScope Holding Company Inc,COMM,0.749%
Cornerstone OnDemand Inc,CSOD,0.6474%
Pluralsight Inc,PS,0.5465%
Groupon Inc,GRPN,0.2196%
Cash Component,CASH,0.0182%
