GDX: VanEck Vectors Gold Miners ETF
Inception Date: 2006-05-22
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	9533366
Shares Outstanding: 434402000
Expense Ratio: 0.53%
Tracks This Index: NYSE Arca Gold Miners Index
ETFdb.com Category: Materials
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GDX


Holding,Symbol,Weighting
Newmont Corporation,NEM,15.0961%
Barrick Gold Corp,GOLD,13.3034%
Franco-Nevada Corp,FNV,8.3372%
Wheaton Precious Metals Corp,WPM,5.6337%
Kirkland Lake Gold Ltd,KL,5.0157%
Newcrest Mining Ltd,NCM,4.501%
AngloGold Ashanti Ltd,AU,4.1349%
Agnico Eagle Mines Ltd,AEM,4.0135%
Royal Gold Inc,RGLD,3.2661%
Kinross Gold Corp,KGC,3.2015%
Northern Star Resources Ltd,NST,2.6822%
Gold Fields Ltd,GFI,2.4701%
Evolution Mining Ltd,EVN,2.3399%
B2Gold Corp,BTG,1.9896%
Pan American Silver Corp,PAAS,1.8546%
Yamana Gold Inc,AUY,1.7206%
Alamos Gold Inc,AGI,1.237%
Saracen Mineral Holdings Ltd,SAR,1.2341%
Zijin Mining Group Co Ltd,2899,1.1949%
Compania de Minas Buenaventura SAA,BVN,1.1333%
Centerra Gold Inc,CG,1.0502%
Centamin PLC,CEY,1.0%
Endeavour Mining Corp,EDV,0.9828%
SSR Mining Inc,SSRM,0.8835%
First Majestic Silver Corp,AG,0.7943%
Harmony Gold Mining Company Ltd,HMY,0.7644%
Osisko Gold Royalties Ltd,OR,0.7139%
Pretium Resources Inc,PVG,0.6807%
Iamgold Corp,IAG,0.6717%
Regis Resources Ltd,RRL,0.6529%
Hecla Mining Co,HL,0.5863%
Eldorado Gold Corp,EGO,0.576%
Zhaojin Mining Industry Co Ltd,1818,0.5746%
Sandstorm Gold Ltd,SAND,0.564%
Torex Gold Resources Inc,TXG,0.5129%
Coeur Mining Inc,CDE,0.504%
Alacer Gold Corp,ASR,0.5008%
St Barbara Ltd,SBM,0.4873%
Highland Gold Mining Ltd,HGM,0.4677%
Wesdome Gold Mines Ltd,WDO,0.4336%
Semafo Inc,SMF,0.4132%
Dundee Precious Metals Inc,DPM,0.365%
Silvercorp Metals Inc,SVM,0.3612%
Perseus Mining Ltd,PRU,0.3323%
OceanaGold Corp,OGC,0.3303%
Resolute Mining Ltd,RSG,0.228%
New Gold Inc,NGD,0.2113%
Cash Component,CASH,-0.0025%
