IGV: iShares Expanded Tech-Software Sector ET
Inception Date: 2001-07-10
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	2808586
Shares Outstanding: 14650000
Expense Ratio: 0.46%
Tracks This Index: S&P North American Technology-Software Index
ETFdb.com Category: Technology Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IGV


Holding,Symbol,Weighting
Adobe Inc,ADBE,10.1524%
Microsoft Corp,MSFT,8.9706%
Salesforce.Com Inc,CRM,8.9574%
Oracle Corp,ORCL,7.9109%
Intuit Inc,INTU,5.1747%
ServiceNow Inc,NOW,4.9159%
Activision Blizzard Inc,ATVI,4.4291%
Autodesk Inc,ADSK,3.2378%
Electronic Arts Inc,EA,2.8458%
Workday Inc,WDAY,2.1288%
ANSYS Inc,ANSS,1.8203%
Splunk Inc,SPLK,1.7874%
Synopsys Inc,SNPS,1.6649%
Cadence Design Systems Inc,CDNS,1.6002%
RingCentral Inc,RNG,1.4666%
Palo Alto Networks Inc,PANW,1.4617%
Citrix Systems Inc,CTXS,1.4273%
Take-Two Interactive Software Inc,TTWO,1.2689%
Fortinet Inc,FTNT,1.2449%
DocuSign Inc,DOCU,1.0654%
Tyler Technologies Inc,TYL,1.0573%
NortonLifeLock Inc,NLOK,0.9706%
Paycom Software Inc,PAYC,0.8961%
Coupa Software Inc,COUP,0.875%
Snap Inc,SNAP,0.854%
VMware Inc,VMW,0.8515%
Open Text Corp,OTEX,0.806%
SS&C Technologies Holdings Inc,SSNC,0.804%
Trade Desk Inc,TTD,0.7184%
Fair Isaac Corp,FICO,0.6833%
Guidewire Software Inc,GWRE,0.6412%
Zendesk Inc,ZEN,0.6383%
Zynga Inc,ZNGA,0.6045%
Proofpoint Inc,PFPT,0.5777%
Aspen Technology Inc,AZPN,0.5477%
PTC Inc,PTC,0.5172%
Ceridian HCM Holding Inc,CDAY,0.4807%
Alteryx Inc,AYX,0.461%
Avalara Inc,AVLR,0.4469%
HubSpot Inc,HUBS,0.4439%
Nuance Communications Inc,NUAN,0.4268%
Zoom Video Communications Inc,ZM,0.4188%
Five9 Inc,FIVN,0.4165%
Everbridge Inc,EVBG,0.4%
Smartsheet Inc,SMAR,0.3942%
LogMeIn Inc,LOGM,0.3925%
Zscaler Inc,ZS,0.3867%
CDK Global Inc,CDK,0.3794%
Dropbox Inc,DBX,0.377%
RealPage Inc,RP,0.3724%
j2 Global Inc,JCOM,0.2979%
Paylocity Holding Corp,PCTY,0.2906%
Manhattan Associates Inc,MANH,0.278%
Qualys Inc,QLYS,0.2656%
Verint Systems Inc,VRNT,0.262%
Envestnet Inc,ENV,0.2617%
ACI Worldwide Inc,ACIW,0.2537%
Descartes Systems Group Inc,DSGX,0.2505%
Anaplan Inc,PLAN,0.2483%
Blackbaud Inc,BLKB,0.2461%
Pegasystems Inc,PEGA,0.2451%
Nutanix Inc,NTNX,0.2355%
Q2 Holdings Inc,QTWO,0.232%
FireEye Inc,FEYE,0.2193%
Blackline Inc,BL,0.2167%
Teradata Corp,TDC,0.2085%
New Relic Inc,NEWR,0.2073%
Avaya Holdings Corp,AVYA,0.2053%
Dynatrace Inc,DT,0.2031%
Box Inc,BOX,0.1836%
BlackBerry Ltd,BB,0.1734%
Instructure Inc,INST,0.1723%
Varonis Systems Inc,VRNS,0.1711%
Cloudera Inc,CLDR,0.1711%
Rapid7 Inc,RPD,0.1705%
Elastic NV,ESTC,0.1625%
Commvault Systems Inc,CVLT,0.1481%
Alarm.com Holdings Inc,ALRM,0.142%
8x8 Inc,EGHT,0.1409%
Cornerstone OnDemand Inc,CSOD,0.1403%
Progress Software Corp,PRGS,0.1381%
SailPoint Technologies Holdings Inc,SAIL,0.1332%
AppFolio Inc,APPF,0.1324%
SPS Commerce Inc,SPSC,0.1318%
Bottomline Technologies (DE) Inc,EPAY,0.1309%
Workiva Inc,WK,0.121%
Appian Corp,APPN,0.114%
LivePerson Inc,LPSN,0.1138%
Pros Holdings Inc,PRO,0.1117%
2U Inc,TWOU,0.108%
ForeScout Technologies Inc,FSCT,0.1058%
SVMK Inc,SVMK,0.102%
Altair Engineering Inc,ALTR,0.0989%
Yext Inc,YEXT,0.0958%
MicroStrategy Inc,MSTR,0.0863%
SolarWinds Corp,SWI,0.0831%
Tenable Holdings Inc,TENB,0.0804%
TiVo Corp,TIVO,0.0783%
Cash Component,CASH,0.0739%
Pluralsight Inc,PS,0.0733%
Zuora Inc,ZUO,0.0567%
Ebix Inc,EBIX,0.0314%
Benefitfocus Inc,BNFT,0.0256%
