IYW: iShares U.S. Technology ETF
Inception Date: 2000-05-19
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	3702678
Shares Outstanding: 20350000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Technology Index
ETFdb.com Category: Technology Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYW


Holding,Symbol,Weighting
Microsoft Corp,MSFT,19.1897%
Apple Inc,AAPL,17.3357%
Alphabet Inc,GOOGL,5.1033%
Alphabet Inc,GOOG,5.1028%
Intel Corp,INTC,4.3664%
Facebook Inc,FB,4.0519%
Adobe Inc,ADBE,3.0116%
Cisco Systems Inc,CSCO,2.9716%
NVIDIA Corp,NVDA,2.6354%
Salesforce.Com Inc,CRM,2.5236%
Oracle Corp,ORCL,1.9383%
Texas Instruments Inc,TXN,1.8631%
International Business Machines Corp,IBM,1.6993%
Broadcom Inc,AVGO,1.5538%
Qualcomm Inc,QCOM,1.4456%
Intuit Inc,INTU,1.0262%
Advanced Micro Devices Inc,AMD,0.9861%
ServiceNow Inc,NOW,0.975%
Micron Technology Inc,MU,0.8573%
Applied Materials Inc,AMAT,0.7513%
Autodesk Inc,ADSK,0.6421%
Analog Devices Inc,ADI,0.635%
Lam Research Corp,LRCX,0.5665%
Cognizant Technology Solutions Corp,CTSH,0.4613%
Motorola Solutions Inc,MSI,0.4321%
Workday Inc,WDAY,0.4222%
HP Inc,HPQ,0.4111%
eBay Inc,EBAY,0.4078%
Twitter Inc,TWTR,0.3881%
KLA Corp,KLAC,0.3718%
Xilinx Inc,XLNX,0.3669%
ANSYS Inc,ANSS,0.3612%
Splunk Inc,SPLK,0.3547%
Veeva Systems Inc,VEEV,0.3519%
Cerner Corp,CERN,0.348%
Synopsys Inc,SNPS,0.3304%
Cadence Design Systems Inc,CDNS,0.3173%
Microchip Technology Inc,MCHP,0.3172%
Verisign Inc,VRSN,0.3165%
RingCentral Inc,RNG,0.2912%
Palo Alto Networks Inc,PANW,0.2902%
Citrix Systems Inc,CTXS,0.2831%
Akamai Technologies Inc,AKAM,0.2799%
Okta Inc,OKTA,0.27%
Skyworks Solutions Inc,SWKS,0.2585%
Marvell Technology Group Ltd,MRVL,0.256%
Maxim Integrated Products Inc,MXIM,0.2511%
CDW Corp,CDW,0.2494%
Fortinet Inc,FTNT,0.2469%
Cash Component,CASH,0.23%
Twilio Inc,TWLO,0.2264%
DocuSign Inc,DOCU,0.2108%
Tyler Technologies Inc,TYL,0.2102%
Western Digital Corp,WDC,0.2069%
Hewlett Packard Enterprise Co,HPE,0.2051%
IAC/InterActiveCorp,IAC,0.1941%
NortonLifeLock Inc,NLOK,0.192%
Leidos Holdings Inc,LDOS,0.1911%
Seagate Technology PLC,STX,0.1905%
Epam Systems Inc,EPAM,0.1875%
Garmin Ltd,GRMN,0.1861%
Paycom Software Inc,PAYC,0.1781%
Arista Networks Inc,ANET,0.1774%
