SCHH: Schwab US REIT ETF
Inception Date: 2011-01-13
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	3642406
Shares Outstanding: 134650000
Expense Ratio: 0.07%
Tracks This Index: Dow Jones U.S. Select REIT Index
ETFdb.com Category: Real Estate
Issuer: Charles Schwab
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SCHH


Holding,Symbol,Weighting
Prologis Inc,PLD,10.5324%
Digital Realty Trust Inc,DLR,6.2783%
Public Storage,PSA,5.2605%
Welltower Inc,WELL,4.1768%
Equity Residential,EQR,4.0199%
AvalonBay Communities Inc,AVB,3.7598%
Simon Property Group Inc,SPG,3.6047%
Essex Property Trust Inc,ESS,2.8967%
Boston Properties Inc,BXP,2.6562%
Extra Space Storage Inc,EXR,2.4934%
Duke Realty Corp,DRE,2.3775%
Mid-America Apartment Communities Inc,MAA,2.335%
Healthpeak Properties Inc,PEAK,2.3305%
Sun Communities Inc,SUI,2.2535%
UDR Inc,UDR,2.1766%
Invitation Homes Inc,INVH,2.0643%
Ventas Inc,VTR,2.0134%
Equity LifeStyle Properties Inc,ELS,1.9744%
Host Hotels & Resorts Inc,HST,1.7995%
Camden Property Trust,CPT,1.5425%
Regency Centers Corp,REG,1.3745%
Americold Realty Trust,COLD,1.3065%
Vornado Realty Trust,VNO,1.1429%
Kilroy Realty Corp,KRC,1.1197%
CubeSmart,CUBE,1.1022%
Federal Realty Investment Trust,FRT,1.0943%
American Homes 4 Rent,AMH,1.0883%
Rexford Industrial Realty Inc,REXR,0.9885%
Douglas Emmett Inc,DEI,0.9497%
Kimco Realty Corp,KIM,0.933%
Life Storage Inc,LSI,0.9055%
Apartment Investment and Management Co,AIV,0.8919%
Eastgroup Properties Inc,EGP,0.8735%
First Industrial Realty Trust Inc,FR,0.8632%
Equity Commonwealth,EQC,0.8259%
Cousins Properties Inc,CUZ,0.8217%
SL Green Realty Corp,SLG,0.7878%
Healthcare Realty Trust Inc,HR,0.7713%
Highwoods Properties Inc,HIW,0.6916%
QTS Realty Trust Inc,QTS,0.6861%
JBG SMITH Properties,JBGS,0.6828%
American Campus Communities Inc,ACC,0.6769%
Brixmor Property Group Inc,BRX,0.6132%
Hudson Pacific Properties Inc,HPP,0.6091%
Taubman Centers Inc,TCO,0.6042%
Cash Component,CASH,0.5913%
PS Business Parks Inc,PSB,0.551%
Corporate Office Properties Trust,OFC,0.457%
Piedmont Office Realty Trust Inc,PDM,0.4209%
Sunstone Hotel Investors Inc,SHO,0.4127%
National Storage Affiliates Trust,NSA,0.4083%
Washington Real Estate Investment Trust,WRE,0.3861%
Park Hotels & Resorts Inc,PK,0.3832%
Easterly Government Properties Inc,DEA,0.3728%
Weingarten Realty Investors,WRI,0.3705%
Brandywine Realty Trust,BDN,0.3239%
Paramount Group Inc,PGRE,0.3194%
Apple Hospitality REIT Inc,APLE,0.3147%
Ryman Hospitality Properties Inc,RHP,0.3122%
Mack-Cali Realty Corp,CLI,0.307%
Acadia Realty Trust,AKR,0.2877%
Empire State Realty Trust Inc,ESRT,0.2686%
Pebblebrook Hotel Trust,PEB,0.2664%
Office Properties Income Trust,OPI,0.25%
American Assets Trust Inc,AAT,0.2462%
LTC Properties Inc,LTC,0.2419%
Retail Properties of America Inc,RPAI,0.2374%
Xenia Hotels & Resorts Inc,XHR,0.2237%
Columbia Property Trust Inc,CXP,0.2218%
DiamondRock Hospitality Co,DRH,0.2135%
Urban Edge Properties,UE,0.204%
Retail Opportunity Investments Corp,ROIC,0.1949%
RLJ Lodging Trust,RLJ,0.1893%
Site Centers Corp,SITC,0.1866%
Kite Realty Group Trust,KRG,0.1827%
Universal Health Realty Income Trust,UHT,0.1817%
Macerich Co,MAC,0.1808%
Service Properties Trust,SVC,0.1761%
Independence Realty Trust Inc,IRT,0.1645%
Diversified Healthcare Trust,DHC,0.1491%
Tanger Factory Outlet Centers Inc,SKT,0.1271%
Front Yard Residential Corp,RESI,0.1154%
Franklin Street Properties Corp,FSP,0.1093%
RPT Realty,RPT,0.1084%
Summit Hotel Properties Inc,INN,0.0902%
Seritage Growth Properties,SRG,0.0579%
Chatham Lodging Trust,CLDT,0.0511%
Washington Prime Group Inc,WPG,0.0497%
Retail Value Inc,RVI,0.0405%
CorePoint Lodging Inc,CPLG,0.0298%
Hersha Hospitality Trust,HT,0.0229%
Ashford Hospitality Trust Inc,AHT,0.0174%
Pennsylvania Real Estate Investment Trust,PEI,0.0172%
CBL & Associates Properties Inc,CBL,0.015%
