VDC: Vanguard Consumer Staples ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	4064517
Shares Outstanding: 33036000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Consumer Staples 25/50 Index
ETFdb.com Category: Consumer Staples Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VDC


Holding,Symbol,Weighting
Procter & Gamble Co,PG,15.1327%
Walmart Inc,WMT,9.9873%
Coca-Cola Co,KO,9.4604%
PepsiCo Inc,PEP,9.0484%
Costco Wholesale Corp,COST,5.3193%
Philip Morris International Inc,PM,4.1166%
Mondelez International Inc,MDLZ,3.9875%
Altria Group Inc,MO,3.5178%
Colgate-Palmolive Co,CL,3.2262%
Kimberly-Clark Corp,KMB,2.564%
Walgreens Boots Alliance Inc,WBA,2.321%
Estee Lauder Companies Inc,EL,2.0983%
General Mills Inc,GIS,1.8323%
Kroger Co,KR,1.8239%
Clorox Co,CLX,1.4382%
Monster Beverage Corp,MNST,1.3572%
Sysco Corp,SYY,1.2311%
Constellation Brands Inc,STZ,1.1575%
Tyson Foods Inc,TSN,1.133%
Archer Daniels Midland Co,ADM,1.1149%
Hershey Co,HSY,1.0905%
Church & Dwight Co Inc,CHD,1.0568%
Brown-Forman Corp,BF.B,0.9536%
Kellogg Co,K,0.9247%
McCormick & Company Inc,MKC,0.9215%
Kraft Heinz Co,KHC,0.9157%
Conagra Brands Inc,CAG,0.8727%
Hormel Foods Corp,HRL,0.8446%
J M Smucker Co,SJM,0.7319%
Campbell Soup Co,CPB,0.5374%
Lamb Weston Holdings Inc,LW,0.4809%
Molson Coors Beverage Co,TAP,0.4472%
Caseys General Stores Inc,CASY,0.3519%
Ingredion Inc,INGR,0.3335%
Bunge Ltd,BG,0.3257%
Post Holdings Inc,POST,0.3257%
Freshpet Inc,FRPT,0.3205%
WD-40 Co,WDFC,0.2855%
Flowers Foods Inc,FLO,0.2811%
Sanderson Farms Inc,SAFM,0.262%
Boston Beer Company Inc,SAM,0.2617%
Darling Ingredients Inc,DAR,0.2515%
BJ's Wholesale Club Holdings Inc,BJ,0.2427%
Herbalife Nutrition Ltd,HLF,0.2297%
Lancaster Colony Corp,LANC,0.2075%
US Foods Holding Corp,USFD,0.2018%
Hain Celestial Group Inc,HAIN,0.1956%
Sprouts Farmers Market Inc,SFM,0.1865%
TreeHouse Foods Inc,THS,0.172%
Rite Aid Corp,RAD,0.1652%
Energizer Holdings Inc,ENR,0.154%
J & J Snack Foods Corp,JJSF,0.1516%
Performance Food Group Co,PFGC,0.1491%
Vector Group Ltd,VGR,0.139%
Central Garden & Pet Co,CENTA,0.1366%
Fresh Del Monte Produce Inc,FDP,0.1297%
Medifast Inc,MED,0.1288%
Cal-Maine Foods Inc,CALM,0.1255%
PriceSmart Inc,PSMT,0.1248%
Simply Good Foods Co,SMPL,0.1247%
Hostess Brands Inc,TWNK,0.1246%
Coty Inc,COTY,0.1192%
Tootsie Roll Industries Inc,TR,0.1181%
Pilgrims Pride Corp,PPC,0.1171%
Inter Parfums Inc,IPAR,0.1169%
Coca-Cola Consolidated Inc,COKE,0.1132%
Spectrum Brands Holdings Inc,SPB,0.111%
B&G Foods Inc,BGS,0.1098%
Edgewell Personal Care Co,EPC,0.1081%
Universal Corp,UVV,0.1016%
Calavo Growers Inc,CVGW,0.098%
Ingles Markets Inc,IMKTA,0.0977%
SpartanNash Co,SPTN,0.0956%
John B Sanfilippo & Son Inc,JBSS,0.0932%
NU Skin Enterprises Inc,NUS,0.0928%
Weis Markets Inc,WMK,0.092%
United Natural Foods Inc,UNFI,0.0901%
USANA Health Sciences Inc,USNA,0.0801%
Andersons Inc,ANDE,0.0677%
Central Garden & Pet Co,CENT,0.0668%
National Beverage Corp,FIZZ,0.0665%
Landec Corp,LNDC,0.0536%
e.l.f. Beauty Inc,ELF,0.0512%
Village Super Market Inc,VLGEA,0.047%
MGP Ingredients Inc,MGPI,0.0432%
Chefs' Warehouse Inc,CHEF,0.0299%
Grocery Outlet Holding Corp,GO,0.0215%
Farmer Bros Co,FARM,0.0193%
New Age Beverages Corp,NBEV,0.0154%
Cash Component,CASH,0.0079%
Reynolds Consumer Products Inc,REYN,0.0079%
Beyond Meat Inc,BYND,0.0075%
Turning Point Brands Inc,TPB,0.0064%
