VGT: Vanguard Information Technology ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	19706856
Shares Outstanding: 105945000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Information Technology 25/50 Index
ETFdb.com Category: Technology Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VGT


Holding,Symbol,Weighting
Apple Inc,AAPL,18.4172%
Microsoft Corp,MSFT,18.2073%
Visa Inc,V,4.2957%
Intel Corp,INTC,3.9844%
Mastercard Inc,MA,3.3699%
Adobe Inc,ADBE,2.7481%
Cisco Systems Inc,CSCO,2.7122%
NVIDIA Corp,NVDA,2.2863%
Salesforce.Com Inc,CRM,2.1631%
Oracle Corp,ORCL,1.8763%
PayPal Holdings Inc,PYPL,1.7579%
Texas Instruments Inc,TXN,1.6995%
Accenture PLC,ACN,1.6867%
International Business Machines Corp,IBM,1.5505%
Broadcom Inc,AVGO,1.4184%
Qualcomm Inc,QCOM,1.3188%
Fidelity National Information Services Inc,FIS,1.163%
Intuit Inc,INTU,0.9377%
ServiceNow Inc,NOW,0.8892%
Automatic Data Processing Inc,ADP,0.8723%
Fiserv Inc,FISV,0.8228%
Advanced Micro Devices Inc,AMD,0.8138%
Micron Technology Inc,MU,0.782%
Applied Materials Inc,AMAT,0.6857%
Global Payments Inc,GPN,0.6438%
Autodesk Inc,ADSK,0.5857%
Analog Devices Inc,ADI,0.5786%
Lam Research Corp,LRCX,0.5183%
Cognizant Technology Solutions Corp,CTSH,0.4213%
Motorola Solutions Inc,MSI,0.3937%
Workday Inc,WDAY,0.3854%
Amphenol Corp,APH,0.3783%
HP Inc,HPQ,0.3749%
KLA Corp,KLAC,0.3402%
TE Connectivity Ltd,TEL,0.3373%
Xilinx Inc,XLNX,0.3344%
Splunk Inc,SPLK,0.3244%
ANSYS Inc,ANSS,0.3225%
Synopsys Inc,SNPS,0.3009%
Paychex Inc,PAYX,0.3001%
Verisign Inc,VRSN,0.2958%
Citrix Systems Inc,CTXS,0.2928%
Cadence Design Systems Inc,CDNS,0.2894%
Microchip Technology Inc,MCHP,0.2887%
Keysight Technologies Inc,KEYS,0.281%
Fleetcor Technologies Inc,FLT,0.2769%
Palo Alto Networks Inc,PANW,0.264%
RingCentral Inc,RNG,0.2636%
Square Inc,SQ,0.2563%
Akamai Technologies Inc,AKAM,0.2556%
Corning Inc,GLW,0.2522%
Skyworks Solutions Inc,SWKS,0.2353%
Okta Inc,OKTA,0.2342%
Fortinet Inc,FTNT,0.2308%
Maxim Integrated Products Inc,MXIM,0.2296%
CDW Corp,CDW,0.2264%
Marvell Technology Group Ltd,MRVL,0.2222%
Twilio Inc,TWLO,0.1968%
Tyler Technologies Inc,TYL,0.1942%
NortonLifeLock Inc,NLOK,0.1911%
Western Digital Corp,WDC,0.1892%
