XBI: SPDR S&P Biotech ETF
Inception Date: 2006-02-06
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	3167365
Shares Outstanding: 46100000
Expense Ratio: 0.35%
Tracks This Index: S&P Biotechnology Select Industry Index
ETFdb.com Category: Health & Biotech Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XBI


Holding,Symbol,Weighting
Regeneron Pharmaceuticals Inc,REGN,2.9179%
Gilead Sciences Inc,GILD,2.6589%
Moderna Inc,MRNA,2.656%
United Therapeutics Corp,UTHR,2.258%
Vertex Pharmaceuticals Inc,VRTX,2.225%
Biogen Inc,BIIB,2.1784%
Biomarin Pharmaceutical Inc,BMRN,2.144%
Seattle Genetics Inc,SGEN,2.1037%
Exelixis Inc,EXEL,2.0746%
Alnylam Pharmaceuticals Inc,ALNY,2.03%
ACADIA Pharmaceuticals Inc,ACAD,1.9032%
Amgen Inc,AMGN,1.8943%
Alexion Pharmaceuticals Inc,ALXN,1.7712%
Abbvie Inc,ABBV,1.7687%
Neurocrine Biosciences Inc,NBIX,1.7203%
Incyte Corp,INCY,1.6626%
Sarepta Therapeutics Inc,SRPT,1.6287%
Amicus Therapeutics Inc,FOLD,1.6208%
Ligand Pharmaceuticals Inc,LGND,1.6016%
Ionis Pharmaceuticals Inc,IONS,1.5912%
Mirati Therapeutics Inc,MRTX,1.5712%
Iovance Biotherapeutics Inc,IOVA,1.5068%
PTC Therapeutics Inc,PTCT,1.4937%
Blueprint Medicines Corp,BPMC,1.4341%
Global Blood Therapeutics Inc,GBT,1.4092%
Invitae Corp,NVTA,1.4078%
Ra Pharmaceuticals Inc,RARX,1.3653%
Ultragenyx Pharmaceutical Inc,RARE,1.3341%
Exact Sciences Corp,EXAS,1.305%
bluebird bio Inc,BLUE,1.2732%
Agios Pharmaceuticals Inc,AGIO,1.2426%
Emergent BioSolutions Inc,EBS,1.2073%
Acceleron Pharma Inc,XLRN,1.2039%
Alkermes Plc,ALKS,1.1886%
Karyopharm Therapeutics Inc,KPTI,1.1866%
Immunomedics Inc,IMMU,1.1669%
Intercept Pharmaceuticals Inc,ICPT,1.1097%
Arena Pharmaceuticals Inc,ARNA,1.0539%
Biohaven Pharmaceutical Holding Company Ltd,BHVN,1.0454%
Apellis Pharmaceuticals Inc,APLS,1.031%
Coherus BioSciences Inc,CHRS,1.0306%
Natera Inc,NTRA,0.9349%
Arrowhead Pharmaceuticals Inc,ARWR,0.9278%
CareDx Inc,CDNA,0.9033%
FibroGen Inc,FGEN,0.8886%
SAGE Therapeutics Inc,SAGE,0.8647%
Regenxbio Inc,RGNX,0.8521%
Halozyme Therapeutics Inc,HALO,0.8421%
Fate Therapeutics Inc,FATE,0.8211%
Ironwood Pharmaceuticals Inc,IRWD,0.8048%
Deciphera Pharmaceuticals Inc,DCPH,0.7503%
Allakos Inc,ALLK,0.7252%
Insmed Inc,INSM,0.7205%
Puma Biotechnology Inc,PBYI,0.6913%
Esperion Therapeutics Inc,ESPR,0.6889%
Adverum Biotechnologies Inc,ADVM,0.6841%
Madrigal Pharmaceuticals Inc,MDGL,0.6671%
Turning Point Therapeutics Inc,TPTX,0.6538%
Momenta Pharmaceuticals Inc,MNTA,0.6527%
Myriad Genetics Inc,MYGN,0.6523%
AnaptysBio Inc,ANAB,0.6008%
Heron Therapeutics Inc,HRTX,0.5929%
Editas Medicine Inc,EDIT,0.5928%
Allogene Therapeutics Inc,ALLO,0.5678%
Veracyte Inc,VCYT,0.5641%
Catalyst Pharmaceuticals Inc,CPRX,0.5563%
Aimmune Therapeutics Inc,AIMT,0.5281%
Enanta Pharmaceuticals Inc,ENTA,0.5214%
Radius Health Inc,RDUS,0.5114%
Xencor Inc,XNCR,0.5031%
Sangamo Therapeutics Inc,SGMO,0.4688%
TG Therapeutics Inc,TGTX,0.4532%
Epizyme Inc,EPZM,0.4459%
OPKO Health Inc,OPK,0.444%
Alector Inc,ALEC,0.3867%
Principia Biopharma Inc,PRNB,0.3859%
Eagle Pharmaceuticals Inc,EGRX,0.3827%
Clovis Oncology Inc,CLVS,0.3692%
Portola Pharmaceuticals Inc,PTLA,0.3607%
Twist Bioscience Corp,TWST,0.3446%
Intellia Therapeutics Inc,NTLA,0.3351%
Retrophin Inc,RTRX,0.3078%
Atara Biotherapeutics Inc,ATRA,0.3064%
Viking Therapeutics Inc,VKTX,0.303%
Dicerna Pharmaceuticals Inc,DRNA,0.3028%
Denali Therapeutics Inc,DNLI,0.2955%
Cytokinetics Inc,CYTK,0.2913%
Anika Therapeutics Inc,ANIK,0.2912%
BridgeBio Pharma Inc,BBIO,0.2859%
Kodiak Sciences Inc,KOD,0.2836%
Krystal Biotech Inc,KRYS,0.2768%
ChemoCentryx Inc,CCXI,0.2689%
Vanda Pharmaceuticals Inc,VNDA,0.2631%
AMAG Pharmaceuticals Inc,AMAG,0.2628%
Athenex Inc,ATNX,0.2492%
G1 Therapeutics Inc,GTHX,0.2466%
Gossamer Bio Inc,GOSS,0.2463%
Akebia Therapeutics Inc,AKBA,0.2187%
"Y-mAbs Therapeutics, Inc",YMAB,0.2013%
NextCure Inc,NXTC,0.2013%
Vericel Corp,VCEL,0.2003%
ZIOPHARM Oncology Inc,ZIOP,0.1985%
Voyager Therapeutics Inc,VYGR,0.1946%
ImmunoGen Inc,IMGN,0.194%
Rhythm Pharmaceuticals Inc,RYTM,0.1791%
Stemline Therapeutics Inc,STML,0.1777%
BioCryst Pharmaceuticals Inc,BCRX,0.1758%
Flexion Therapeutics Inc,FLXN,0.1742%
Dynavax Technologies Corp,DVAX,0.172%
Homology Medicines Inc,FIXX,0.1626%
Precigen Inc,PGEN,0.1611%
Akcea Therapeutics Inc,AKCA,0.1578%
Progenics Pharmaceuticals Inc,PGNX,0.1566%
MacroGenics Inc,MGNX,0.1491%
Rocket Pharmaceuticals Inc,RCKT,0.1316%
AVROBIO Inc,AVRO,0.1131%
Spectrum Pharmaceuticals Inc,SPPI,0.107%
Kura Oncology Inc,KURA,0.1041%
Karuna Therapeutics Inc,KRTX,0.1004%
Kadmon Holdings Inc,KDMN,0.0951%
Agenus Inc,AGEN,0.0935%
Prothena Corporation PLC,PRTA,0.0702%
Cash Component,CASH,0.0111%
