XLC: Communication Services Select Sector SPDR Fund
Inception Date: 2018-06-18
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	6008185
Shares Outstanding: 148550000
Expense Ratio: 0.13%
Tracks This Index: S&P Communication Services Select Sector Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLC


Holding,Symbol,Weighting
Facebook Inc,FB,18.4843%
Alphabet Inc,GOOGL,11.6762%
Alphabet Inc,GOOG,11.6515%
Netflix Inc,NFLX,7.037%
Activision Blizzard Inc,ATVI,5.6099%
Verizon Communications Inc,VZ,4.8188%
Charter Communications Inc,CHTR,4.6819%
Comcast Corp,CMCSA,4.5672%
Electronic Arts Inc,EA,4.5651%
AT&T Inc,T,4.0758%
T-Mobile US Inc,TMUS,3.9267%
Walt Disney Co,DIS,3.4138%
Twitter Inc,TWTR,3.1402%
Take-Two Interactive Software Inc,TTWO,2.0364%
Omnicom Group Inc,OMC,1.722%
Centurylink Inc,CTL,1.397%
Fox Corp,FOXA,1.1737%
ViacomCBS Inc,VIAC,0.999%
Discovery Inc,DISCK,0.9043%
Live Nation Entertainment Inc,LYV,0.8621%
Interpublic Group of Companies Inc,IPG,0.8184%
DISH Network Corp,DISH,0.7611%
Fox Corp,FOX,0.527%
News Corp,NWSA,0.5238%
Discovery Inc,DISCA,0.4791%
News Corp,NWS,0.1622%
Cash Component,CASH,-0.0147%
