XLE: Energy Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	5320271
Shares Outstanding: 225824000
Expense Ratio: 0.13%
Tracks This Index: Energy Select Sector Index
ETFdb.com Category: Energy Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLE


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,25.6853%
Chevron Corp,CVX,23.3328%
Kinder Morgan Inc,KMI,5.195%
EOG Resources Inc,EOG,4.8578%
ConocoPhillips,COP,4.3322%
Phillips 66,PSX,4.1191%
Schlumberger NV,SLB,3.6394%
Williams Companies Inc,WMB,3.2679%
Valero Energy Corp,VLO,3.2394%
Marathon Petroleum Corp,MPC,2.6098%
Pioneer Natural Resources Co,PXD,2.4554%
Occidental Petroleum Corp,OXY,2.0932%
ONEOK Inc,OKE,1.9581%
Concho Resources Inc,CXO,1.8496%
Hess Corp,HES,1.8109%
Baker Hughes Co,BKR,1.4658%
Cabot Oil & Gas Corp,COG,1.3946%
Halliburton Co,HAL,1.1124%
National Oilwell Varco Inc,NOV,0.9095%
Diamondback Energy Inc,FANG,0.7936%
HollyFrontier Corp,HFC,0.67%
TechnipFMC PLC,FTI,0.6557%
Marathon Oil Corp,MRO,0.648%
Devon Energy Corp,DVN,0.5781%
Noble Energy Inc,NBL,0.5171%
Apache Corp,APA,0.3918%
Helmerich and Payne Inc,HP,0.3706%
Cash Component,CASH,0.0468%
