XLF: Financial Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	12200435
Shares Outstanding: 691645000
Expense Ratio: 0.13%
Tracks This Index: Financial Select Sector Index
ETFdb.com Category: Financials Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLF


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,15.9375%
JPMorgan Chase & Co,JPM,12.464%
Bank of America Corp,BAC,7.3592%
Wells Fargo & Co,WFC,4.8869%
Citigroup Inc,C,3.8841%
CME Group Inc,CME,2.5156%
S&P Global Inc,SPGI,2.3517%
American Express Co,AXP,2.33%
Goldman Sachs Group Inc,GS,2.1577%
Chubb Ltd,CB,2.1468%
U.S. Bancorp,USB,2.0665%
Progressive Corp,PGR,1.9543%
Marsh & McLennan Companies Inc,MMC,1.9477%
BlackRock Inc,BLK,1.9304%
Intercontinental Exchange Inc,ICE,1.8721%
PNC Financial Services Group Inc,PNC,1.7737%
Truist Financial Corp,TFC,1.7331%
Morgan Stanley,MS,1.7184%
Aon PLC,AON,1.7154%
Charles Schwab Corp,SCHW,1.6383%
Moody's Corp,MCO,1.3477%
Allstate Corp,ALL,1.1956%
Bank of New York Mellon Corp,BK,1.1595%
Travelers Companies Inc,TRV,1.1421%
T. Rowe Price Group Inc,TROW,1.0072%
Capital One Financial Corp,COF,1.0061%
MSCI Inc,MSCI,0.9976%
Willis Towers Watson PLC,WLTW,0.9536%
Aflac Inc,AFL,0.9466%
MetLife Inc,MET,0.9257%
American International Group Inc,AIG,0.8447%
Prudential Financial Inc,PRU,0.7915%
State Street Corp,STT,0.7888%
Northern Trust Corp,NTRS,0.6726%
First Republic Bank,FRC,0.6429%
Arthur J Gallagher & Co,AJG,0.6422%
M&T Bank Corp,MTB,0.5893%
Hartford Financial Services Group Inc,HIG,0.5571%
Marketaxess Holdings Inc,MKTX,0.5422%
Ameriprise Financial Inc,AMP,0.5262%
Cincinnati Financial Corp,CINF,0.5073%
Fifth Third Bancorp,FITB,0.4343%
Cboe Global Markets Inc,CBOE,0.4252%
KeyCorp,KEY,0.4241%
Nasdaq Inc,NDAQ,0.4213%
Discover Financial Services,DFS,0.42%
Loews Corp,L,0.381%
Regions Financial Corp,RF,0.3746%
SVB Financial Group,SIVB,0.3735%
Huntington Bancshares Inc,HBAN,0.3635%
Synchrony Financial,SYF,0.3628%
Everest Re Group Ltd,RE,0.3509%
Citizens Financial Group Inc,CFG,0.3473%
Raymond James Financial Inc,RJF,0.3436%
Principal Financial Group Inc,PFG,0.315%
W. R. Berkley Corp,WRB,0.3146%
E*TRADE Financial Corp,ETFC,0.3092%
Globe Life Inc,GL,0.2901%
Assurant Inc,AIZ,0.2852%
People's United Financial Inc,PBCT,0.239%
Franklin Resources Inc,BEN,0.2151%
Zions Bancorporation NA,ZION,0.2075%
Comerica Inc,CMA,0.1984%
Lincoln National Corp,LNC,0.1731%
Invesco Ltd,IVZ,0.1424%
Unum Group,UNM,0.1071%
Cash Component,CASH,0.011%
