XLI: Industrial Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-03-23
Total Assets Under Management (in thousands):	6214889
Shares Outstanding: 127476000
Expense Ratio: 0.13%
Tracks This Index: Industrial Select Sector Index
ETFdb.com Category: Industrials Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLI


Holding,Symbol,Weighting
Union Pacific Corp,UNP,5.4455%
Honeywell International Inc,HON,5.1042%
Lockheed Martin Corp,LMT,4.7237%
3M Co,MMM,4.6613%
United Parcel Service Inc,UPS,4.4297%
United Technologies Corp,UTX,4.1815%
Boeing Co,BA,3.8822%
General Electric Co,GE,3.669%
Caterpillar Inc,CAT,3.4891%
Northrop Grumman Corp,NOC,2.9115%
CSX Corp,CSX,2.5476%
Deere & Co,DE,2.4075%
Illinois Tool Works Inc,ITW,2.3737%
Waste Management Inc,WM,2.3575%
L3Harris Technologies Inc,LHX,2.2863%
Raytheon Co,RTN,2.2135%
Norfolk Southern Corp,NSC,2.1312%
FedEx Corp,FDX,1.8431%
Roper Technologies Inc,ROP,1.8152%
General Dynamics Corp,GD,1.7186%
Eaton Corporation PLC,ETN,1.6423%
Emerson Electric Co,EMR,1.595%
Verisk Analytics Inc,VRSK,1.3671%
IHS Markit Ltd,INFO,1.2516%
Johnson Controls International PLC,JCI,1.2465%
Paccar Inc,PCAR,1.1875%
Trane Technologies PLC,TT,1.1752%
Fastenal Co,FAST,1.1109%
Southwest Airlines Co,LUV,1.0987%
Cummins Inc,CMI,1.0834%
TransDigm Group Inc,TDG,1.0267%
Rockwell Automation Inc,ROK,0.9604%
Republic Services Inc,RSG,0.9595%
AMETEK Inc,AME,0.9146%
Cintas Corp,CTAS,0.9085%
Delta Air Lines Inc,DAL,0.8796%
Equifax Inc,EFX,0.8712%
Parker-Hannifin Corp,PH,0.8605%
Fortive Corp,FTV,0.8531%
Copart Inc,CPRT,0.8271%
Old Dominion Freight Line Inc,ODFL,0.7544%
Stanley Black & Decker Inc,SWK,0.7535%
Xylem Inc,XYL,0.7017%
Kansas City Southern,KSU,0.6847%
Expeditors International of Washington Inc,EXPD,0.6531%
Dover Corp,DOV,0.6516%
W W Grainger Inc,GWW,0.6274%
IDEX Corp,IEX,0.5973%
C.H. Robinson Worldwide Inc,CHRW,0.5889%
Jacobs Engineering Group Inc,J,0.5868%
Masco Corp,MAS,0.5376%
Westinghouse Air Brake Technologies Corp,WAB,0.5146%
Allegion PLC,ALLE,0.503%
Ingersoll Rand Inc,IR,0.464%
J B Hunt Transport Services Inc,JBHT,0.4637%
Huntington Ingalls Industries Inc,HII,0.4358%
United Airlines Holdings Inc,UAL,0.393%
United Rentals Inc,URI,0.3664%
Snap-On Inc,SNA,0.3607%
Textron Inc,TXT,0.3403%
A. O. Smith Corp,AOS,0.3359%
Fortune Brands Home & Security Inc,FBHS,0.3329%
Arconic Inc,ARNC,0.3192%
Rollins Inc,ROL,0.3056%
Nielsen Holdings PLC,NLSN,0.2919%
Robert Half International Inc,RHI,0.2761%
American Airlines Group Inc,AAL,0.2746%
Pentair PLC,PNR,0.2643%
Quanta Services Inc,PWR,0.2324%
Alaska Air Group Inc,ALK,0.2031%
Flowserve Corp,FLS,0.1729%
Cash Component,CASH,0.0016%
