Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQ,Invesco QQQ,Equity,"$94,550,509,933.00",7.80%,"22,822,266",$229.20,-0.43%,No,No,4.62%,4.93%,37.36%,86.89%,132.90%,"$415,381,528.50","$1,402,009,096.00","-$797,364,807.50","$5,600,890,701.50","$14,779,089,575.50","$13,313,530,157.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.58,2019-12-23,$0.46,0.69%,22.66,1.16,104,53.86%,35%,15%,1099,$216.43,$229.36,$228.35,$230.25,67.87,A-,A+,A-,A-,C+,B,B,5.7,57.34%,55.04%,46.01,9.89%,7.95%
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$38,439,697,379.00",3.00%,"4,964,979",$95.57,-0.02%,No,No,1.75%,3.57%,17.70%,30.67%,38.38%,"$277,740,622.67","$67,567,089.77","$431,588,443.93","$1,824,967,019.70","$375,198,778.47","$6,046,412,595.71",Real Estate,2004-09-23,0.12%,2 Platforms,$3.14,2019-12-18,$0.96,3.29%,34.60,0.54,181,37.63%,35%,15%,1099,$92.71,$96.61,$95.32,$95.83,60.16,A+,A,A,A-,B+,A-,A,4.5,49.41%,30.21%,117.38,0.63%,9.55%
XLK,Technology Select Sector SPDR Fund,Equity,"$28,262,685,936.00",8.75%,"8,949,784",$99.69,-0.91%,No,No,4.57%,5.66%,49.41%,105.10%,162.52%,"$143,906,582.00","-$11,345,269.00","-$270,857,550.00","$1,040,709,304.50","-$903,830,034.00","-$483,335,897.93",Technology Equities,1998-12-16,0.13%,N/A,$1.06,2019-12-20,$0.29,1.06%,22.73,1.14,72,66.70%,35%,15%,1099,$93.81,$100.33,$99.27,$100.32,65.37,A,A+,A,C+,A+,A-,B+,6.32,78.75%,72.97%,21.34,0.33%,5.49%
VGT,Vanguard Information Technology ETF,Equity,"$28,217,860,411.00",8.22%,"588,017",$264.98,-0.93%,No,No,4.25%,4.99%,45.93%,112.92%,171.91%,"$585,359,715.44","$20,186,253.65","$324,204,579.32","$2,210,832,875.92","$3,727,260,333.46","$5,914,954,542.78",Technology Equities,2004-01-30,0.10%,Vanguard,$2.72,2019-12-16,$0.65,1.02%,26.60,1.19,322,58.71%,35%,15%,1099,$251.15,$267.00,$263.89,$266.58,64.33,A+,A,A,B-,A,A-,A+,6.08,69.97%,66.62%,22.16,0.79%,5.22%
XLF,Financial Select Sector SPDR Fund,Equity,"$25,050,193,520.00",0.45%,"39,805,128",$30.92,-0.35%,No,No,3.20%,0.75%,22.30%,38.37%,72.20%,"$1,042,660,841.00","$238,276,143.00","-$64,931,843.00","-$2,051,023,733.50","-$3,005,231,676.50","$2,173,107,062.08",Financials Equities,1998-12-16,0.13%,N/A,$0.57,2019-12-20,$0.16,1.85%,13.92,1.14,67,54.81%,35%,15%,1099,$29.97,$31.30,$30.80,$31.02,55.36,A,A+,A,A-,B+,B-,B+,4.18,30.40%,22.38%,39.48,12.57%,0.24%
XLV,Health Care Select Sector SPDR Fund,Equity,"$20,675,487,445.00",1.16%,"7,769,927",$103.04,-0.78%,No,No,3.93%,0.23%,16.94%,51.42%,59.86%,"$524,864,580.50","$566,626,916.00","$152,821,637.00","-$622,165,980.50","-$140,843,682.00","$2,093,293,423.34",Health & Biotech Equities,1998-12-16,0.13%,N/A,$1.78,2019-12-30,$0.67,1.72%,17.30,0.90,61,51.55%,35%,15%,1099,$99.95,$105.65,$102.63,$103.70,55.70,A,A+,A,B+,B+,A-,B+,5.56,69.43%,51.20%,17.76,0.00%,13.57%
XLY,Consumer Discretionary Select Sector SPDR Fund,Equity,"$15,358,392,518.00",2.30%,"3,961,805",$128.31,-0.43%,No,No,2.39%,1.56%,20.90%,58.35%,88.78%,"$778,715,095.50","-$277,549,118.00","-$157,493,588.50","$1,026,636,654.00","-$1,646,899,825.00","$377,633,010.43",Consumer Discretionary Equities,1998-12-16,0.13%,N/A,$1.60,2019-12-20,$0.41,1.24%,22.73,1.09,65,66.29%,35%,15%,1099,$124.17,$129.57,$127.76,$128.89,60.10,A,A+,A,B+,A,A-,B+,5.29,52.94%,45.01%,45.83,25.26%,0.67%
XLP,Consumer Staples Select Sector SPDR Fund,Equity,"$13,917,182,210.00",2.03%,"10,635,508",$64.26,0.12%,No,No,1.71%,2.55%,23.32%,32.48%,49.71%,"$81,919,272.50","$502,591,285.00","$498,872,857.00","$1,621,791,218.00","$4,358,846,537.00","$1,079,415,511.75",Consumer Staples Equities,1998-12-16,0.13%,N/A,$1.62,2019-12-20,$0.51,2.53%,20.86,0.58,34,71.16%,35%,15%,1099,$62.78,$64.41,$64.04,$64.44,62.32,A,A+,A,B,A-,A,B+,6.95,81.58%,85.20%,59.49,13.48%,16.82%
GDX,VanEck Vectors Gold Miners ETF,Equity,"$12,659,289,650.00",-4.61%,"47,715,328",$27.93,-1.65%,No,No,-3.66%,-1.83%,27.67%,12.21%,35.19%,"$346,521,511.50","-$24,334,063.50","$27,248,509.50","-$203,230,316.50","-$277,694,879.50","$3,281,749,851.00",Materials,2006-05-22,0.53%,N/A,$0.19,2019-12-23,$0.19,0.68%,30.07,-0.17,48,61.86%,35%,15%,1099,$27.85,$29.24,$27.68,$28.43,47.29,B+,A+,A-,C+,C+,B+,B-,6.12,47.92%,67.76%,415.39,4.88%,0.00%
XLI,Industrial Select Sector SPDR Fund,Equity,"$12,048,774,584.00",2.68%,"10,288,460",$83.65,-0.72%,No,No,3.13%,1.09%,17.00%,39.21%,64.77%,"$1,218,684,444.00","-$19,175,506.50","-$553,100,832.00","$510,502,678.00","-$1,450,539,257.50","-$333,227,006.00",Industrials Equities,1998-12-16,0.13%,N/A,$1.58,2019-12-20,$0.40,1.89%,19.07,1.16,71,43.61%,35%,15%,1099,$81.55,$84.82,$83.44,$84.01,55.36,A,A+,A,B,A-,A,B,6.03,63.54%,65.07%,166.5,35.33%,1.92%
