Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQ,Invesco QQQ,Equity,"$92,778,888,846.00",7.34%,"22,606,746",$228.22,0.33%,No,No,2.89%,5.10%,34.54%,86.31%,132.49%,"-$918,618,184.50","-$8,854,065.50","-$1,455,475,945.50","$3,942,566,047.00","$13,319,324,217.00","$12,223,413,914.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.58,2019-12-23,$0.46,0.70%,22.66,1.16,104,53.55%,35%,15%,1099,$216.24,$227.22,$226.63,$230.03,68.11,A-,A+,A-,A-,C+,B,B,5.7,57.34%,55.04%,46.01,9.89%,7.95%
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$38,236,949,771.00",2.67%,"5,078,293",$95.27,0.06%,No,No,0.26%,3.97%,17.52%,30.04%,35.54%,"$210,733,585.85","$29,244,325.25","$237,002,189.11","$2,234,738,982.88","$424,121,658.83","$6,032,090,658.89",Real Estate,2004-09-23,0.12%,2 Platforms,$3.14,2019-12-18,$0.96,3.30%,34.60,0.54,181,37.46%,35%,15%,1099,$91.68,$96.84,$95.00,$95.58,59.02,A+,A,A,A-,B+,A-,A,4.5,49.41%,30.21%,117.38,0.63%,9.55%
XLK,Technology Select Sector SPDR Fund,Equity,"$28,371,609,724.00",8.76%,"8,971,795",$99.70,0.59%,No,No,2.59%,6.62%,47.87%,105.25%,164.16%,"$39,496,107.00","-$441,226,535.00","-$173,666,592.00","$1,440,020,321.50","-$1,089,338,477.00","-$587,746,372.93",Technology Equities,1998-12-16,0.13%,N/A,$1.06,2019-12-20,$0.29,1.07%,22.73,1.14,72,66.45%,35%,15%,1099,$93.33,$99.55,$98.85,$100.67,67.29,A,A+,A,C+,A+,A-,B+,6.32,78.75%,72.97%,21.34,0.33%,5.49%
VGT,Vanguard Information Technology ETF,Equity,"$28,214,031,911.00",8.37%,"583,786",$265.35,0.47%,No,No,2.40%,6.09%,44.66%,113.52%,173.95%,"$558,947,715.44","$58,576,251.51","$347,802,579.32","$2,193,738,375.92","$3,700,848,333.46","$5,888,542,542.78",Technology Equities,2004-01-30,0.10%,Vanguard,$2.72,2019-12-16,$0.65,1.03%,26.60,1.19,322,58.46%,35%,15%,1099,$249.75,$265.37,$262.99,$268.17,66.47,A+,A,A,B-,A,A-,A+,6.08,69.97%,66.62%,22.16,0.79%,5.22%
XLF,Financial Select Sector SPDR Fund,Equity,"$24,776,329,870.00",0.94%,"40,037,972",$31.07,2.00%,No,No,2.81%,1.11%,21.53%,38.39%,76.17%,"$582,196,793.00","-$775,074,975.00","-$343,347,607.00","-$2,850,434,937.50","-$3,315,830,960.00","$1,658,167,054.08",Financials Equities,1998-12-16,0.13%,N/A,$0.57,2019-12-20,$0.16,1.89%,13.92,1.14,67,54.88%,35%,15%,1099,$29.98,$31.25,$30.88,$31.18,57.25,A,A+,A,A-,B+,B-,B+,4.18,30.40%,22.38%,39.48,12.57%,0.24%
XLV,Health Care Select Sector SPDR Fund,Equity,"$20,577,019,732.00",1.87%,"7,995,013",$103.76,1.93%,No,No,1.83%,1.40%,16.98%,52.65%,62.21%,"-$6,600,700.50","$2,026,459.50","-$260,493,569.00","-$1,130,946,214.00","-$168,423,733.00","$1,600,538,566.84",Health & Biotech Equities,1998-12-16,0.13%,N/A,$1.78,2019-12-30,$0.67,1.75%,17.30,0.90,61,51.55%,35%,15%,1099,$99.89,$105.50,$102.65,$104.50,58.94,A,A+,A,B+,B+,A-,B+,5.56,69.43%,51.20%,17.76,0.00%,13.57%
XLY,Consumer Discretionary Select Sector SPDR Fund,Equity,"$15,621,530,268.00",2.98%,"3,908,035",$129.16,0.51%,No,No,3.15%,2.22%,20.21%,58.92%,90.92%,"$798,280,880.50","-$389,297,951.50","$102,475,091.50","$1,020,363,276.50","-$1,686,694,019.50","$426,408,979.43",Consumer Discretionary Equities,1998-12-16,0.13%,N/A,$1.60,2019-12-20,$0.41,1.25%,22.73,1.09,65,65.76%,35%,15%,1099,$124.27,$129.08,$128.44,$129.70,64.10,A,A+,A,B+,A,A-,B+,5.29,52.94%,45.01%,45.83,25.26%,0.67%
XLP,Consumer Staples Select Sector SPDR Fund,Equity,"$13,586,573,911.00",1.73%,"10,651,365",$64.07,0.80%,No,No,1.46%,2.91%,22.88%,31.36%,49.36%,"-$129,929,510.50","$260,066,637.00","$159,036,842.00","$1,297,418,004.00","$3,839,376,136.00","$796,086,992.25",Consumer Staples Equities,1998-12-16,0.13%,N/A,$1.62,2019-12-20,$0.51,2.55%,20.86,0.58,34,71.10%,35%,15%,1099,$62.44,$64.38,$63.81,$64.21,60.90,A,A+,A,B,A-,A,B+,6.95,81.58%,85.20%,59.49,13.48%,16.82%
GDX,VanEck Vectors Gold Miners ETF,Equity,"$12,714,536,438.00",-4.20%,"48,243,568",$28.05,0.00%,No,No,-2.81%,-1.06%,24.93%,16.83%,30.04%,"$346,521,511.50","-$24,334,063.50","$184,010,691.00","-$174,268,786.50","-$277,694,879.50","$3,281,749,851.00",Materials,2006-05-22,0.53%,N/A,$0.19,2019-12-23,$0.19,0.68%,30.07,-0.17,48,62.20%,35%,15%,1099,$27.87,$29.25,$27.86,$28.29,48.02,B+,A+,A-,C+,C+,B+,B-,6.12,47.92%,67.76%,415.39,4.88%,0.00%
XLU,Utilities Select Sector SPDR Fund,Equity,"$11,841,192,972.00",6.45%,"14,761,565",$68.79,0.41%,No,No,0.20%,7.69%,29.57%,55.06%,69.05%,"$225,782,714.50","$214,059,622.50","$397,282,331.00","$1,058,179,777.00","$2,557,564,707.00","$559,995,753.61",Utilities Equities,1998-12-16,0.13%,N/A,$1.91,2019-12-20,$0.50,2.79%,20.55,0.16,29,61.59%,35%,15%,1099,$63.48,$70.66,$68.35,$69.09,71.31,A,A+,A,B+,A,A,B-,7.49,75.00%,91.80%,2783.72,68.06%,5.88%
